Q0 = 0.5 GeV	 Q = 5.2 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
1.000E-04	1.198E-02	-1.198E-02	2.397E-02
1.009E-04	1.204E-02	-1.204E-02	2.407E-02
1.019E-04	1.209E-02	-1.209E-02	2.418E-02
1.028E-04	1.214E-02	-1.214E-02	2.428E-02
1.038E-04	1.219E-02	-1.219E-02	2.439E-02
1.047E-04	1.225E-02	-1.225E-02	2.449E-02
1.057E-04	1.230E-02	-1.230E-02	2.460E-02
1.067E-04	1.235E-02	-1.235E-02	2.471E-02
1.076E-04	1.241E-02	-1.241E-02	2.482E-02
1.086E-04	1.246E-02	-1.246E-02	2.492E-02
1.096E-04	1.252E-02	-1.252E-02	2.503E-02
1.107E-04	1.257E-02	-1.257E-02	2.514E-02
1.117E-04	1.262E-02	-1.262E-02	2.525E-02
1.127E-04	1.268E-02	-1.268E-02	2.536E-02
1.138E-04	1.273E-02	-1.273E-02	2.547E-02
1.148E-04	1.279E-02	-1.279E-02	2.558E-02
1.159E-04	1.285E-02	-1.285E-02	2.569E-02
1.169E-04	1.290E-02	-1.290E-02	2.580E-02
1.180E-04	1.296E-02	-1.296E-02	2.591E-02
1.191E-04	1.301E-02	-1.301E-02	2.603E-02
1.202E-04	1.307E-02	-1.307E-02	2.614E-02
1.213E-04	1.313E-02	-1.313E-02	2.625E-02
1.225E-04	1.318E-02	-1.318E-02	2.637E-02
1.236E-04	1.324E-02	-1.324E-02	2.648E-02
1.247E-04	1.330E-02	-1.330E-02	2.660E-02
1.259E-04	1.336E-02	-1.336E-02	2.671E-02
1.271E-04	1.341E-02	-1.341E-02	2.683E-02
1.282E-04	1.347E-02	-1.347E-02	2.694E-02
1.294E-04	1.353E-02	-1.353E-02	2.706E-02
1.306E-04	1.359E-02	-1.359E-02	2.718E-02
1.318E-04	1.365E-02	-1.365E-02	2.730E-02
1.330E-04	1.371E-02	-1.371E-02	2.741E-02
1.343E-04	1.377E-02	-1.377E-02	2.753E-02
1.355E-04	1.383E-02	-1.383E-02	2.765E-02
1.368E-04	1.389E-02	-1.389E-02	2.777E-02
1.380E-04	1.395E-02	-1.395E-02	2.789E-02
1.393E-04	1.401E-02	-1.401E-02	2.801E-02
1.406E-04	1.407E-02	-1.407E-02	2.813E-02
1.419E-04	1.413E-02	-1.413E-02	2.826E-02
1.432E-04	1.419E-02	-1.419E-02	2.838E-02
1.445E-04	1.425E-02	-1.425E-02	2.850E-02
1.459E-04	1.431E-02	-1.431E-02	2.863E-02
1.472E-04	1.437E-02	-1.437E-02	2.875E-02
1.486E-04	1.444E-02	-1.444E-02	2.887E-02
1.500E-04	1.450E-02	-1.450E-02	2.900E-02
1.514E-04	1.456E-02	-1.456E-02	2.912E-02
1.528E-04	1.463E-02	-1.463E-02	2.925E-02
1.542E-04	1.469E-02	-1.469E-02	2.938E-02
1.556E-04	1.475E-02	-1.475E-02	2.950E-02
1.570E-04	1.482E-02	-1.482E-02	2.963E-02
1.585E-04	1.488E-02	-1.488E-02	2.976E-02
1.600E-04	1.494E-02	-1.494E-02	2.989E-02
1.614E-04	1.501E-02	-1.501E-02	3.002E-02
1.629E-04	1.507E-02	-1.507E-02	3.015E-02
1.644E-04	1.514E-02	-1.514E-02	3.028E-02
1.660E-04	1.520E-02	-1.520E-02	3.041E-02
1.675E-04	1.527E-02	-1.527E-02	3.054E-02
1.690E-04	1.534E-02	-1.534E-02	3.067E-02
1.706E-04	1.540E-02	-1.540E-02	3.080E-02
1.722E-04	1.547E-02	-1.547E-02	3.094E-02
1.738E-04	1.554E-02	-1.554E-02	3.107E-02
1.754E-04	1.560E-02	-1.560E-02	3.121E-02
1.770E-04	1.567E-02	-1.567E-02	3.134E-02
1.786E-04	1.574E-02	-1.574E-02	3.148E-02
1.803E-04	1.581E-02	-1.581E-02	3.161E-02
1.820E-04	1.587E-02	-1.587E-02	3.175E-02
1.837E-04	1.594E-02	-1.594E-02	3.188E-02
1.854E-04	1.601E-02	-1.601E-02	3.202E-02
1.871E-04	1.608E-02	-1.608E-02	3.216E-02
1.888E-04	1.615E-02	-1.615E-02	3.230E-02
1.905E-04	1.622E-02	-1.622E-02	3.244E-02
1.923E-04	1.629E-02	-1.629E-02	3.258E-02
1.941E-04	1.636E-02	-1.636E-02	3.272E-02
1.959E-04	1.643E-02	-1.643E-02	3.286E-02
1.977E-04	1.650E-02	-1.650E-02	3.300E-02
1.995E-04	1.657E-02	-1.657E-02	3.314E-02
