Q0 = 0.6 GeV	 Q = 4.0 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
5.000E-04	1.273E-02	-1.273E-02	2.546E-02
1.500E-03	2.428E-02	-2.428E-02	4.857E-02
2.500E-03	3.259E-02	-3.259E-02	6.518E-02
3.500E-03	3.945E-02	-3.945E-02	7.891E-02
4.500E-03	4.544E-02	-4.544E-02	9.089E-02
5.500E-03	5.082E-02	-5.082E-02	1.016E-01
6.500E-03	5.574E-02	-5.574E-02	1.115E-01
7.500E-03	6.029E-02	-6.029E-02	1.206E-01
8.500E-03	6.455E-02	-6.455E-02	1.291E-01
9.500E-03	6.856E-02	-6.856E-02	1.371E-01
1.050E-02	7.236E-02	-7.236E-02	1.447E-01
1.150E-02	7.598E-02	-7.598E-02	1.520E-01
1.250E-02	7.944E-02	-7.944E-02	1.589E-01
1.350E-02	8.275E-02	-8.275E-02	1.655E-01
1.450E-02	8.593E-02	-8.593E-02	1.719E-01
1.550E-02	8.900E-02	-8.900E-02	1.780E-01
1.650E-02	9.197E-02	-9.197E-02	1.839E-01
1.750E-02	9.484E-02	-9.484E-02	1.897E-01
1.850E-02	9.762E-02	-9.762E-02	1.952E-01
1.950E-02	1.003E-01	-1.003E-01	2.006E-01
2.050E-02	1.029E-01	-1.029E-01	2.059E-01
2.150E-02	1.055E-01	-1.055E-01	2.110E-01
2.250E-02	1.080E-01	-1.080E-01	2.160E-01
2.350E-02	1.104E-01	-1.104E-01	2.209E-01
2.450E-02	1.128E-01	-1.128E-01	2.256E-01
2.550E-02	1.151E-01	-1.151E-01	2.302E-01
2.650E-02	1.174E-01	-1.174E-01	2.348E-01
2.750E-02	1.196E-01	-1.196E-01	2.392E-01
2.850E-02	1.218E-01	-1.218E-01	2.436E-01
2.950E-02	1.239E-01	-1.239E-01	2.478E-01
3.050E-02	1.260E-01	-1.260E-01	2.520E-01
3.150E-02	1.281E-01	-1.281E-01	2.561E-01
3.250E-02	1.301E-01	-1.301E-01	2.602E-01
3.350E-02	1.321E-01	-1.321E-01	2.641E-01
3.450E-02	1.340E-01	-1.340E-01	2.680E-01
3.550E-02	1.359E-01	-1.359E-01	2.719E-01
3.650E-02	1.378E-01	-1.378E-01	2.757E-01
3.750E-02	1.397E-01	-1.397E-01	2.794E-01
3.850E-02	1.415E-01	-1.415E-01	2.830E-01
3.950E-02	1.433E-01	-1.433E-01	2.866E-01
4.050E-02	1.451E-01	-1.451E-01	2.902E-01
4.150E-02	1.468E-01	-1.468E-01	2.937E-01
4.250E-02	1.486E-01	-1.486E-01	2.972E-01
4.350E-02	1.503E-01	-1.503E-01	3.006E-01
4.450E-02	1.520E-01	-1.520E-01	3.039E-01
4.550E-02	1.536E-01	-1.536E-01	3.073E-01
4.650E-02	1.553E-01	-1.553E-01	3.105E-01
4.750E-02	1.569E-01	-1.569E-01	3.138E-01
4.850E-02	1.585E-01	-1.585E-01	3.170E-01
4.950E-02	1.601E-01	-1.601E-01	3.201E-01
5.050E-02	1.616E-01	-1.616E-01	3.233E-01
5.150E-02	1.632E-01	-1.632E-01	3.264E-01
5.250E-02	1.647E-01	-1.647E-01	3.294E-01
5.350E-02	1.662E-01	-1.662E-01	3.325E-01
5.450E-02	1.677E-01	-1.677E-01	3.355E-01
5.550E-02	1.692E-01	-1.692E-01	3.384E-01
5.650E-02	1.707E-01	-1.707E-01	3.413E-01
5.750E-02	1.721E-01	-1.721E-01	3.443E-01
5.850E-02	1.736E-01	-1.736E-01	3.471E-01
5.950E-02	1.750E-01	-1.750E-01	3.500E-01
6.050E-02	1.764E-01	-1.764E-01	3.528E-01
6.150E-02	1.778E-01	-1.778E-01	3.556E-01
6.250E-02	1.792E-01	-1.792E-01	3.584E-01
6.350E-02	1.806E-01	-1.806E-01	3.611E-01
6.450E-02	1.819E-01	-1.819E-01	3.638E-01
6.550E-02	1.833E-01	-1.833E-01	3.665E-01
6.650E-02	1.846E-01	-1.846E-01	3.692E-01
6.750E-02	1.859E-01	-1.859E-01	3.718E-01
6.850E-02	1.872E-01	-1.872E-01	3.745E-01
6.950E-02	1.885E-01	-1.885E-01	3.771E-01
7.050E-02	1.898E-01	-1.898E-01	3.797E-01
7.150E-02	1.911E-01	-1.911E-01	3.822E-01
7.250E-02	1.924E-01	-1.924E-01	3.848E-01
7.350E-02	1.936E-01	-1.936E-01	3.873E-01
7.450E-02	1.949E-01	-1.949E-01	3.898E-01
7.550E-02	1.961E-01	-1.961E-01	3.923E-01
7.650E-02	1.974E-01	-1.974E-01	3.947E-01
7.750E-02	1.986E-01	-1.986E-01	3.972E-01
7.850E-02	1.998E-01	-1.998E-01	3.996E-01
7.950E-02	2.010E-01	-2.010E-01	4.020E-01
8.050E-02	2.022E-01	-2.022E-01	4.044E-01
8.150E-02	2.034E-01	-2.034E-01	4.068E-01
8.250E-02	2.046E-01	-2.046E-01	4.092E-01
8.350E-02	2.058E-01	-2.058E-01	4.115E-01
8.450E-02	2.069E-01	-2.069E-01	4.138E-01
8.550E-02	2.081E-01	-2.081E-01	4.162E-01
8.650E-02	2.092E-01	-2.092E-01	4.185E-01
8.750E-02	2.104E-01	-2.104E-01	4.207E-01
8.850E-02	2.115E-01	-2.115E-01	4.230E-01
8.950E-02	2.126E-01	-2.126E-01	4.253E-01
9.050E-02	2.137E-01	-2.137E-01	4.275E-01
9.150E-02	2.149E-01	-2.149E-01	4.297E-01
9.250E-02	2.160E-01	-2.160E-01	4.319E-01
9.350E-02	2.171E-01	-2.171E-01	4.341E-01
9.450E-02	2.182E-01	-2.182E-01	4.363E-01
9.550E-02	2.192E-01	-2.192E-01	4.385E-01
9.650E-02	2.203E-01	-2.203E-01	4.406E-01
