Q0 = 0.8 GeV	 Q = 6.0 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
5.000E-04	2.165E-02	-2.165E-02	4.331E-02
1.500E-03	3.602E-02	-3.602E-02	7.205E-02
2.500E-03	4.543E-02	-4.543E-02	9.086E-02
3.500E-03	5.282E-02	-5.282E-02	1.056E-01
4.500E-03	5.905E-02	-5.905E-02	1.181E-01
5.500E-03	6.449E-02	-6.449E-02	1.290E-01
6.500E-03	6.936E-02	-6.936E-02	1.387E-01
7.500E-03	7.379E-02	-7.379E-02	1.476E-01
8.500E-03	7.786E-02	-7.786E-02	1.557E-01
9.500E-03	8.164E-02	-8.164E-02	1.633E-01
1.050E-02	8.517E-02	-8.517E-02	1.703E-01
1.150E-02	8.850E-02	-8.850E-02	1.770E-01
1.250E-02	9.164E-02	-9.164E-02	1.833E-01
1.350E-02	9.463E-02	-9.463E-02	1.893E-01
1.450E-02	9.747E-02	-9.747E-02	1.949E-01
1.550E-02	1.002E-01	-1.002E-01	2.004E-01
1.650E-02	1.028E-01	-1.028E-01	2.056E-01
1.750E-02	1.053E-01	-1.053E-01	2.106E-01
1.850E-02	1.077E-01	-1.077E-01	2.154E-01
1.950E-02	1.100E-01	-1.100E-01	2.200E-01
2.050E-02	1.122E-01	-1.122E-01	2.244E-01
2.150E-02	1.144E-01	-1.144E-01	2.288E-01
2.250E-02	1.165E-01	-1.165E-01	2.329E-01
2.350E-02	1.185E-01	-1.185E-01	2.370E-01
2.450E-02	1.205E-01	-1.205E-01	2.409E-01
2.550E-02	1.224E-01	-1.224E-01	2.447E-01
2.650E-02	1.242E-01	-1.242E-01	2.484E-01
2.750E-02	1.260E-01	-1.260E-01	2.520E-01
2.850E-02	1.278E-01	-1.278E-01	2.556E-01
2.950E-02	1.295E-01	-1.295E-01	2.590E-01
3.050E-02	1.312E-01	-1.312E-01	2.623E-01
3.150E-02	1.328E-01	-1.328E-01	2.656E-01
3.250E-02	1.344E-01	-1.344E-01	2.688E-01
3.350E-02	1.359E-01	-1.359E-01	2.719E-01
3.450E-02	1.375E-01	-1.375E-01	2.749E-01
3.550E-02	1.389E-01	-1.389E-01	2.779E-01
3.650E-02	1.404E-01	-1.404E-01	2.808E-01
3.750E-02	1.418E-01	-1.418E-01	2.837E-01
3.850E-02	1.432E-01	-1.432E-01	2.865E-01
3.950E-02	1.446E-01	-1.446E-01	2.892E-01
4.050E-02	1.459E-01	-1.459E-01	2.919E-01
4.150E-02	1.473E-01	-1.473E-01	2.945E-01
4.250E-02	1.485E-01	-1.485E-01	2.971E-01
4.350E-02	1.498E-01	-1.498E-01	2.996E-01
4.450E-02	1.511E-01	-1.511E-01	3.021E-01
4.550E-02	1.523E-01	-1.523E-01	3.046E-01
4.650E-02	1.535E-01	-1.535E-01	3.070E-01
4.750E-02	1.547E-01	-1.547E-01	3.093E-01
4.850E-02	1.558E-01	-1.558E-01	3.116E-01
4.950E-02	1.570E-01	-1.570E-01	3.139E-01
5.050E-02	1.581E-01	-1.581E-01	3.162E-01
5.150E-02	1.592E-01	-1.592E-01	3.184E-01
5.250E-02	1.603E-01	-1.603E-01	3.205E-01
5.350E-02	1.613E-01	-1.613E-01	3.227E-01
5.450E-02	1.624E-01	-1.624E-01	3.248E-01
5.550E-02	1.634E-01	-1.634E-01	3.269E-01
5.650E-02	1.644E-01	-1.644E-01	3.289E-01
5.750E-02	1.655E-01	-1.655E-01	3.309E-01
5.850E-02	1.664E-01	-1.664E-01	3.329E-01
5.950E-02	1.674E-01	-1.674E-01	3.348E-01
6.050E-02	1.684E-01	-1.684E-01	3.368E-01
6.150E-02	1.693E-01	-1.693E-01	3.386E-01
6.250E-02	1.703E-01	-1.703E-01	3.405E-01
6.350E-02	1.712E-01	-1.712E-01	3.423E-01
6.450E-02	1.721E-01	-1.721E-01	3.442E-01
6.550E-02	1.730E-01	-1.730E-01	3.459E-01
6.650E-02	1.738E-01	-1.738E-01	3.477E-01
6.750E-02	1.747E-01	-1.747E-01	3.494E-01
6.850E-02	1.756E-01	-1.756E-01	3.512E-01
6.950E-02	1.764E-01	-1.764E-01	3.529E-01
7.050E-02	1.773E-01	-1.773E-01	3.545E-01
7.150E-02	1.781E-01	-1.781E-01	3.562E-01
7.250E-02	1.789E-01	-1.789E-01	3.578E-01
7.350E-02	1.797E-01	-1.797E-01	3.594E-01
7.450E-02	1.805E-01	-1.805E-01	3.610E-01
7.550E-02	1.813E-01	-1.813E-01	3.626E-01
7.650E-02	1.821E-01	-1.821E-01	3.641E-01
7.750E-02	1.828E-01	-1.828E-01	3.657E-01
7.850E-02	1.836E-01	-1.836E-01	3.672E-01
7.950E-02	1.843E-01	-1.843E-01	3.687E-01
8.050E-02	1.851E-01	-1.851E-01	3.702E-01
8.150E-02	1.858E-01	-1.858E-01	3.716E-01
8.250E-02	1.865E-01	-1.865E-01	3.730E-01
8.350E-02	1.872E-01	-1.872E-01	3.745E-01
8.450E-02	1.879E-01	-1.879E-01	3.759E-01
8.550E-02	1.886E-01	-1.886E-01	3.773E-01
8.650E-02	1.893E-01	-1.893E-01	3.786E-01
8.750E-02	1.900E-01	-1.900E-01	3.800E-01
8.850E-02	1.907E-01	-1.907E-01	3.813E-01
8.950E-02	1.913E-01	-1.913E-01	3.826E-01
9.050E-02	1.920E-01	-1.920E-01	3.840E-01
9.150E-02	1.926E-01	-1.926E-01	3.853E-01
9.250E-02	1.933E-01	-1.933E-01	3.865E-01
9.350E-02	1.939E-01	-1.939E-01	3.878E-01
9.450E-02	1.945E-01	-1.945E-01	3.891E-01
9.550E-02	1.952E-01	-1.952E-01	3.903E-01
9.650E-02	1.958E-01	-1.958E-01	3.915E-01
9.750E-02	1.964E-01	-1.964E-01	3.928E-01
9.850E-02	1.970E-01	-1.970E-01	3.940E-01
9.950E-02	1.976E-01	-1.976E-01	3.952E-01
1.005E-01	1.982E-01	-1.982E-01	3.963E-01
1.015E-01	1.988E-01	-1.988E-01	3.975E-01
1.025E-01	1.993E-01	-1.993E-01	3.987E-01
1.035E-01	1.999E-01	-1.999E-01	3.998E-01
1.045E-01	2.005E-01	-2.005E-01	4.009E-01
1.055E-01	2.010E-01	-2.010E-01	4.020E-01
1.065E-01	2.016E-01	-2.016E-01	4.031E-01
1.075E-01	2.021E-01	-2.021E-01	4.042E-01
1.085E-01	2.027E-01	-2.027E-01	4.053E-01
1.095E-01	2.032E-01	-2.032E-01	4.064E-01
1.105E-01	2.037E-01	-2.037E-01	4.074E-01
1.115E-01	2.042E-01	-2.042E-01	4.085E-01
1.125E-01	2.048E-01	-2.048E-01	4.095E-01
1.135E-01	2.053E-01	-2.053E-01	4.105E-01
1.145E-01	2.058E-01	-2.058E-01	4.115E-01
1.155E-01	2.063E-01	-2.063E-01	4.126E-01
1.165E-01	2.068E-01	-2.068E-01	4.135E-01
1.175E-01	2.073E-01	-2.073E-01	4.145E-01
1.185E-01	2.078E-01	-2.078E-01	4.155E-01
1.195E-01	2.082E-01	-2.082E-01	4.165E-01
1.205E-01	2.087E-01	-2.087E-01	4.174E-01
1.215E-01	2.092E-01	-2.092E-01	4.184E-01
1.225E-01	2.097E-01	-2.097E-01	4.193E-01
1.235E-01	2.101E-01	-2.101E-01	4.203E-01
1.245E-01	2.106E-01	-2.106E-01	4.212E-01
1.255E-01	2.110E-01	-2.110E-01	4.221E-01
1.265E-01	2.115E-01	-2.115E-01	4.230E-01
1.275E-01	2.120E-01	-2.120E-01	4.239E-01
1.285E-01	2.124E-01	-2.124E-01	4.248E-01
1.295E-01	2.128E-01	-2.128E-01	4.257E-01
1.305E-01	2.133E-01	-2.133E-01	4.266E-01
1.315E-01	2.137E-01	-2.137E-01	4.274E-01
1.325E-01	2.141E-01	-2.141E-01	4.283E-01
1.335E-01	2.146E-01	-2.146E-01	4.291E-01
1.345E-01	2.150E-01	-2.150E-01	4.300E-01
1.355E-01	2.154E-01	-2.154E-01	4.308E-01
1.365E-01	2.158E-01	-2.158E-01	4.316E-01
1.375E-01	2.162E-01	-2.162E-01	4.325E-01
1.385E-01	2.166E-01	-2.166E-01	4.333E-01
1.395E-01	2.170E-01	-2.170E-01	4.341E-01
1.405E-01	2.174E-01	-2.174E-01	4.349E-01
1.415E-01	2.178E-01	-2.178E-01	4.357E-01
1.425E-01	2.182E-01	-2.182E-01	4.364E-01
1.435E-01	2.186E-01	-2.186E-01	4.372E-01
1.445E-01	2.190E-01	-2.190E-01	4.380E-01
1.455E-01	2.194E-01	-2.194E-01	4.387E-01
1.465E-01	2.197E-01	-2.197E-01	4.395E-01
1.475E-01	2.201E-01	-2.201E-01	4.402E-01
1.485E-01	2.205E-01	-2.205E-01	4.410E-01
1.495E-01	2.208E-01	-2.208E-01	4.417E-01
1.505E-01	2.212E-01	-2.212E-01	4.424E-01
1.515E-01	2.216E-01	-2.216E-01	4.431E-01
1.525E-01	2.219E-01	-2.219E-01	4.438E-01
1.535E-01	2.223E-01	-2.223E-01	4.445E-01
1.545E-01	2.226E-01	-2.226E-01	4.452E-01
1.555E-01	2.230E-01	-2.230E-01	4.459E-01
1.565E-01	2.233E-01	-2.233E-01	4.466E-01
1.575E-01	2.236E-01	-2.236E-01	4.473E-01
1.585E-01	2.240E-01	-2.240E-01	4.480E-01
1.595E-01	2.243E-01	-2.243E-01	4.486E-01
