Q0 = 0.9 GeV	 Q = 5.2 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
1.000E-04	6.588E-03	-6.588E-03	1.318E-02
1.009E-04	6.620E-03	-6.620E-03	1.324E-02
1.019E-04	6.654E-03	-6.654E-03	1.331E-02
1.028E-04	6.687E-03	-6.687E-03	1.337E-02
1.038E-04	6.720E-03	-6.720E-03	1.344E-02
1.047E-04	6.754E-03	-6.754E-03	1.351E-02
1.057E-04	6.788E-03	-6.788E-03	1.358E-02
1.067E-04	6.821E-03	-6.821E-03	1.364E-02
1.076E-04	6.856E-03	-6.856E-03	1.371E-02
1.086E-04	6.890E-03	-6.890E-03	1.378E-02
1.096E-04	6.924E-03	-6.924E-03	1.385E-02
1.107E-04	6.959E-03	-6.959E-03	1.392E-02
1.117E-04	6.994E-03	-6.994E-03	1.399E-02
1.127E-04	7.028E-03	-7.028E-03	1.406E-02
1.138E-04	7.064E-03	-7.064E-03	1.413E-02
1.148E-04	7.099E-03	-7.099E-03	1.420E-02
1.159E-04	7.134E-03	-7.134E-03	1.427E-02
1.169E-04	7.170E-03	-7.170E-03	1.434E-02
1.180E-04	7.206E-03	-7.206E-03	1.441E-02
1.191E-04	7.242E-03	-7.242E-03	1.448E-02
1.202E-04	7.278E-03	-7.278E-03	1.456E-02
1.213E-04	7.314E-03	-7.314E-03	1.463E-02
1.225E-04	7.351E-03	-7.351E-03	1.470E-02
1.236E-04	7.387E-03	-7.387E-03	1.477E-02
1.247E-04	7.424E-03	-7.424E-03	1.485E-02
1.259E-04	7.461E-03	-7.461E-03	1.492E-02
1.271E-04	7.498E-03	-7.498E-03	1.500E-02
1.282E-04	7.536E-03	-7.536E-03	1.507E-02
1.294E-04	7.573E-03	-7.573E-03	1.515E-02
1.306E-04	7.611E-03	-7.611E-03	1.522E-02
1.318E-04	7.649E-03	-7.649E-03	1.530E-02
1.330E-04	7.687E-03	-7.687E-03	1.537E-02
1.343E-04	7.725E-03	-7.725E-03	1.545E-02
1.355E-04	7.764E-03	-7.764E-03	1.553E-02
1.368E-04	7.803E-03	-7.803E-03	1.561E-02
1.380E-04	7.841E-03	-7.841E-03	1.568E-02
1.393E-04	7.880E-03	-7.880E-03	1.576E-02
1.406E-04	7.920E-03	-7.920E-03	1.584E-02
1.419E-04	7.959E-03	-7.959E-03	1.592E-02
1.432E-04	7.999E-03	-7.999E-03	1.600E-02
1.445E-04	8.039E-03	-8.039E-03	1.608E-02
1.459E-04	8.079E-03	-8.079E-03	1.616E-02
1.472E-04	8.119E-03	-8.119E-03	1.624E-02
1.486E-04	8.159E-03	-8.159E-03	1.632E-02
1.500E-04	8.200E-03	-8.200E-03	1.640E-02
1.514E-04	8.241E-03	-8.241E-03	1.648E-02
1.528E-04	8.282E-03	-8.282E-03	1.656E-02
1.542E-04	8.323E-03	-8.323E-03	1.665E-02
1.556E-04	8.364E-03	-8.364E-03	1.673E-02
1.570E-04	8.406E-03	-8.406E-03	1.681E-02
1.585E-04	8.448E-03	-8.448E-03	1.690E-02
1.600E-04	8.490E-03	-8.490E-03	1.698E-02
1.614E-04	8.532E-03	-8.532E-03	1.706E-02
1.629E-04	8.575E-03	-8.575E-03	1.715E-02
1.644E-04	8.617E-03	-8.617E-03	1.723E-02
1.660E-04	8.660E-03	-8.660E-03	1.732E-02
1.675E-04	8.703E-03	-8.703E-03	1.741E-02
1.690E-04	8.746E-03	-8.746E-03	1.749E-02
