Q0 = 0.9 GeV	 Q = 0.9 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
1.000E-04	3.837E-03	-3.837E-03	7.674E-03
1.009E-04	3.855E-03	-3.855E-03	7.710E-03
1.019E-04	3.873E-03	-3.873E-03	7.745E-03
1.028E-04	3.891E-03	-3.891E-03	7.781E-03
1.038E-04	3.909E-03	-3.909E-03	7.817E-03
1.047E-04	3.927E-03	-3.927E-03	7.853E-03
1.057E-04	3.945E-03	-3.945E-03	7.890E-03
1.067E-04	3.963E-03	-3.963E-03	7.926E-03
1.076E-04	3.982E-03	-3.982E-03	7.963E-03
1.086E-04	4.000E-03	-4.000E-03	8.000E-03
1.096E-04	4.018E-03	-4.018E-03	8.037E-03
1.107E-04	4.037E-03	-4.037E-03	8.074E-03
1.117E-04	4.056E-03	-4.056E-03	8.111E-03
1.127E-04	4.075E-03	-4.075E-03	8.149E-03
1.138E-04	4.093E-03	-4.093E-03	8.187E-03
1.148E-04	4.112E-03	-4.112E-03	8.225E-03
1.159E-04	4.131E-03	-4.131E-03	8.263E-03
1.169E-04	4.151E-03	-4.151E-03	8.301E-03
1.180E-04	4.170E-03	-4.170E-03	8.339E-03
1.191E-04	4.189E-03	-4.189E-03	8.378E-03
1.202E-04	4.208E-03	-4.208E-03	8.417E-03
1.213E-04	4.228E-03	-4.228E-03	8.456E-03
1.225E-04	4.247E-03	-4.247E-03	8.495E-03
1.236E-04	4.267E-03	-4.267E-03	8.534E-03
1.247E-04	4.287E-03	-4.287E-03	8.574E-03
1.259E-04	4.307E-03	-4.307E-03	8.614E-03
1.271E-04	4.327E-03	-4.327E-03	8.653E-03
1.282E-04	4.347E-03	-4.347E-03	8.693E-03
1.294E-04	4.367E-03	-4.367E-03	8.734E-03
1.306E-04	4.387E-03	-4.387E-03	8.774E-03
1.318E-04	4.407E-03	-4.407E-03	8.815E-03
1.330E-04	4.428E-03	-4.428E-03	8.856E-03
1.343E-04	4.448E-03	-4.448E-03	8.897E-03
1.355E-04	4.469E-03	-4.469E-03	8.938E-03
1.368E-04	4.490E-03	-4.490E-03	8.979E-03
1.380E-04	4.510E-03	-4.510E-03	9.021E-03
1.393E-04	4.531E-03	-4.531E-03	9.063E-03
1.406E-04	4.552E-03	-4.552E-03	9.105E-03
1.419E-04	4.573E-03	-4.573E-03	9.147E-03
1.432E-04	4.595E-03	-4.595E-03	9.189E-03
1.445E-04	4.616E-03	-4.616E-03	9.232E-03
1.459E-04	4.637E-03	-4.637E-03	9.275E-03
1.472E-04	4.659E-03	-4.659E-03	9.318E-03
1.486E-04	4.680E-03	-4.680E-03	9.361E-03
1.500E-04	4.702E-03	-4.702E-03	9.404E-03
1.514E-04	4.724E-03	-4.724E-03	9.448E-03
1.528E-04	4.746E-03	-4.746E-03	9.491E-03
1.542E-04	4.768E-03	-4.768E-03	9.535E-03
1.556E-04	4.790E-03	-4.790E-03	9.580E-03
1.570E-04	4.812E-03	-4.812E-03	9.624E-03
1.585E-04	4.834E-03	-4.834E-03	9.669E-03
1.600E-04	4.857E-03	-4.857E-03	9.713E-03
1.614E-04	4.879E-03	-4.879E-03	9.758E-03
1.629E-04	4.902E-03	-4.902E-03	9.804E-03
1.644E-04	4.925E-03	-4.925E-03	9.849E-03
1.660E-04	4.947E-03	-4.947E-03	9.895E-03
1.675E-04	4.970E-03	-4.970E-03	9.941E-03
1.690E-04	4.993E-03	-4.993E-03	9.987E-03
1.706E-04	5.016E-03	-5.016E-03	1.003E-02
1.722E-04	5.040E-03	-5.040E-03	1.008E-02
1.738E-04	5.063E-03	-5.063E-03	1.013E-02
1.754E-04	5.087E-03	-5.087E-03	1.017E-02
1.770E-04	5.110E-03	-5.110E-03	1.022E-02
1.786E-04	5.134E-03	-5.134E-03	1.027E-02
1.803E-04	5.158E-03	-5.158E-03	1.032E-02
1.820E-04	5.182E-03	-5.182E-03	1.036E-02
1.837E-04	5.206E-03	-5.206E-03	1.041E-02
1.854E-04	5.230E-03	-5.230E-03	1.046E-02
1.871E-04	5.254E-03	-5.254E-03	1.051E-02
1.888E-04	5.278E-03	-5.278E-03	1.056E-02
1.905E-04	5.303E-03	-5.303E-03	1.061E-02
1.923E-04	5.327E-03	-5.327E-03	1.065E-02
1.941E-04	5.352E-03	-5.352E-03	1.070E-02
1.959E-04	5.377E-03	-5.377E-03	1.075E-02
1.977E-04	5.402E-03	-5.402E-03	1.080E-02
1.995E-04	5.427E-03	-5.427E-03	1.085E-02
2.014E-04	5.452E-03	-5.452E-03	1.090E-02
2.032E-04	5.477E-03	-5.477E-03	1.095E-02
2.051E-04	5.503E-03	-5.503E-03	1.101E-02
2.070E-04	5.528E-03	-5.528E-03	1.106E-02
2.089E-04	5.554E-03	-5.554E-03	1.111E-02
2.109E-04	5.580E-03	-5.580E-03	1.116E-02
2.128E-04	5.606E-03	-5.606E-03	1.121E-02
2.148E-04	5.632E-03	-5.632E-03	1.126E-02
2.168E-04	5.658E-03	-5.658E-03	1.132E-02
2.188E-04	5.684E-03	-5.684E-03	1.137E-02
2.208E-04	5.710E-03	-5.710E-03	1.142E-02
2.228E-04	5.737E-03	-5.737E-03	1.147E-02
2.249E-04	5.764E-03	-5.764E-03	1.153E-02
2.270E-04	5.790E-03	-5.790E-03	1.158E-02
2.291E-04	5.817E-03	-5.817E-03	1.163E-02
2.312E-04	5.844E-03	-5.844E-03	1.169E-02
2.333E-04	5.871E-03	-5.871E-03	1.174E-02
2.355E-04	5.899E-03	-5.899E-03	1.180E-02
2.377E-04	5.926E-03	-5.926E-03	1.185E-02
2.399E-04	5.953E-03	-5.953E-03	1.191E-02
2.421E-04	5.981E-03	-5.981E-03	1.196E-02
2.443E-04	6.009E-03	-6.009E-03	1.202E-02
2.466E-04	6.037E-03	-6.037E-03	1.207E-02
2.489E-04	6.065E-03	-6.065E-03	1.213E-02
2.512E-04	6.093E-03	-6.093E-03	1.219E-02
2.535E-04	6.121E-03	-6.121E-03	1.224E-02
