Q0 = 0.9 GeV	 Q = 0.9 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
1.000E-04	3.765E-03	-3.765E-03	7.530E-03
1.009E-04	3.782E-03	-3.782E-03	7.565E-03
1.019E-04	3.800E-03	-3.800E-03	7.600E-03
1.028E-04	3.817E-03	-3.817E-03	7.635E-03
1.038E-04	3.835E-03	-3.835E-03	7.670E-03
1.047E-04	3.853E-03	-3.853E-03	7.706E-03
1.057E-04	3.871E-03	-3.871E-03	7.741E-03
1.067E-04	3.889E-03	-3.889E-03	7.777E-03
1.076E-04	3.907E-03	-3.907E-03	7.813E-03
1.086E-04	3.925E-03	-3.925E-03	7.849E-03
1.096E-04	3.943E-03	-3.943E-03	7.886E-03
1.107E-04	3.961E-03	-3.961E-03	7.922E-03
1.117E-04	3.979E-03	-3.979E-03	7.959E-03
1.127E-04	3.998E-03	-3.998E-03	7.996E-03
1.138E-04	4.016E-03	-4.016E-03	8.033E-03
1.148E-04	4.035E-03	-4.035E-03	8.070E-03
1.159E-04	4.054E-03	-4.054E-03	8.107E-03
1.169E-04	4.072E-03	-4.072E-03	8.145E-03
1.180E-04	4.091E-03	-4.091E-03	8.183E-03
1.191E-04	4.110E-03	-4.110E-03	8.220E-03
1.202E-04	4.129E-03	-4.129E-03	8.259E-03
1.213E-04	4.148E-03	-4.148E-03	8.297E-03
1.225E-04	4.168E-03	-4.168E-03	8.335E-03
1.236E-04	4.187E-03	-4.187E-03	8.374E-03
1.247E-04	4.206E-03	-4.206E-03	8.413E-03
1.259E-04	4.226E-03	-4.226E-03	8.452E-03
1.271E-04	4.245E-03	-4.245E-03	8.491E-03
1.282E-04	4.265E-03	-4.265E-03	8.530E-03
1.294E-04	4.285E-03	-4.285E-03	8.570E-03
1.306E-04	4.305E-03	-4.305E-03	8.609E-03
1.318E-04	4.325E-03	-4.325E-03	8.649E-03
1.330E-04	4.345E-03	-4.345E-03	8.689E-03
1.343E-04	4.365E-03	-4.365E-03	8.729E-03
1.355E-04	4.385E-03	-4.385E-03	8.770E-03
1.368E-04	4.405E-03	-4.405E-03	8.810E-03
1.380E-04	4.426E-03	-4.426E-03	8.851E-03
1.393E-04	4.446E-03	-4.446E-03	8.892E-03
1.406E-04	4.467E-03	-4.467E-03	8.933E-03
1.419E-04	4.487E-03	-4.487E-03	8.975E-03
1.432E-04	4.508E-03	-4.508E-03	9.016E-03
1.445E-04	4.529E-03	-4.529E-03	9.058E-03
1.459E-04	4.550E-03	-4.550E-03	9.100E-03
1.472E-04	4.571E-03	-4.571E-03	9.142E-03
1.486E-04	4.592E-03	-4.592E-03	9.185E-03
1.500E-04	4.614E-03	-4.614E-03	9.227E-03
1.514E-04	4.635E-03	-4.635E-03	9.270E-03
1.528E-04	4.656E-03	-4.656E-03	9.313E-03
1.542E-04	4.678E-03	-4.678E-03	9.356E-03
1.556E-04	4.700E-03	-4.700E-03	9.399E-03
1.570E-04	4.722E-03	-4.722E-03	9.443E-03
1.585E-04	4.743E-03	-4.743E-03	9.487E-03
1.600E-04	4.765E-03	-4.765E-03	9.531E-03
1.614E-04	4.787E-03	-4.787E-03	9.575E-03
1.629E-04	4.810E-03	-4.810E-03	9.619E-03
1.644E-04	4.832E-03	-4.832E-03	9.664E-03
1.660E-04	4.854E-03	-4.854E-03	9.709E-03
1.675E-04	4.877E-03	-4.877E-03	9.754E-03
1.690E-04	4.899E-03	-4.899E-03	9.799E-03
1.706E-04	4.922E-03	-4.922E-03	9.844E-03
1.722E-04	4.945E-03	-4.945E-03	9.890E-03
1.738E-04	4.968E-03	-4.968E-03	9.936E-03
1.754E-04	4.991E-03	-4.991E-03	9.982E-03
1.770E-04	5.014E-03	-5.014E-03	1.003E-02
1.786E-04	5.037E-03	-5.037E-03	1.007E-02
1.803E-04	5.061E-03	-5.061E-03	1.012E-02
1.820E-04	5.084E-03	-5.084E-03	1.017E-02
1.837E-04	5.108E-03	-5.108E-03	1.022E-02
1.854E-04	5.131E-03	-5.131E-03	1.026E-02
1.871E-04	5.155E-03	-5.155E-03	1.031E-02
1.888E-04	5.179E-03	-5.179E-03	1.036E-02
1.905E-04	5.203E-03	-5.203E-03	1.041E-02
1.923E-04	5.227E-03	-5.227E-03	1.045E-02
1.941E-04	5.252E-03	-5.252E-03	1.050E-02
1.959E-04	5.276E-03	-5.276E-03	1.055E-02
1.977E-04	5.300E-03	-5.300E-03	1.060E-02
1.995E-04	5.325E-03	-5.325E-03	1.065E-02
2.014E-04	5.350E-03	-5.350E-03	1.070E-02
2.032E-04	5.374E-03	-5.374E-03	1.075E-02
2.051E-04	5.399E-03	-5.399E-03	1.080E-02
2.070E-04	5.424E-03	-5.424E-03	1.085E-02
2.089E-04	5.450E-03	-5.450E-03	1.090E-02
2.109E-04	5.475E-03	-5.475E-03	1.095E-02
2.128E-04	5.500E-03	-5.500E-03	1.100E-02
2.148E-04	5.526E-03	-5.526E-03	1.105E-02
2.168E-04	5.551E-03	-5.551E-03	1.110E-02
2.188E-04	5.577E-03	-5.577E-03	1.115E-02
2.208E-04	5.603E-03	-5.603E-03	1.121E-02
2.228E-04	5.629E-03	-5.629E-03	1.126E-02
2.249E-04	5.655E-03	-5.655E-03	1.131E-02
2.270E-04	5.681E-03	-5.681E-03	1.136E-02
2.291E-04	5.708E-03	-5.708E-03	1.142E-02
2.312E-04	5.734E-03	-5.734E-03	1.147E-02
2.333E-04	5.761E-03	-5.761E-03	1.152E-02
2.355E-04	5.788E-03	-5.788E-03	1.158E-02
2.377E-04	5.815E-03	-5.815E-03	1.163E-02
2.399E-04	5.842E-03	-5.842E-03	1.168E-02
2.421E-04	5.869E-03	-5.869E-03	1.174E-02
2.443E-04	5.896E-03	-5.896E-03	1.179E-02
2.466E-04	5.923E-03	-5.923E-03	1.185E-02
2.489E-04	5.951E-03	-5.951E-03	1.190E-02
2.512E-04	5.978E-03	-5.978E-03	1.196E-02
