Q0 = 1.087 GeV	 Q = 3.160 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
1.000E-04	5.958E-03	-5.958E-03	1.192E-02
1.009E-04	5.985E-03	-5.985E-03	1.197E-02
1.019E-04	6.013E-03	-6.013E-03	1.203E-02
1.028E-04	6.040E-03	-6.040E-03	1.208E-02
1.038E-04	6.068E-03	-6.068E-03	1.214E-02
1.047E-04	6.096E-03	-6.096E-03	1.219E-02
1.057E-04	6.124E-03	-6.124E-03	1.225E-02
1.067E-04	6.152E-03	-6.152E-03	1.230E-02
1.076E-04	6.181E-03	-6.181E-03	1.236E-02
1.086E-04	6.209E-03	-6.209E-03	1.242E-02
1.096E-04	6.238E-03	-6.238E-03	1.248E-02
1.107E-04	6.267E-03	-6.267E-03	1.253E-02
1.117E-04	6.296E-03	-6.296E-03	1.259E-02
1.127E-04	6.325E-03	-6.325E-03	1.265E-02
1.138E-04	6.354E-03	-6.354E-03	1.271E-02
1.148E-04	6.383E-03	-6.383E-03	1.277E-02
1.159E-04	6.412E-03	-6.412E-03	1.282E-02
1.169E-04	6.442E-03	-6.442E-03	1.288E-02
1.180E-04	6.472E-03	-6.472E-03	1.294E-02
1.191E-04	6.501E-03	-6.501E-03	1.300E-02
1.202E-04	6.531E-03	-6.531E-03	1.306E-02
1.213E-04	6.561E-03	-6.561E-03	1.312E-02
1.225E-04	6.592E-03	-6.592E-03	1.318E-02
1.236E-04	6.622E-03	-6.622E-03	1.324E-02
1.247E-04	6.652E-03	-6.652E-03	1.330E-02
1.259E-04	6.683E-03	-6.683E-03	1.337E-02
1.271E-04	6.714E-03	-6.714E-03	1.343E-02
1.282E-04	6.745E-03	-6.745E-03	1.349E-02
1.294E-04	6.776E-03	-6.776E-03	1.355E-02
1.306E-04	6.807E-03	-6.807E-03	1.361E-02
1.318E-04	6.838E-03	-6.838E-03	1.368E-02
1.330E-04	6.870E-03	-6.870E-03	1.374E-02
1.343E-04	6.902E-03	-6.902E-03	1.380E-02
1.355E-04	6.933E-03	-6.933E-03	1.387E-02
1.368E-04	6.965E-03	-6.965E-03	1.393E-02
1.380E-04	6.997E-03	-6.997E-03	1.399E-02
1.393E-04	7.030E-03	-7.030E-03	1.406E-02
1.406E-04	7.062E-03	-7.062E-03	1.412E-02
1.419E-04	7.095E-03	-7.095E-03	1.419E-02
1.432E-04	7.127E-03	-7.127E-03	1.425E-02
1.445E-04	7.160E-03	-7.160E-03	1.432E-02
1.459E-04	7.193E-03	-7.193E-03	1.439E-02
1.472E-04	7.226E-03	-7.226E-03	1.445E-02
1.486E-04	7.260E-03	-7.260E-03	1.452E-02
1.500E-04	7.293E-03	-7.293E-03	1.459E-02
