Q0 = 1.1 GeV	 Q = 5.2 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
1.000E-04	6.793E-03	-6.793E-03	1.359E-02
1.009E-04	6.824E-03	-6.824E-03	1.365E-02
1.019E-04	6.856E-03	-6.856E-03	1.371E-02
1.028E-04	6.887E-03	-6.887E-03	1.377E-02
1.038E-04	6.919E-03	-6.919E-03	1.384E-02
1.047E-04	6.951E-03	-6.951E-03	1.390E-02
1.057E-04	6.982E-03	-6.982E-03	1.396E-02
1.067E-04	7.014E-03	-7.014E-03	1.403E-02
1.076E-04	7.047E-03	-7.047E-03	1.409E-02
1.086E-04	7.079E-03	-7.079E-03	1.416E-02
1.096E-04	7.111E-03	-7.111E-03	1.422E-02
1.107E-04	7.144E-03	-7.144E-03	1.429E-02
1.117E-04	7.177E-03	-7.177E-03	1.435E-02
1.127E-04	7.210E-03	-7.210E-03	1.442E-02
1.138E-04	7.243E-03	-7.243E-03	1.449E-02
1.148E-04	7.276E-03	-7.276E-03	1.455E-02
1.159E-04	7.309E-03	-7.309E-03	1.462E-02
1.169E-04	7.343E-03	-7.343E-03	1.469E-02
1.180E-04	7.377E-03	-7.377E-03	1.475E-02
1.191E-04	7.410E-03	-7.410E-03	1.482E-02
1.202E-04	7.444E-03	-7.444E-03	1.489E-02
1.213E-04	7.479E-03	-7.479E-03	1.496E-02
1.225E-04	7.513E-03	-7.513E-03	1.503E-02
1.236E-04	7.547E-03	-7.547E-03	1.509E-02
1.247E-04	7.582E-03	-7.582E-03	1.516E-02
1.259E-04	7.617E-03	-7.617E-03	1.523E-02
1.271E-04	7.652E-03	-7.652E-03	1.530E-02
1.282E-04	7.687E-03	-7.687E-03	1.537E-02
1.294E-04	7.722E-03	-7.722E-03	1.544E-02
1.306E-04	7.757E-03	-7.757E-03	1.551E-02
1.318E-04	7.793E-03	-7.793E-03	1.559E-02
1.330E-04	7.829E-03	-7.829E-03	1.566E-02
1.343E-04	7.865E-03	-7.865E-03	1.573E-02
1.355E-04	7.901E-03	-7.901E-03	1.580E-02
1.368E-04	7.937E-03	-7.937E-03	1.587E-02
1.380E-04	7.973E-03	-7.973E-03	1.595E-02
1.393E-04	8.010E-03	-8.010E-03	1.602E-02
1.406E-04	8.047E-03	-8.047E-03	1.609E-02
1.419E-04	8.084E-03	-8.084E-03	1.617E-02
1.432E-04	8.121E-03	-8.121E-03	1.624E-02
1.445E-04	8.158E-03	-8.158E-03	1.632E-02
1.459E-04	8.195E-03	-8.195E-03	1.639E-02
1.472E-04	8.233E-03	-8.233E-03	1.647E-02
1.486E-04	8.271E-03	-8.271E-03	1.654E-02
1.500E-04	8.309E-03	-8.309E-03	1.662E-02
1.514E-04	8.347E-03	-8.347E-03	1.669E-02
1.528E-04	8.385E-03	-8.385E-03	1.677E-02
1.542E-04	8.424E-03	-8.424E-03	1.685E-02
1.556E-04	8.462E-03	-8.462E-03	1.692E-02
1.570E-04	8.501E-03	-8.501E-03	1.700E-02
1.585E-04	8.540E-03	-8.540E-03	1.708E-02
1.600E-04	8.579E-03	-8.579E-03	1.716E-02
1.614E-04	8.618E-03	-8.618E-03	1.724E-02
1.629E-04	8.658E-03	-8.658E-03	1.732E-02
1.644E-04	8.698E-03	-8.698E-03	1.740E-02
1.660E-04	8.738E-03	-8.738E-03	1.748E-02
1.675E-04	8.778E-03	-8.778E-03	1.756E-02
1.690E-04	8.818E-03	-8.818E-03	1.764E-02
1.706E-04	8.858E-03	-8.858E-03	1.772E-02
1.722E-04	8.899E-03	-8.899E-03	1.780E-02
1.738E-04	8.940E-03	-8.940E-03	1.788E-02
1.754E-04	8.981E-03	-8.981E-03	1.796E-02
1.770E-04	9.022E-03	-9.022E-03	1.804E-02
1.786E-04	9.063E-03	-9.063E-03	1.813E-02
1.803E-04	9.105E-03	-9.105E-03	1.821E-02
1.820E-04	9.147E-03	-9.147E-03	1.829E-02
1.837E-04	9.189E-03	-9.189E-03	1.838E-02
1.854E-04	9.231E-03	-9.231E-03	1.846E-02
1.871E-04	9.273E-03	-9.273E-03	1.855E-02
1.888E-04	9.316E-03	-9.316E-03	1.863E-02
1.905E-04	9.359E-03	-9.359E-03	1.872E-02
1.923E-04	9.401E-03	-9.401E-03	1.880E-02
1.941E-04	9.445E-03	-9.445E-03	1.889E-02
1.959E-04	9.488E-03	-9.488E-03	1.898E-02
1.977E-04	9.531E-03	-9.531E-03	1.906E-02
1.995E-04	9.575E-03	-9.575E-03	1.915E-02
2.014E-04	9.619E-03	-9.619E-03	1.924E-02
