Q0 = 0.9 GeV	 Q = 5.2 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
1.000E-04	3.860E-03	-3.860E-03	7.721E-03
1.009E-04	3.883E-03	-3.883E-03	7.766E-03
1.019E-04	3.905E-03	-3.905E-03	7.811E-03
1.028E-04	3.928E-03	-3.928E-03	7.856E-03
1.038E-04	3.951E-03	-3.951E-03	7.902E-03
1.047E-04	3.974E-03	-3.974E-03	7.948E-03
1.057E-04	3.997E-03	-3.997E-03	7.994E-03
1.067E-04	4.021E-03	-4.021E-03	8.041E-03
1.076E-04	4.044E-03	-4.044E-03	8.088E-03
1.086E-04	4.067E-03	-4.067E-03	8.135E-03
1.096E-04	4.091E-03	-4.091E-03	8.182E-03
1.107E-04	4.115E-03	-4.115E-03	8.230E-03
1.117E-04	4.139E-03	-4.139E-03	8.278E-03
1.127E-04	4.163E-03	-4.163E-03	8.326E-03
1.138E-04	4.187E-03	-4.187E-03	8.375E-03
1.148E-04	4.212E-03	-4.212E-03	8.423E-03
1.159E-04	4.236E-03	-4.236E-03	8.472E-03
1.169E-04	4.261E-03	-4.261E-03	8.522E-03
1.180E-04	4.286E-03	-4.286E-03	8.571E-03
1.191E-04	4.311E-03	-4.311E-03	8.621E-03
1.202E-04	4.336E-03	-4.336E-03	8.671E-03
1.213E-04	4.361E-03	-4.361E-03	8.722E-03
1.225E-04	4.386E-03	-4.386E-03	8.773E-03
1.236E-04	4.412E-03	-4.412E-03	8.824E-03
1.247E-04	4.437E-03	-4.437E-03	8.875E-03
1.259E-04	4.463E-03	-4.463E-03	8.927E-03
1.271E-04	4.489E-03	-4.489E-03	8.978E-03
1.282E-04	4.515E-03	-4.515E-03	9.031E-03
1.294E-04	4.542E-03	-4.542E-03	9.083E-03
1.306E-04	4.568E-03	-4.568E-03	9.136E-03
1.318E-04	4.595E-03	-4.595E-03	9.189E-03
1.330E-04	4.621E-03	-4.621E-03	9.243E-03
1.343E-04	4.648E-03	-4.648E-03	9.296E-03
1.355E-04	4.675E-03	-4.675E-03	9.350E-03
1.368E-04	4.702E-03	-4.702E-03	9.405E-03
1.380E-04	4.730E-03	-4.730E-03	9.459E-03
1.393E-04	4.757E-03	-4.757E-03	9.514E-03
1.406E-04	4.785E-03	-4.785E-03	9.570E-03
1.419E-04	4.813E-03	-4.813E-03	9.625E-03
1.432E-04	4.841E-03	-4.841E-03	9.681E-03
1.445E-04	4.869E-03	-4.869E-03	9.738E-03
1.459E-04	4.897E-03	-4.897E-03	9.794E-03
1.472E-04	4.926E-03	-4.926E-03	9.851E-03
1.486E-04	4.954E-03	-4.954E-03	9.908E-03
1.500E-04	4.983E-03	-4.983E-03	9.966E-03
1.514E-04	5.012E-03	-5.012E-03	1.002E-02
1.528E-04	5.041E-03	-5.041E-03	1.008E-02
1.542E-04	5.070E-03	-5.070E-03	1.014E-02
1.556E-04	5.100E-03	-5.100E-03	1.020E-02
1.570E-04	5.129E-03	-5.129E-03	1.026E-02
1.585E-04	5.159E-03	-5.159E-03	1.032E-02
1.600E-04	5.189E-03	-5.189E-03	1.038E-02
1.614E-04	5.219E-03	-5.219E-03	1.044E-02
1.629E-04	5.249E-03	-5.249E-03	1.050E-02
1.644E-04	5.280E-03	-5.280E-03	1.056E-02
1.660E-04	5.311E-03	-5.311E-03	1.062E-02
1.675E-04	5.341E-03	-5.341E-03	1.068E-02
1.690E-04	5.372E-03	-5.372E-03	1.074E-02
1.706E-04	5.404E-03	-5.404E-03	1.081E-02
1.722E-04	5.435E-03	-5.435E-03	1.087E-02
1.738E-04	5.466E-03	-5.466E-03	1.093E-02
1.754E-04	5.498E-03	-5.498E-03	1.100E-02
1.770E-04	5.530E-03	-5.530E-03	1.106E-02
1.786E-04	5.562E-03	-5.562E-03	1.112E-02
1.803E-04	5.594E-03	-5.594E-03	1.119E-02
1.820E-04	5.627E-03	-5.627E-03	1.125E-02
1.837E-04	5.660E-03	-5.660E-03	1.132E-02
1.854E-04	5.692E-03	-5.692E-03	1.138E-02
1.871E-04	5.725E-03	-5.725E-03	1.145E-02
1.888E-04	5.759E-03	-5.759E-03	1.152E-02
1.905E-04	5.792E-03	-5.792E-03	1.158E-02
1.923E-04	5.826E-03	-5.826E-03	1.165E-02
1.941E-04	5.859E-03	-5.859E-03	1.172E-02
1.959E-04	5.893E-03	-5.893E-03	1.179E-02
1.977E-04	5.927E-03	-5.927E-03	1.185E-02
1.995E-04	5.962E-03	-5.962E-03	1.192E-02
2.014E-04	5.996E-03	-5.996E-03	1.199E-02
2.032E-04	6.031E-03	-6.031E-03	1.206E-02
2.051E-04	6.066E-03	-6.066E-03	1.213E-02
