Q0 = 0.9 GeV	 Q = 5.2 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
1.000E-04	4.044E-03	-4.044E-03	8.088E-03
1.009E-04	4.067E-03	-4.067E-03	8.135E-03
1.019E-04	4.091E-03	-4.091E-03	8.181E-03
1.028E-04	4.114E-03	-4.114E-03	8.229E-03
1.038E-04	4.138E-03	-4.138E-03	8.276E-03
1.047E-04	4.162E-03	-4.162E-03	8.324E-03
1.057E-04	4.186E-03	-4.186E-03	8.372E-03
1.067E-04	4.210E-03	-4.210E-03	8.420E-03
1.076E-04	4.234E-03	-4.234E-03	8.468E-03
1.086E-04	4.259E-03	-4.259E-03	8.517E-03
1.096E-04	4.283E-03	-4.283E-03	8.566E-03
1.107E-04	4.308E-03	-4.308E-03	8.616E-03
1.117E-04	4.333E-03	-4.333E-03	8.665E-03
1.127E-04	4.358E-03	-4.358E-03	8.715E-03
1.138E-04	4.383E-03	-4.383E-03	8.766E-03
1.148E-04	4.408E-03	-4.408E-03	8.816E-03
1.159E-04	4.433E-03	-4.433E-03	8.867E-03
1.169E-04	4.459E-03	-4.459E-03	8.918E-03
1.180E-04	4.485E-03	-4.485E-03	8.969E-03
1.191E-04	4.510E-03	-4.510E-03	9.021E-03
1.202E-04	4.536E-03	-4.536E-03	9.073E-03
1.213E-04	4.563E-03	-4.563E-03	9.125E-03
1.225E-04	4.589E-03	-4.589E-03	9.178E-03
1.236E-04	4.615E-03	-4.615E-03	9.230E-03
1.247E-04	4.642E-03	-4.642E-03	9.284E-03
1.259E-04	4.668E-03	-4.668E-03	9.337E-03
1.271E-04	4.695E-03	-4.695E-03	9.391E-03
1.282E-04	4.722E-03	-4.722E-03	9.445E-03
1.294E-04	4.750E-03	-4.750E-03	9.499E-03
1.306E-04	4.777E-03	-4.777E-03	9.554E-03
1.318E-04	4.804E-03	-4.804E-03	9.609E-03
1.330E-04	4.832E-03	-4.832E-03	9.664E-03
1.343E-04	4.860E-03	-4.860E-03	9.720E-03
1.355E-04	4.888E-03	-4.888E-03	9.776E-03
1.368E-04	4.916E-03	-4.916E-03	9.832E-03
1.380E-04	4.944E-03	-4.944E-03	9.888E-03
1.393E-04	4.973E-03	-4.973E-03	9.945E-03
1.406E-04	5.001E-03	-5.001E-03	1.000E-02
1.419E-04	5.030E-03	-5.030E-03	1.006E-02
1.432E-04	5.059E-03	-5.059E-03	1.012E-02
1.445E-04	5.088E-03	-5.088E-03	1.018E-02
1.459E-04	5.117E-03	-5.117E-03	1.023E-02
1.472E-04	5.147E-03	-5.147E-03	1.029E-02
1.486E-04	5.176E-03	-5.176E-03	1.035E-02
1.500E-04	5.206E-03	-5.206E-03	1.041E-02
1.514E-04	5.236E-03	-5.236E-03	1.047E-02
1.528E-04	5.266E-03	-5.266E-03	1.053E-02
1.542E-04	5.296E-03	-5.296E-03	1.059E-02
1.556E-04	5.327E-03	-5.327E-03	1.065E-02
1.570E-04	5.357E-03	-5.357E-03	1.071E-02
1.585E-04	5.388E-03	-5.388E-03	1.078E-02
1.600E-04	5.419E-03	-5.419E-03	1.084E-02
1.614E-04	5.450E-03	-5.450E-03	1.090E-02
1.629E-04	5.481E-03	-5.481E-03	1.096E-02
1.644E-04	5.513E-03	-5.513E-03	1.103E-02
1.660E-04	5.545E-03	-5.545E-03	1.109E-02
1.675E-04	5.576E-03	-5.576E-03	1.115E-02
1.690E-04	5.609E-03	-5.609E-03	1.122E-02
1.706E-04	5.641E-03	-5.641E-03	1.128E-02
1.722E-04	5.673E-03	-5.673E-03	1.135E-02
1.738E-04	5.706E-03	-5.706E-03	1.141E-02
1.754E-04	5.738E-03	-5.738E-03	1.148E-02
1.770E-04	5.771E-03	-5.771E-03	1.154E-02
1.786E-04	5.804E-03	-5.804E-03	1.161E-02
1.803E-04	5.838E-03	-5.838E-03	1.168E-02
1.820E-04	5.871E-03	-5.871E-03	1.174E-02
