Q0 = 0.5 GeV	 Q = 3.2 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
5.000E-04	-1.866E-01	-1.767E-01	-9.913E-03
1.500E-03	-3.579E-01	-2.202E-01	-1.377E-01
2.500E-03	-4.301E-01	-2.283E-01	-2.019E-01
3.500E-03	-4.694E-01	-2.274E-01	-2.420E-01
4.500E-03	-4.919E-01	-2.227E-01	-2.692E-01
5.500E-03	-5.043E-01	-2.159E-01	-2.884E-01
6.500E-03	-5.101E-01	-2.080E-01	-3.021E-01
7.500E-03	-5.111E-01	-1.993E-01	-3.118E-01
8.500E-03	-5.088E-01	-1.902E-01	-3.186E-01
9.500E-03	-5.038E-01	-1.808E-01	-3.230E-01
1.050E-02	-4.969E-01	-1.712E-01	-3.257E-01
1.150E-02	-4.885E-01	-1.616E-01	-3.269E-01
1.250E-02	-4.788E-01	-1.519E-01	-3.269E-01
1.350E-02	-4.682E-01	-1.422E-01	-3.259E-01
1.450E-02	-4.568E-01	-1.326E-01	-3.241E-01
1.550E-02	-4.448E-01	-1.231E-01	-3.217E-01
1.650E-02	-4.323E-01	-1.137E-01	-3.186E-01
1.750E-02	-4.194E-01	-1.043E-01	-3.150E-01
1.850E-02	-4.062E-01	-9.510E-02	-3.111E-01
1.950E-02	-3.927E-01	-8.600E-02	-3.067E-01
2.050E-02	-3.791E-01	-7.704E-02	-3.021E-01
2.150E-02	-3.654E-01	-6.822E-02	-2.972E-01
2.250E-02	-3.516E-01	-5.953E-02	-2.920E-01
2.350E-02	-3.377E-01	-5.099E-02	-2.867E-01
2.450E-02	-3.238E-01	-4.259E-02	-2.812E-01
2.550E-02	-3.099E-01	-3.434E-02	-2.755E-01
2.650E-02	-2.960E-01	-2.623E-02	-2.697E-01
2.750E-02	-2.821E-01	-1.827E-02	-2.639E-01
2.850E-02	-2.683E-01	-1.045E-02	-2.579E-01
2.950E-02	-2.546E-01	-2.771E-03	-2.518E-01
3.050E-02	-2.410E-01	4.763E-03	-2.457E-01
3.150E-02	-2.274E-01	1.215E-02	-2.396E-01
3.250E-02	-2.139E-01	1.941E-02	-2.334E-01
3.350E-02	-2.006E-01	2.652E-02	-2.271E-01
3.450E-02	-1.874E-01	3.350E-02	-2.209E-01
3.550E-02	-1.742E-01	4.034E-02	-2.146E-01
3.650E-02	-1.612E-01	4.705E-02	-2.083E-01
3.750E-02	-1.484E-01	5.362E-02	-2.020E-01
3.850E-02	-1.356E-01	6.007E-02	-1.957E-01
3.950E-02	-1.230E-01	6.639E-02	-1.894E-01
4.050E-02	-1.105E-01	7.258E-02	-1.831E-01
4.150E-02	-9.820E-02	7.865E-02	-1.768E-01
4.250E-02	-8.600E-02	8.460E-02	-1.706E-01
4.350E-02	-7.394E-02	9.042E-02	-1.644E-01
4.450E-02	-6.202E-02	9.613E-02	-1.582E-01
4.550E-02	-5.024E-02	1.017E-01	-1.520E-01
4.650E-02	-3.861E-02	1.072E-01	-1.458E-01
4.750E-02	-2.711E-02	1.126E-01	-1.397E-01
