Q0 = 3.2 GeV	 Q = 3.2 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
5.000E-04	2.516E-02	1.479E-02	1.037E-02
1.500E-03	4.343E-02	2.549E-02	1.794E-02
2.500E-03	5.588E-02	3.275E-02	2.312E-02
3.500E-03	6.590E-02	3.857E-02	2.733E-02
4.500E-03	7.447E-02	4.353E-02	3.094E-02
5.500E-03	8.205E-02	4.789E-02	3.416E-02
6.500E-03	8.890E-02	5.182E-02	3.709E-02
7.500E-03	9.518E-02	5.539E-02	3.978E-02
8.500E-03	1.010E-01	5.869E-02	4.229E-02
9.500E-03	1.064E-01	6.175E-02	4.465E-02
1.050E-02	1.115E-01	6.461E-02	4.688E-02
1.150E-02	1.163E-01	6.729E-02	4.899E-02
1.250E-02	1.208E-01	6.982E-02	5.101E-02
1.350E-02	1.251E-01	7.221E-02	5.293E-02
1.450E-02	1.293E-01	7.447E-02	5.478E-02
1.550E-02	1.332E-01	7.663E-02	5.656E-02
1.650E-02	1.370E-01	7.868E-02	5.827E-02
1.750E-02	1.406E-01	8.064E-02	5.993E-02
1.850E-02	1.440E-01	8.251E-02	6.153E-02
1.950E-02	1.474E-01	8.430E-02	6.308E-02
2.050E-02	1.506E-01	8.602E-02	6.458E-02
2.150E-02	1.537E-01	8.767E-02	6.604E-02
2.250E-02	1.567E-01	8.925E-02	6.746E-02
2.350E-02	1.596E-01	9.076E-02	6.884E-02
2.450E-02	1.624E-01	9.223E-02	7.019E-02
2.550E-02	1.651E-01	9.363E-02	7.150E-02
2.650E-02	1.678E-01	9.499E-02	7.278E-02
2.750E-02	1.703E-01	9.629E-02	7.403E-02
2.850E-02	1.728E-01	9.755E-02	7.525E-02
2.950E-02	1.752E-01	9.876E-02	7.644E-02
3.050E-02	1.775E-01	9.993E-02	7.761E-02
3.150E-02	1.798E-01	1.011E-01	7.875E-02
3.250E-02	1.820E-01	1.021E-01	7.987E-02
3.350E-02	1.842E-01	1.032E-01	8.097E-02
3.450E-02	1.863E-01	1.042E-01	8.204E-02
3.550E-02	1.883E-01	1.052E-01	8.310E-02
3.650E-02	1.903E-01	1.061E-01	8.413E-02
3.750E-02	1.922E-01	1.070E-01	8.514E-02
3.850E-02	1.941E-01	1.079E-01	8.613E-02
3.950E-02	1.959E-01	1.088E-01	8.711E-02
4.050E-02	1.977E-01	1.096E-01	8.807E-02
4.150E-02	1.994E-01	1.104E-01	8.901E-02
4.250E-02	2.011E-01	1.112E-01	8.993E-02
4.350E-02	2.028E-01	1.119E-01	9.084E-02
4.450E-02	2.044E-01	1.126E-01	9.173E-02
4.550E-02	2.059E-01	1.133E-01	9.260E-02
4.650E-02	2.075E-01	1.140E-01	9.347E-02
4.750E-02	2.090E-01	1.146E-01	9.431E-02
4.850E-02	2.104E-01	1.153E-01	9.515E-02
4.950E-02	2.118E-01	1.159E-01	9.597E-02
5.050E-02	2.132E-01	1.164E-01	9.677E-02
5.150E-02	2.146E-01	1.170E-01	9.757E-02
5.250E-02	2.159E-01	1.175E-01	9.835E-02
5.350E-02	2.172E-01	1.181E-01	9.912E-02
5.450E-02	2.184E-01	1.186E-01	9.987E-02
5.550E-02	2.197E-01	1.190E-01	1.006E-01
5.650E-02	2.209E-01	1.195E-01	1.013E-01
5.750E-02	2.220E-01	1.200E-01	1.021E-01
5.850E-02	2.232E-01	1.204E-01	1.028E-01
5.950E-02	2.243E-01	1.208E-01	1.035E-01
6.050E-02	2.254E-01	1.212E-01	1.042E-01
6.150E-02	2.264E-01	1.216E-01	1.049E-01
6.250E-02	2.275E-01	1.219E-01	1.055E-01
6.350E-02	2.285E-01	1.223E-01	1.062E-01
6.450E-02	2.295E-01	1.226E-01	1.068E-01
6.550E-02	2.304E-01	1.229E-01	1.075E-01
6.650E-02	2.313E-01	1.232E-01	1.081E-01
6.750E-02	2.323E-01	1.235E-01	1.087E-01
6.850E-02	2.331E-01	1.238E-01	1.093E-01
6.950E-02	2.340E-01	1.241E-01	1.099E-01
7.050E-02	2.349E-01	1.243E-01	1.105E-01
7.150E-02	2.357E-01	1.246E-01	1.111E-01
7.250E-02	2.365E-01	1.248E-01	1.117E-01
7.350E-02	2.373E-01	1.250E-01	1.123E-01
7.450E-02	2.380E-01	1.252E-01	1.128E-01
7.550E-02	2.388E-01	1.254E-01	1.134E-01
7.650E-02	2.395E-01	1.256E-01	1.139E-01
7.750E-02	2.402E-01	1.258E-01	1.144E-01
7.850E-02	2.409E-01	1.259E-01	1.150E-01
7.950E-02	2.416E-01	1.261E-01	1.155E-01
8.050E-02	2.422E-01	1.262E-01	1.160E-01
8.150E-02	2.428E-01	1.263E-01	1.165E-01
8.250E-02	2.434E-01	1.264E-01	1.170E-01
8.350E-02	2.440E-01	1.265E-01	1.175E-01
8.450E-02	2.446E-01	1.266E-01	1.180E-01
8.550E-02	2.452E-01	1.267E-01	1.185E-01
8.650E-02	2.457E-01	1.268E-01	1.189E-01
8.750E-02	2.463E-01	1.269E-01	1.194E-01
8.850E-02	2.468E-01	1.269E-01	1.199E-01
8.950E-02	2.473E-01	1.270E-01	1.203E-01
9.050E-02	2.478E-01	1.270E-01	1.208E-01
9.150E-02	2.482E-01	1.270E-01	1.212E-01
9.250E-02	2.487E-01	1.271E-01	1.216E-01
9.350E-02	2.491E-01	1.271E-01	1.220E-01
9.450E-02	2.496E-01	1.271E-01	1.225E-01
9.550E-02	2.500E-01	1.271E-01	1.229E-01
9.650E-02	2.504E-01	1.271E-01	1.233E-01
9.750E-02	2.507E-01	1.271E-01	1.237E-01
9.850E-02	2.511E-01	1.270E-01	1.241E-01
9.950E-02	2.515E-01	1.270E-01	1.245E-01
1.005E-01	2.518E-01	1.270E-01	1.248E-01
1.015E-01	2.522E-01	1.269E-01	1.252E-01
1.025E-01	2.525E-01	1.269E-01	1.256E-01
1.035E-01	2.528E-01	1.268E-01	1.259E-01
1.045E-01	2.531E-01	1.268E-01	1.263E-01
1.055E-01	2.534E-01	1.267E-01	1.267E-01
1.065E-01	2.536E-01	1.266E-01	1.270E-01
1.075E-01	2.539E-01	1.265E-01	1.274E-01
1.085E-01	2.541E-01	1.264E-01	1.277E-01
1.095E-01	2.544E-01	1.263E-01	1.280E-01
1.105E-01	2.546E-01	1.262E-01	1.283E-01
1.115E-01	2.548E-01	1.261E-01	1.287E-01
1.125E-01	2.550E-01	1.260E-01	1.290E-01
1.135E-01	2.552E-01	1.259E-01	1.293E-01
1.145E-01	2.554E-01	1.258E-01	1.296E-01
1.155E-01	2.555E-01	1.256E-01	1.299E-01
1.165E-01	2.557E-01	1.255E-01	1.302E-01
1.175E-01	2.559E-01	1.254E-01	1.305E-01
1.185E-01	2.560E-01	1.252E-01	1.308E-01
1.195E-01	2.561E-01	1.251E-01	1.311E-01
1.205E-01	2.562E-01	1.249E-01	1.313E-01
1.215E-01	2.564E-01	1.248E-01	1.316E-01
1.225E-01	2.565E-01	1.246E-01	1.319E-01
1.235E-01	2.566E-01	1.244E-01	1.321E-01
1.245E-01	2.566E-01	1.242E-01	1.324E-01
1.255E-01	2.567E-01	1.241E-01	1.326E-01
1.265E-01	2.568E-01	1.239E-01	1.329E-01
1.275E-01	2.568E-01	1.237E-01	1.331E-01
1.285E-01	2.569E-01	1.235E-01	1.334E-01
1.295E-01	2.569E-01	1.233E-01	1.336E-01
1.305E-01	2.569E-01	1.231E-01	1.338E-01
1.315E-01	2.570E-01	1.229E-01	1.341E-01
1.325E-01	2.570E-01	1.227E-01	1.343E-01
1.335E-01	2.570E-01	1.225E-01	1.345E-01
1.345E-01	2.570E-01	1.223E-01	1.347E-01
1.355E-01	2.570E-01	1.220E-01	1.349E-01
1.365E-01	2.569E-01	1.218E-01	1.351E-01
1.375E-01	2.569E-01	1.216E-01	1.353E-01
1.385E-01	2.569E-01	1.214E-01	1.355E-01
1.395E-01	2.568E-01	1.211E-01	1.357E-01
1.405E-01	2.568E-01	1.209E-01	1.359E-01
1.415E-01	2.567E-01	1.206E-01	1.361E-01
1.425E-01	2.567E-01	1.204E-01	1.363E-01
1.435E-01	2.566E-01	1.201E-01	1.365E-01
1.445E-01	2.565E-01	1.199E-01	1.366E-01
1.455E-01	2.564E-01	1.196E-01	1.368E-01
