Q0 = 1.4 GeV	 Q = 3.2 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
1.000E-04	2.135E-03	1.311E-03	8.236E-04
1.009E-04	2.150E-03	1.320E-03	8.297E-04
1.019E-04	2.164E-03	1.329E-03	8.359E-04
1.028E-04	2.180E-03	1.337E-03	8.421E-04
1.038E-04	2.195E-03	1.346E-03	8.483E-04
1.047E-04	2.210E-03	1.355E-03	8.546E-04
1.057E-04	2.225E-03	1.364E-03	8.610E-04
1.067E-04	2.241E-03	1.373E-03	8.673E-04
1.076E-04	2.256E-03	1.383E-03	8.738E-04
1.086E-04	2.272E-03	1.392E-03	8.803E-04
1.096E-04	2.288E-03	1.401E-03	8.868E-04
1.107E-04	2.304E-03	1.410E-03	8.934E-04
1.117E-04	2.320E-03	1.420E-03	9.000E-04
1.127E-04	2.336E-03	1.429E-03	9.067E-04
1.138E-04	2.352E-03	1.439E-03	9.134E-04
1.148E-04	2.369E-03	1.449E-03	9.202E-04
1.159E-04	2.385E-03	1.458E-03	9.270E-04
1.169E-04	2.402E-03	1.468E-03	9.339E-04
1.180E-04	2.419E-03	1.478E-03	9.409E-04
1.191E-04	2.436E-03	1.488E-03	9.478E-04
1.202E-04	2.453E-03	1.498E-03	9.549E-04
1.213E-04	2.470E-03	1.508E-03	9.620E-04
1.225E-04	2.487E-03	1.518E-03	9.691E-04
1.236E-04	2.504E-03	1.528E-03	9.763E-04
1.247E-04	2.522E-03	1.538E-03	9.836E-04
1.259E-04	2.539E-03	1.549E-03	9.909E-04
1.271E-04	2.557E-03	1.559E-03	9.983E-04
1.282E-04	2.575E-03	1.569E-03	1.006E-03
1.294E-04	2.593E-03	1.580E-03	1.013E-03
1.306E-04	2.611E-03	1.591E-03	1.021E-03
1.318E-04	2.630E-03	1.601E-03	1.028E-03
1.330E-04	2.648E-03	1.612E-03	1.036E-03
1.343E-04	2.667E-03	1.623E-03	1.044E-03
1.355E-04	2.685E-03	1.634E-03	1.051E-03
1.368E-04	2.704E-03	1.645E-03	1.059E-03
1.380E-04	2.723E-03	1.656E-03	1.067E-03
1.393E-04	2.742E-03	1.667E-03	1.075E-03
1.406E-04	2.761E-03	1.678E-03	1.083E-03
1.419E-04	2.781E-03	1.690E-03	1.091E-03
1.432E-04	2.800E-03	1.701E-03	1.099E-03
1.445E-04	2.820E-03	1.713E-03	1.107E-03
1.459E-04	2.840E-03	1.724E-03	1.116E-03
1.472E-04	2.860E-03	1.736E-03	1.124E-03
1.486E-04	2.880E-03	1.747E-03	1.132E-03
1.500E-04	2.900E-03	1.759E-03	1.141E-03
1.514E-04	2.920E-03	1.771E-03	1.149E-03
1.528E-04	2.941E-03	1.783E-03	1.158E-03
1.542E-04	2.962E-03	1.795E-03	1.167E-03
1.556E-04	2.983E-03	1.807E-03	1.175E-03
1.570E-04	3.004E-03	1.820E-03	1.184E-03
1.585E-04	3.025E-03	1.832E-03	1.193E-03
1.600E-04	3.046E-03	1.844E-03	1.202E-03
1.614E-04	3.068E-03	1.857E-03	1.211E-03
1.629E-04	3.089E-03	1.869E-03	1.220E-03
1.644E-04	3.111E-03	1.882E-03	1.229E-03
1.660E-04	3.133E-03	1.895E-03	1.238E-03
1.675E-04	3.155E-03	1.908E-03	1.247E-03
1.690E-04	3.177E-03	1.921E-03	1.257E-03
1.706E-04	3.200E-03	1.934E-03	1.266E-03
1.722E-04	3.222E-03	1.947E-03	1.275E-03
1.738E-04	3.245E-03	1.960E-03	1.285E-03
1.754E-04	3.268E-03	1.974E-03	1.294E-03
1.770E-04	3.291E-03	1.987E-03	1.304E-03
1.786E-04	3.314E-03	2.000E-03	1.314E-03
1.803E-04	3.338E-03	2.014E-03	1.324E-03
1.820E-04	3.361E-03	2.028E-03	1.334E-03
1.837E-04	3.385E-03	2.042E-03	1.344E-03
1.854E-04	3.409E-03	2.056E-03	1.354E-03
1.871E-04	3.433E-03	2.070E-03	1.364E-03
1.888E-04	3.458E-03	2.084E-03	1.374E-03
1.905E-04	3.482E-03	2.098E-03	1.384E-03
1.923E-04	3.507E-03	2.112E-03	1.394E-03
1.941E-04	3.532E-03	2.127E-03	1.405E-03
1.959E-04	3.557E-03	2.141E-03	1.415E-03
1.977E-04	3.582E-03	2.156E-03	1.426E-03
1.995E-04	3.607E-03	2.171E-03	1.437E-03
2.014E-04	3.633E-03	2.186E-03	1.447E-03
2.032E-04	3.659E-03	2.201E-03	1.458E-03
2.051E-04	3.685E-03	2.216E-03	1.469E-03
2.070E-04	3.711E-03	2.231E-03	1.480E-03
2.089E-04	3.737E-03	2.246E-03	1.491E-03
2.109E-04	3.764E-03	2.261E-03	1.502E-03
2.128E-04	3.791E-03	2.277E-03	1.514E-03
2.148E-04	3.818E-03	2.293E-03	1.525E-03
2.168E-04	3.845E-03	2.308E-03	1.536E-03
2.188E-04	3.872E-03	2.324E-03	1.548E-03
2.208E-04	3.900E-03	2.340E-03	1.560E-03
2.228E-04	3.928E-03	2.356E-03	1.571E-03
2.249E-04	3.956E-03	2.373E-03	1.583E-03
2.270E-04	3.984E-03	2.389E-03	1.595E-03
2.291E-04	4.012E-03	2.405E-03	1.607E-03
2.312E-04	4.041E-03	2.422E-03	1.619E-03
2.333E-04	4.070E-03	2.439E-03	1.631E-03
2.355E-04	4.099E-03	2.455E-03	1.643E-03
2.377E-04	4.128E-03	2.472E-03	1.656E-03
2.399E-04	4.157E-03	2.489E-03	1.668E-03
2.421E-04	4.187E-03	2.507E-03	1.680E-03
2.443E-04	4.217E-03	2.524E-03	1.693E-03
2.466E-04	4.247E-03	2.541E-03	1.706E-03
2.489E-04	4.277E-03	2.559E-03	1.719E-03
2.512E-04	4.308E-03	2.576E-03	1.731E-03
