Q0 = 1.4 GeV	 Q = 1.4 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
1.000E-04	5.521E-04	3.247E-04	2.273E-04
1.009E-04	5.572E-04	3.277E-04	2.294E-04
1.019E-04	5.623E-04	3.308E-04	2.315E-04
1.028E-04	5.675E-04	3.338E-04	2.337E-04
1.038E-04	5.728E-04	3.369E-04	2.358E-04
1.047E-04	5.781E-04	3.400E-04	2.380E-04
1.057E-04	5.834E-04	3.432E-04	2.402E-04
1.067E-04	5.888E-04	3.464E-04	2.425E-04
1.076E-04	5.943E-04	3.496E-04	2.447E-04
1.086E-04	5.998E-04	3.528E-04	2.470E-04
1.096E-04	6.053E-04	3.561E-04	2.492E-04
1.107E-04	6.109E-04	3.594E-04	2.516E-04
1.117E-04	6.166E-04	3.627E-04	2.539E-04
1.127E-04	6.223E-04	3.660E-04	2.562E-04
1.138E-04	6.280E-04	3.694E-04	2.586E-04
1.148E-04	6.338E-04	3.728E-04	2.610E-04
1.159E-04	6.397E-04	3.763E-04	2.634E-04
1.169E-04	6.456E-04	3.798E-04	2.658E-04
1.180E-04	6.516E-04	3.833E-04	2.683E-04
1.191E-04	6.576E-04	3.868E-04	2.708E-04
1.202E-04	6.637E-04	3.904E-04	2.733E-04
1.213E-04	6.698E-04	3.940E-04	2.758E-04
1.225E-04	6.760E-04	3.977E-04	2.784E-04
1.236E-04	6.823E-04	4.014E-04	2.809E-04
1.247E-04	6.886E-04	4.051E-04	2.835E-04
1.259E-04	6.950E-04	4.088E-04	2.862E-04
1.271E-04	7.014E-04	4.126E-04	2.888E-04
1.282E-04	7.079E-04	4.164E-04	2.915E-04
1.294E-04	7.145E-04	4.203E-04	2.942E-04
1.306E-04	7.211E-04	4.242E-04	2.969E-04
1.318E-04	7.277E-04	4.281E-04	2.997E-04
1.330E-04	7.345E-04	4.320E-04	3.024E-04
1.343E-04	7.413E-04	4.360E-04	3.052E-04
1.355E-04	7.481E-04	4.401E-04	3.080E-04
1.368E-04	7.550E-04	4.441E-04	3.109E-04
1.380E-04	7.620E-04	4.483E-04	3.138E-04
1.393E-04	7.691E-04	4.524E-04	3.167E-04
1.406E-04	7.762E-04	4.566E-04	3.196E-04
1.419E-04	7.834E-04	4.608E-04	3.226E-04
1.432E-04	7.906E-04	4.651E-04	3.256E-04
1.445E-04	7.979E-04	4.694E-04	3.286E-04
1.459E-04	8.053E-04	4.737E-04	3.316E-04
1.472E-04	8.128E-04	4.781E-04	3.347E-04
1.486E-04	8.203E-04	4.825E-04	3.378E-04
1.500E-04	8.279E-04	4.870E-04	3.409E-04
1.514E-04	8.355E-04	4.915E-04	3.440E-04
1.528E-04	8.433E-04	4.960E-04	3.472E-04
1.542E-04	8.511E-04	5.006E-04	3.504E-04
1.556E-04	8.589E-04	5.053E-04	3.537E-04
1.570E-04	8.669E-04	5.099E-04	3.570E-04
1.585E-04	8.749E-04	5.147E-04	3.603E-04
1.600E-04	8.830E-04	5.194E-04	3.636E-04
1.614E-04	8.912E-04	5.242E-04	3.670E-04
1.629E-04	8.994E-04	5.291E-04	3.704E-04
1.644E-04	9.077E-04	5.340E-04	3.738E-04
1.660E-04	9.161E-04	5.389E-04	3.772E-04
1.675E-04	9.246E-04	5.439E-04	3.807E-04
1.690E-04	9.332E-04	5.489E-04	3.842E-04
