Q0 = 0.9 GeV	 Q = 3.2 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
1.000E-04	1.919E-02	1.138E-02	7.807E-03
1.009E-04	1.927E-02	1.143E-02	7.842E-03
1.019E-04	1.936E-02	1.148E-02	7.877E-03
1.028E-04	1.944E-02	1.153E-02	7.913E-03
1.038E-04	1.953E-02	1.158E-02	7.949E-03
1.047E-04	1.961E-02	1.163E-02	7.985E-03
1.057E-04	1.970E-02	1.168E-02	8.021E-03
1.067E-04	1.978E-02	1.173E-02	8.057E-03
1.076E-04	1.987E-02	1.178E-02	8.094E-03
1.086E-04	1.996E-02	1.183E-02	8.130E-03
1.096E-04	2.005E-02	1.188E-02	8.167E-03
1.107E-04	2.014E-02	1.193E-02	8.204E-03
1.117E-04	2.022E-02	1.198E-02	8.241E-03
1.127E-04	2.031E-02	1.203E-02	8.278E-03
1.138E-04	2.040E-02	1.209E-02	8.316E-03
1.148E-04	2.049E-02	1.214E-02	8.353E-03
1.159E-04	2.058E-02	1.219E-02	8.391E-03
1.169E-04	2.067E-02	1.224E-02	8.429E-03
1.180E-04	2.076E-02	1.230E-02	8.467E-03
1.191E-04	2.085E-02	1.235E-02	8.505E-03
1.202E-04	2.095E-02	1.240E-02	8.544E-03
1.213E-04	2.104E-02	1.246E-02	8.582E-03
1.225E-04	2.113E-02	1.251E-02	8.621E-03
1.236E-04	2.122E-02	1.256E-02	8.660E-03
1.247E-04	2.132E-02	1.262E-02	8.699E-03
1.259E-04	2.141E-02	1.267E-02	8.739E-03
1.271E-04	2.151E-02	1.273E-02	8.778E-03
1.282E-04	2.160E-02	1.278E-02	8.818E-03
1.294E-04	2.169E-02	1.284E-02	8.858E-03
1.306E-04	2.179E-02	1.289E-02	8.898E-03
1.318E-04	2.189E-02	1.295E-02	8.938E-03
1.330E-04	2.198E-02	1.300E-02	8.978E-03
1.343E-04	2.208E-02	1.306E-02	9.019E-03
1.355E-04	2.218E-02	1.312E-02	9.060E-03
1.368E-04	2.227E-02	1.317E-02	9.101E-03
1.380E-04	2.237E-02	1.323E-02	9.142E-03
1.393E-04	2.247E-02	1.329E-02	9.183E-03
1.406E-04	2.257E-02	1.334E-02	9.225E-03
1.419E-04	2.267E-02	1.340E-02	9.266E-03
1.432E-04	2.277E-02	1.346E-02	9.308E-03
