Q0 = 1.3 GeV	 Q = 3.2 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
1.000E-04	1.165E-02	6.904E-03	4.748E-03
1.009E-04	1.171E-02	6.940E-03	4.774E-03
1.019E-04	1.178E-02	6.976E-03	4.800E-03
1.028E-04	1.184E-02	7.013E-03	4.826E-03
1.038E-04	1.190E-02	7.049E-03	4.852E-03
1.047E-04	1.196E-02	7.086E-03	4.878E-03
1.057E-04	1.203E-02	7.123E-03	4.904E-03
1.067E-04	1.209E-02	7.160E-03	4.931E-03
1.076E-04	1.215E-02	7.198E-03	4.957E-03
1.086E-04	1.222E-02	7.235E-03	4.984E-03
1.096E-04	1.228E-02	7.273E-03	5.011E-03
1.107E-04	1.235E-02	7.311E-03	5.038E-03
1.117E-04	1.241E-02	7.349E-03	5.065E-03
1.127E-04	1.248E-02	7.387E-03	5.092E-03
1.138E-04	1.255E-02	7.426E-03	5.120E-03
1.148E-04	1.261E-02	7.465E-03	5.147E-03
1.159E-04	1.268E-02	7.504E-03	5.175E-03
1.169E-04	1.275E-02	7.543E-03	5.203E-03
1.180E-04	1.281E-02	7.582E-03	5.231E-03
1.191E-04	1.288E-02	7.622E-03	5.259E-03
1.202E-04	1.295E-02	7.661E-03	5.287E-03
1.213E-04	1.302E-02	7.701E-03	5.316E-03
1.225E-04	1.309E-02	7.741E-03	5.345E-03
1.236E-04	1.316E-02	7.782E-03	5.373E-03
1.247E-04	1.322E-02	7.822E-03	5.402E-03
1.259E-04	1.329E-02	7.863E-03	5.431E-03
1.271E-04	1.336E-02	7.904E-03	5.461E-03
1.282E-04	1.344E-02	7.945E-03	5.490E-03
1.294E-04	1.351E-02	7.987E-03	5.520E-03
1.306E-04	1.358E-02	8.029E-03	5.549E-03
1.318E-04	1.365E-02	8.070E-03	5.579E-03
1.330E-04	1.372E-02	8.113E-03	5.609E-03
1.343E-04	1.379E-02	8.155E-03	5.640E-03
1.355E-04	1.387E-02	8.197E-03	5.670E-03
1.368E-04	1.394E-02	8.240E-03	5.701E-03
1.380E-04	1.401E-02	8.283E-03	5.731E-03
1.393E-04	1.409E-02	8.326E-03	5.762E-03
1.406E-04	1.416E-02	8.370E-03	5.793E-03
1.419E-04	1.424E-02	8.413E-03	5.824E-03
1.432E-04	1.431E-02	8.457E-03	5.856E-03
1.445E-04	1.439E-02	8.501E-03	5.887E-03
1.459E-04	1.446E-02	8.546E-03	5.919E-03
1.472E-04	1.454E-02	8.590E-03	5.951E-03
1.486E-04	1.462E-02	8.635E-03	5.983E-03
1.500E-04	1.470E-02	8.680E-03	6.015E-03
1.514E-04	1.477E-02	8.725E-03	6.048E-03
1.528E-04	1.485E-02	8.771E-03	6.080E-03
1.542E-04	1.493E-02	8.817E-03	6.113E-03
1.556E-04	1.501E-02	8.863E-03	6.146E-03
1.570E-04	1.509E-02	8.909E-03	6.179E-03
1.585E-04	1.517E-02	8.955E-03	6.212E-03
1.600E-04	1.525E-02	9.002E-03	6.246E-03
1.614E-04	1.533E-02	9.049E-03	6.279E-03
1.629E-04	1.541E-02	9.096E-03	6.313E-03
1.644E-04	1.549E-02	9.143E-03	6.347E-03
1.660E-04	1.557E-02	9.191E-03	6.381E-03
1.675E-04	1.565E-02	9.239E-03	6.416E-03
1.690E-04	1.574E-02	9.287E-03	6.450E-03
1.706E-04	1.582E-02	9.336E-03	6.485E-03
1.722E-04	1.590E-02	9.384E-03	6.520E-03
1.738E-04	1.599E-02	9.433E-03	6.555E-03
1.754E-04	1.607E-02	9.483E-03	6.590E-03
1.770E-04	1.616E-02	9.532E-03	6.626E-03
1.786E-04	1.624E-02	9.582E-03	6.661E-03
1.803E-04	1.633E-02	9.632E-03	6.697E-03
1.820E-04	1.642E-02	9.682E-03	6.733E-03
1.837E-04	1.650E-02	9.732E-03	6.769E-03
1.854E-04	1.659E-02	9.783E-03	6.806E-03
1.871E-04	1.668E-02	9.834E-03	6.843E-03
1.888E-04	1.676E-02	9.885E-03	6.879E-03
1.905E-04	1.685E-02	9.937E-03	6.916E-03
1.923E-04	1.694E-02	9.989E-03	6.954E-03
1.941E-04	1.703E-02	1.004E-02	6.991E-03
1.959E-04	1.712E-02	1.009E-02	7.029E-03
1.977E-04	1.721E-02	1.015E-02	7.067E-03
1.995E-04	1.730E-02	1.020E-02	7.105E-03
2.014E-04	1.739E-02	1.025E-02	7.143E-03
2.032E-04	1.749E-02	1.031E-02	7.181E-03
2.051E-04	1.758E-02	1.036E-02	7.220E-03
2.070E-04	1.767E-02	1.041E-02	7.259E-03
2.089E-04	1.777E-02	1.047E-02	7.298E-03
2.109E-04	1.786E-02	1.052E-02	7.337E-03
2.128E-04	1.795E-02	1.058E-02	7.377E-03
2.148E-04	1.805E-02	1.063E-02	7.416E-03
2.168E-04	1.814E-02	1.069E-02	7.456E-03
2.188E-04	1.824E-02	1.074E-02	7.496E-03
2.208E-04	1.834E-02	1.080E-02	7.537E-03
2.228E-04	1.843E-02	1.086E-02	7.577E-03
2.249E-04	1.853E-02	1.091E-02	7.618E-03
2.270E-04	1.863E-02	1.097E-02	7.659E-03
2.291E-04	1.873E-02	1.103E-02	7.700E-03
2.312E-04	1.883E-02	1.108E-02	7.742E-03
2.333E-04	1.892E-02	1.114E-02	7.783E-03
2.355E-04	1.902E-02	1.120E-02	7.825E-03
2.377E-04	1.913E-02	1.126E-02	7.867E-03
2.399E-04	1.923E-02	1.132E-02	7.909E-03
2.421E-04	1.933E-02	1.138E-02	7.952E-03
2.443E-04	1.943E-02	1.144E-02	7.995E-03
2.466E-04	1.953E-02	1.149E-02	8.038E-03
2.489E-04	1.964E-02	1.155E-02	8.081E-03
2.512E-04	1.974E-02	1.161E-02	8.124E-03
2.535E-04	1.984E-02	1.168E-02	8.168E-03
2.559E-04	1.995E-02	1.174E-02	8.212E-03
2.582E-04	2.005E-02	1.180E-02	8.256E-03
2.606E-04	2.016E-02	1.186E-02	8.301E-03
2.630E-04	2.027E-02	1.192E-02	8.345E-03
2.655E-04	2.037E-02	1.198E-02	8.390E-03
2.679E-04	2.048E-02	1.205E-02	8.435E-03
2.704E-04	2.059E-02	1.211E-02	8.481E-03
2.729E-04	2.070E-02	1.217E-02	8.526E-03
2.754E-04	2.081E-02	1.224E-02	8.572E-03
2.780E-04	2.092E-02	1.230E-02	8.618E-03
2.805E-04	2.103E-02	1.236E-02	8.665E-03
2.831E-04	2.114E-02	1.243E-02	8.711E-03
2.858E-04	2.125E-02	1.249E-02	8.758E-03
2.884E-04	2.136E-02	1.256E-02	8.805E-03
2.911E-04	2.148E-02	1.262E-02	8.852E-03
2.938E-04	2.159E-02	1.269E-02	8.900E-03
2.965E-04	2.170E-02	1.276E-02	8.948E-03
2.992E-04	2.182E-02	1.282E-02	8.996E-03
3.020E-04	2.193E-02	1.289E-02	9.044E-03
3.048E-04	2.205E-02	1.296E-02	9.093E-03
3.076E-04	2.217E-02	1.302E-02	9.142E-03
3.105E-04	2.228E-02	1.309E-02	9.191E-03
3.133E-04	2.240E-02	1.316E-02	9.241E-03
3.162E-04	2.252E-02	1.323E-02	9.290E-03
3.192E-04	2.264E-02	1.330E-02	9.340E-03
3.221E-04	2.276E-02	1.337E-02	9.390E-03
3.251E-04	2.288E-02	1.344E-02	9.441E-03
3.281E-04	2.300E-02	1.351E-02	9.492E-03
3.311E-04	2.312E-02	1.358E-02	9.543E-03
3.342E-04	2.324E-02	1.365E-02	9.594E-03
3.373E-04	2.336E-02	1.372E-02	9.646E-03
3.404E-04	2.349E-02	1.379E-02	9.697E-03
3.436E-04	2.361E-02	1.386E-02	9.750E-03
3.467E-04	2.374E-02	1.393E-02	9.802E-03
3.499E-04	2.386E-02	1.401E-02	9.855E-03
3.532E-04	2.399E-02	1.408E-02	9.908E-03
3.565E-04	2.411E-02	1.415E-02	9.961E-03
3.597E-04	2.424E-02	1.423E-02	1.001E-02
3.631E-04	2.437E-02	1.430E-02	1.007E-02
3.664E-04	2.450E-02	1.438E-02	1.012E-02
3.698E-04	2.463E-02	1.445E-02	1.018E-02
3.733E-04	2.476E-02	1.453E-02	1.023E-02
3.767E-04	2.489E-02	1.460E-02	1.029E-02
3.802E-04	2.502E-02	1.468E-02	1.034E-02
3.837E-04	2.515E-02	1.476E-02	1.040E-02
3.873E-04	2.529E-02	1.483E-02	1.045E-02
3.908E-04	2.542E-02	1.491E-02	1.051E-02
3.945E-04	2.555E-02	1.499E-02	1.057E-02
3.981E-04	2.569E-02	1.507E-02	1.062E-02
4.018E-04	2.582E-02	1.514E-02	1.068E-02
4.055E-04	2.596E-02	1.522E-02	1.074E-02
4.093E-04	2.610E-02	1.530E-02	1.079E-02
4.130E-04	2.624E-02	1.538E-02	1.085E-02
4.169E-04	2.637E-02	1.546E-02	1.091E-02
4.207E-04	2.651E-02	1.554E-02	1.097E-02
4.246E-04	2.665E-02	1.562E-02	1.103E-02
4.285E-04	2.679E-02	1.571E-02	1.109E-02
4.325E-04	2.694E-02	1.579E-02	1.115E-02
4.365E-04	2.708E-02	1.587E-02	1.121E-02
4.406E-04	2.722E-02	1.595E-02	1.127E-02
4.446E-04	2.737E-02	1.604E-02	1.133E-02
4.487E-04	2.751E-02	1.612E-02	1.139E-02
4.529E-04	2.766E-02	1.620E-02	1.145E-02
4.571E-04	2.780E-02	1.629E-02	1.151E-02
4.613E-04	2.795E-02	1.637E-02	1.157E-02
4.656E-04	2.810E-02	1.646E-02	1.164E-02
4.699E-04	2.824E-02	1.655E-02	1.170E-02
4.742E-04	2.839E-02	1.663E-02	1.176E-02
4.786E-04	2.854E-02	1.672E-02	1.182E-02
4.831E-04	2.869E-02	1.681E-02	1.189E-02
4.875E-04	2.885E-02	1.689E-02	1.195E-02
4.920E-04	2.900E-02	1.698E-02	1.202E-02
4.966E-04	2.915E-02	1.707E-02	1.208E-02
5.012E-04	2.931E-02	1.716E-02	1.215E-02
5.058E-04	2.946E-02	1.725E-02	1.221E-02
5.105E-04	2.962E-02	1.734E-02	1.228E-02
5.152E-04	2.977E-02	1.743E-02	1.234E-02
5.200E-04	2.993E-02	1.752E-02	1.241E-02
5.248E-04	3.009E-02	1.761E-02	1.248E-02
5.297E-04	3.025E-02	1.770E-02	1.254E-02
5.346E-04	3.041E-02	1.780E-02	1.261E-02
5.395E-04	3.057E-02	1.789E-02	1.268E-02
5.445E-04	3.073E-02	1.798E-02	1.275E-02
5.495E-04	3.089E-02	1.808E-02	1.281E-02
5.546E-04	3.105E-02	1.817E-02	1.288E-02
5.598E-04	3.122E-02	1.827E-02	1.295E-02
5.649E-04	3.138E-02	1.836E-02	1.302E-02
5.702E-04	3.155E-02	1.846E-02	1.309E-02
5.754E-04	3.172E-02	1.855E-02	1.316E-02
5.808E-04	3.188E-02	1.865E-02	1.323E-02
5.861E-04	3.205E-02	1.875E-02	1.330E-02
5.916E-04	3.222E-02	1.885E-02	1.338E-02
5.970E-04	3.239E-02	1.895E-02	1.345E-02
6.026E-04	3.256E-02	1.904E-02	1.352E-02
6.081E-04	3.274E-02	1.914E-02	1.359E-02
6.138E-04	3.291E-02	1.924E-02	1.367E-02
6.194E-04	3.308E-02	1.934E-02	1.374E-02
6.252E-04	3.326E-02	1.945E-02	1.381E-02
6.310E-04	3.343E-02	1.955E-02	1.389E-02
6.368E-04	3.361E-02	1.965E-02	1.396E-02
6.427E-04	3.379E-02	1.975E-02	1.404E-02
6.486E-04	3.397E-02	1.985E-02	1.411E-02
6.546E-04	3.415E-02	1.996E-02	1.419E-02
6.607E-04	3.433E-02	2.006E-02	1.426E-02
6.668E-04	3.451E-02	2.017E-02	1.434E-02
6.730E-04	3.469E-02	2.027E-02	1.442E-02
6.792E-04	3.487E-02	2.038E-02	1.450E-02
6.855E-04	3.506E-02	2.049E-02	1.457E-02
6.918E-04	3.524E-02	2.059E-02	1.465E-02
6.982E-04	3.543E-02	2.070E-02	1.473E-02
