Q0 = 0.9 GeV	 Q = 0.9 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
1.000E-04	3.541E-03	2.083E-03	1.458E-03
1.009E-04	3.564E-03	2.097E-03	1.468E-03
1.019E-04	3.588E-03	2.110E-03	1.477E-03
1.028E-04	3.611E-03	2.124E-03	1.487E-03
1.038E-04	3.634E-03	2.138E-03	1.496E-03
1.047E-04	3.658E-03	2.152E-03	1.506E-03
1.057E-04	3.681E-03	2.166E-03	1.516E-03
1.067E-04	3.705E-03	2.180E-03	1.526E-03
1.076E-04	3.729E-03	2.194E-03	1.536E-03
1.086E-04	3.753E-03	2.208E-03	1.546E-03
1.096E-04	3.778E-03	2.222E-03	1.556E-03
1.107E-04	3.802E-03	2.237E-03	1.566E-03
1.117E-04	3.827E-03	2.251E-03	1.576E-03
1.127E-04	3.852E-03	2.266E-03	1.586E-03
1.138E-04	3.877E-03	2.280E-03	1.596E-03
1.148E-04	3.902E-03	2.295E-03	1.607E-03
1.159E-04	3.927E-03	2.310E-03	1.617E-03
1.169E-04	3.953E-03	2.325E-03	1.628E-03
1.180E-04	3.978E-03	2.340E-03	1.638E-03
1.191E-04	4.004E-03	2.355E-03	1.649E-03
1.202E-04	4.030E-03	2.371E-03	1.659E-03
1.213E-04	4.056E-03	2.386E-03	1.670E-03
1.225E-04	4.082E-03	2.401E-03	1.681E-03
1.236E-04	4.109E-03	2.417E-03	1.692E-03
1.247E-04	4.135E-03	2.433E-03	1.703E-03
1.259E-04	4.162E-03	2.448E-03	1.714E-03
1.271E-04	4.189E-03	2.464E-03	1.725E-03
1.282E-04	4.216E-03	2.480E-03	1.736E-03
1.294E-04	4.244E-03	2.496E-03	1.747E-03
1.306E-04	4.271E-03	2.512E-03	1.759E-03
1.318E-04	4.299E-03	2.529E-03	1.770E-03
1.330E-04	4.327E-03	2.545E-03	1.782E-03
1.343E-04	4.355E-03	2.562E-03	1.793E-03
1.355E-04	4.383E-03	2.578E-03	1.805E-03
1.368E-04	4.411E-03	2.595E-03	1.817E-03
1.380E-04	4.440E-03	2.612E-03	1.828E-03
1.393E-04	4.469E-03	2.629E-03	1.840E-03
1.406E-04	4.498E-03	2.646E-03	1.852E-03
1.419E-04	4.527E-03	2.663E-03	1.864E-03
1.432E-04	4.556E-03	2.680E-03	1.876E-03
1.445E-04	4.586E-03	2.698E-03	1.888E-03
1.459E-04	4.616E-03	2.715E-03	1.901E-03
1.472E-04	4.646E-03	2.733E-03	1.913E-03
1.486E-04	4.676E-03	2.750E-03	1.925E-03
1.500E-04	4.706E-03	2.768E-03	1.938E-03
1.514E-04	4.737E-03	2.786E-03	1.950E-03
1.528E-04	4.767E-03	2.804E-03	1.963E-03
1.542E-04	4.798E-03	2.822E-03	1.976E-03
1.556E-04	4.829E-03	2.841E-03	1.989E-03
1.570E-04	4.861E-03	2.859E-03	2.001E-03
1.585E-04	4.892E-03	2.878E-03	2.014E-03
1.600E-04	4.924E-03	2.896E-03	2.027E-03
1.614E-04	4.956E-03	2.915E-03	2.041E-03
1.629E-04	4.988E-03	2.934E-03	2.054E-03
1.644E-04	5.020E-03	2.953E-03	2.067E-03
1.660E-04	5.053E-03	2.972E-03	2.081E-03
1.675E-04	5.086E-03	2.992E-03	2.094E-03
1.690E-04	5.119E-03	3.011E-03	2.108E-03
1.706E-04	5.152E-03	3.030E-03	2.121E-03
1.722E-04	5.185E-03	3.050E-03	2.135E-03
1.738E-04	5.219E-03	3.070E-03	2.149E-03
1.754E-04	5.253E-03	3.090E-03	2.163E-03
1.770E-04	5.287E-03	3.110E-03	2.177E-03
1.786E-04	5.321E-03	3.130E-03	2.191E-03
1.803E-04	5.356E-03	3.150E-03	2.205E-03
1.820E-04	5.390E-03	3.171E-03	2.220E-03
1.837E-04	5.425E-03	3.191E-03	2.234E-03
1.854E-04	5.461E-03	3.212E-03	2.248E-03
1.871E-04	5.496E-03	3.233E-03	2.263E-03
1.888E-04	5.532E-03	3.254E-03	2.278E-03
1.905E-04	5.568E-03	3.275E-03	2.293E-03
1.923E-04	5.604E-03	3.296E-03	2.307E-03
1.941E-04	5.640E-03	3.318E-03	2.322E-03
1.959E-04	5.677E-03	3.339E-03	2.337E-03
1.977E-04	5.714E-03	3.361E-03	2.353E-03
1.995E-04	5.751E-03	3.383E-03	2.368E-03
2.014E-04	5.788E-03	3.405E-03	2.383E-03
2.032E-04	5.825E-03	3.427E-03	2.399E-03
2.051E-04	5.863E-03	3.449E-03	2.414E-03
2.070E-04	5.901E-03	3.471E-03	2.430E-03
2.089E-04	5.940E-03	3.494E-03	2.446E-03
2.109E-04	5.978E-03	3.517E-03	2.462E-03
2.128E-04	6.017E-03	3.539E-03	2.478E-03
2.148E-04	6.056E-03	3.562E-03	2.494E-03
2.168E-04	6.095E-03	3.585E-03	2.510E-03
2.188E-04	6.135E-03	3.609E-03	2.526E-03
2.208E-04	6.175E-03	3.632E-03	2.543E-03
2.228E-04	6.215E-03	3.656E-03	2.559E-03
2.249E-04	6.255E-03	3.680E-03	2.576E-03
2.270E-04	6.296E-03	3.703E-03	2.592E-03
2.291E-04	6.337E-03	3.727E-03	2.609E-03
2.312E-04	6.378E-03	3.752E-03	2.626E-03
2.333E-04	6.419E-03	3.776E-03	2.643E-03
2.355E-04	6.461E-03	3.801E-03	2.660E-03
2.377E-04	6.503E-03	3.825E-03	2.678E-03
2.399E-04	6.545E-03	3.850E-03	2.695E-03
2.421E-04	6.588E-03	3.875E-03	2.713E-03
2.443E-04	6.630E-03	3.900E-03	2.730E-03
2.466E-04	6.673E-03	3.926E-03	2.748E-03
2.489E-04	6.717E-03	3.951E-03	2.766E-03
2.512E-04	6.760E-03	3.977E-03	2.784E-03
2.535E-04	6.804E-03	4.002E-03	2.802E-03
2.559E-04	6.848E-03	4.028E-03	2.820E-03
2.582E-04	6.893E-03	4.055E-03	2.838E-03
2.606E-04	6.938E-03	4.081E-03	2.857E-03
2.630E-04	6.983E-03	4.107E-03	2.875E-03
2.655E-04	7.028E-03	4.134E-03	2.894E-03
2.679E-04	7.074E-03	4.161E-03	2.913E-03
2.704E-04	7.120E-03	4.188E-03	2.932E-03
2.729E-04	7.166E-03	4.215E-03	2.951E-03
2.754E-04	7.213E-03	4.243E-03	2.970E-03
2.780E-04	7.259E-03	4.270E-03	2.989E-03
2.805E-04	7.307E-03	4.298E-03	3.009E-03
2.831E-04	7.354E-03	4.326E-03	3.028E-03
2.858E-04	7.402E-03	4.354E-03	3.048E-03
2.884E-04	7.450E-03	4.382E-03	3.068E-03
2.911E-04	7.498E-03	4.411E-03	3.088E-03
2.938E-04	7.547E-03	4.439E-03	3.108E-03
2.965E-04	7.596E-03	4.468E-03	3.128E-03
2.992E-04	7.645E-03	4.497E-03	3.148E-03
3.020E-04	7.695E-03	4.527E-03	3.169E-03
3.048E-04	7.745E-03	4.556E-03	3.189E-03
3.076E-04	7.795E-03	4.586E-03	3.210E-03
3.105E-04	7.846E-03	4.615E-03	3.231E-03
3.133E-04	7.897E-03	4.645E-03	3.252E-03
3.162E-04	7.948E-03	4.676E-03	3.273E-03
3.192E-04	8.000E-03	4.706E-03	3.294E-03
3.221E-04	8.052E-03	4.737E-03	3.316E-03
3.251E-04	8.104E-03	4.767E-03	3.337E-03
3.281E-04	8.157E-03	4.798E-03	3.359E-03
3.311E-04	8.210E-03	4.829E-03	3.381E-03
3.342E-04	8.264E-03	4.861E-03	3.403E-03
3.373E-04	8.317E-03	4.892E-03	3.425E-03
3.404E-04	8.371E-03	4.924E-03	3.447E-03
3.436E-04	8.426E-03	4.956E-03	3.470E-03
3.467E-04	8.481E-03	4.989E-03	3.492E-03
3.499E-04	8.536E-03	5.021E-03	3.515E-03
3.532E-04	8.591E-03	5.054E-03	3.538E-03
3.565E-04	8.647E-03	5.087E-03	3.561E-03
3.597E-04	8.703E-03	5.120E-03	3.584E-03
3.631E-04	8.760E-03	5.153E-03	3.607E-03
3.664E-04	8.817E-03	5.186E-03	3.631E-03
3.698E-04	8.874E-03	5.220E-03	3.654E-03
3.733E-04	8.932E-03	5.254E-03	3.678E-03
3.767E-04	8.990E-03	5.288E-03	3.702E-03
3.802E-04	9.049E-03	5.323E-03	3.726E-03
3.837E-04	9.107E-03	5.357E-03	3.750E-03
3.873E-04	9.167E-03	5.392E-03	3.775E-03
3.908E-04	9.226E-03	5.427E-03	3.799E-03
3.945E-04	9.286E-03	5.463E-03	3.824E-03
3.981E-04	9.347E-03	5.498E-03	3.849E-03
4.018E-04	9.408E-03	5.534E-03	3.874E-03
4.055E-04	9.469E-03	5.570E-03	3.899E-03
4.093E-04	9.531E-03	5.606E-03	3.924E-03
4.130E-04	9.593E-03	5.643E-03	3.950E-03
4.169E-04	9.655E-03	5.679E-03	3.976E-03
4.207E-04	9.718E-03	5.716E-03	4.002E-03
4.246E-04	9.781E-03	5.753E-03	4.028E-03
4.285E-04	9.845E-03	5.791E-03	4.054E-03
4.325E-04	9.909E-03	5.829E-03	4.080E-03
4.365E-04	9.973E-03	5.867E-03	4.107E-03
