Q0 = 1.1 GeV	 Q = 3.2 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
1.000E-04	1.740E-02	1.017E-02	7.224E-03
1.009E-04	1.748E-02	1.022E-02	7.258E-03
1.019E-04	1.756E-02	1.027E-02	7.291E-03
1.028E-04	1.764E-02	1.031E-02	7.324E-03
1.038E-04	1.772E-02	1.036E-02	7.358E-03
1.047E-04	1.780E-02	1.041E-02	7.392E-03
1.057E-04	1.788E-02	1.045E-02	7.426E-03
1.067E-04	1.796E-02	1.050E-02	7.460E-03
1.076E-04	1.804E-02	1.055E-02	7.494E-03
1.086E-04	1.813E-02	1.060E-02	7.528E-03
1.096E-04	1.821E-02	1.065E-02	7.563E-03
1.107E-04	1.829E-02	1.069E-02	7.598E-03
1.117E-04	1.838E-02	1.074E-02	7.633E-03
1.127E-04	1.846E-02	1.079E-02	7.668E-03
1.138E-04	1.854E-02	1.084E-02	7.703E-03
1.148E-04	1.863E-02	1.089E-02	7.738E-03
1.159E-04	1.871E-02	1.094E-02	7.774E-03
1.169E-04	1.880E-02	1.099E-02	7.809E-03
1.180E-04	1.889E-02	1.104E-02	7.845E-03
1.191E-04	1.897E-02	1.109E-02	7.881E-03
1.202E-04	1.906E-02	1.114E-02	7.917E-03
1.213E-04	1.915E-02	1.119E-02	7.954E-03
1.225E-04	1.923E-02	1.124E-02	7.990E-03
1.236E-04	1.932E-02	1.129E-02	8.027E-03
1.247E-04	1.941E-02	1.135E-02	8.064E-03
1.259E-04	1.950E-02	1.140E-02	8.101E-03
1.271E-04	1.959E-02	1.145E-02	8.138E-03
1.282E-04	1.968E-02	1.150E-02	8.175E-03
1.294E-04	1.977E-02	1.155E-02	8.213E-03
1.306E-04	1.986E-02	1.161E-02	8.251E-03
1.318E-04	1.995E-02	1.166E-02	8.288E-03
1.330E-04	2.004E-02	1.171E-02	8.327E-03
1.343E-04	2.013E-02	1.177E-02	8.365E-03
1.355E-04	2.022E-02	1.182E-02	8.403E-03
1.368E-04	2.031E-02	1.187E-02	8.442E-03
1.380E-04	2.041E-02	1.193E-02	8.480E-03
1.393E-04	2.050E-02	1.198E-02	8.519E-03
1.406E-04	2.059E-02	1.204E-02	8.559E-03
1.419E-04	2.069E-02	1.209E-02	8.598E-03
1.432E-04	2.078E-02	1.214E-02	8.637E-03
1.445E-04	2.088E-02	1.220E-02	8.677E-03
1.459E-04	2.097E-02	1.226E-02	8.717E-03
1.472E-04	2.107E-02	1.231E-02	8.757E-03
1.486E-04	2.116E-02	1.237E-02	8.797E-03
1.500E-04	2.126E-02	1.242E-02	8.837E-03
1.514E-04	2.136E-02	1.248E-02	8.878E-03
1.528E-04	2.146E-02	1.254E-02	8.919E-03
1.542E-04	2.155E-02	1.259E-02	8.960E-03
1.556E-04	2.165E-02	1.265E-02	9.001E-03
1.570E-04	2.175E-02	1.271E-02	9.042E-03
1.585E-04	2.185E-02	1.277E-02	9.084E-03
1.600E-04	2.195E-02	1.282E-02	9.125E-03
1.614E-04	2.205E-02	1.288E-02	9.167E-03
1.629E-04	2.215E-02	1.294E-02	9.209E-03
1.644E-04	2.225E-02	1.300E-02	9.252E-03
1.660E-04	2.235E-02	1.306E-02	9.294E-03
1.675E-04	2.246E-02	1.312E-02	9.337E-03
1.690E-04	2.256E-02	1.318E-02	9.380E-03
1.706E-04	2.266E-02	1.324E-02	9.423E-03
1.722E-04	2.276E-02	1.330E-02	9.466E-03
1.738E-04	2.287E-02	1.336E-02	9.509E-03
1.754E-04	2.297E-02	1.342E-02	9.553E-03
1.770E-04	2.308E-02	1.348E-02	9.597E-03
1.786E-04	2.318E-02	1.354E-02	9.641E-03
1.803E-04	2.329E-02	1.360E-02	9.685E-03
1.820E-04	2.340E-02	1.367E-02	9.730E-03
1.837E-04	2.350E-02	1.373E-02	9.774E-03
1.854E-04	2.361E-02	1.379E-02	9.819E-03
1.871E-04	2.372E-02	1.385E-02	9.864E-03
1.888E-04	2.383E-02	1.392E-02	9.910E-03
1.905E-04	2.393E-02	1.398E-02	9.955E-03
1.923E-04	2.404E-02	1.404E-02	1.000E-02
1.941E-04	2.415E-02	1.411E-02	1.005E-02
1.959E-04	2.426E-02	1.417E-02	1.009E-02
1.977E-04	2.437E-02	1.424E-02	1.014E-02
1.995E-04	2.449E-02	1.430E-02	1.019E-02
2.014E-04	2.460E-02	1.436E-02	1.023E-02
2.032E-04	2.471E-02	1.443E-02	1.028E-02
2.051E-04	2.482E-02	1.450E-02	1.033E-02
2.070E-04	2.494E-02	1.456E-02	1.037E-02
2.089E-04	2.505E-02	1.463E-02	1.042E-02
2.109E-04	2.516E-02	1.469E-02	1.047E-02
2.128E-04	2.528E-02	1.476E-02	1.052E-02
2.148E-04	2.539E-02	1.483E-02	1.057E-02
2.168E-04	2.551E-02	1.490E-02	1.061E-02
2.188E-04	2.563E-02	1.496E-02	1.066E-02
2.208E-04	2.574E-02	1.503E-02	1.071E-02
2.228E-04	2.586E-02	1.510E-02	1.076E-02
2.249E-04	2.598E-02	1.517E-02	1.081E-02
2.270E-04	2.610E-02	1.524E-02	1.086E-02
2.291E-04	2.622E-02	1.531E-02	1.091E-02
2.312E-04	2.634E-02	1.538E-02	1.096E-02
2.333E-04	2.646E-02	1.545E-02	1.101E-02
2.355E-04	2.658E-02	1.552E-02	1.106E-02
2.377E-04	2.670E-02	1.559E-02	1.111E-02
2.399E-04	2.682E-02	1.566E-02	1.116E-02
2.421E-04	2.694E-02	1.573E-02	1.121E-02
2.443E-04	2.707E-02	1.580E-02	1.127E-02
2.466E-04	2.719E-02	1.587E-02	1.132E-02
2.489E-04	2.731E-02	1.594E-02	1.137E-02
2.512E-04	2.744E-02	1.602E-02	1.142E-02
2.535E-04	2.756E-02	1.609E-02	1.147E-02
2.559E-04	2.769E-02	1.616E-02	1.153E-02
2.582E-04	2.782E-02	1.624E-02	1.158E-02
