Q0 = 1.087 GeV	 Q = 3.162 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
1.000E-04	1.690E-02	9.883E-03	7.019E-03
1.009E-04	1.698E-02	9.928E-03	7.051E-03
1.019E-04	1.706E-02	9.973E-03	7.083E-03
1.028E-04	1.713E-02	1.002E-02	7.116E-03
1.038E-04	1.721E-02	1.006E-02	7.149E-03
1.047E-04	1.729E-02	1.011E-02	7.181E-03
1.057E-04	1.737E-02	1.016E-02	7.214E-03
1.067E-04	1.745E-02	1.020E-02	7.247E-03
1.076E-04	1.753E-02	1.025E-02	7.281E-03
1.086E-04	1.761E-02	1.030E-02	7.314E-03
1.096E-04	1.769E-02	1.034E-02	7.348E-03
1.107E-04	1.777E-02	1.039E-02	7.382E-03
1.117E-04	1.785E-02	1.044E-02	7.416E-03
1.127E-04	1.793E-02	1.048E-02	7.450E-03
1.138E-04	1.802E-02	1.053E-02	7.484E-03
1.148E-04	1.810E-02	1.058E-02	7.518E-03
1.159E-04	1.818E-02	1.063E-02	7.553E-03
1.169E-04	1.826E-02	1.068E-02	7.587E-03
1.180E-04	1.835E-02	1.073E-02	7.622E-03
1.191E-04	1.843E-02	1.077E-02	7.657E-03
1.202E-04	1.852E-02	1.082E-02	7.693E-03
1.213E-04	1.860E-02	1.087E-02	7.728E-03
1.225E-04	1.869E-02	1.092E-02	7.763E-03
1.236E-04	1.877E-02	1.097E-02	7.799E-03
1.247E-04	1.886E-02	1.102E-02	7.835E-03
1.259E-04	1.894E-02	1.107E-02	7.871E-03
1.271E-04	1.903E-02	1.112E-02	7.907E-03
1.282E-04	1.912E-02	1.117E-02	7.943E-03
1.294E-04	1.920E-02	1.122E-02	7.980E-03
1.306E-04	1.929E-02	1.128E-02	8.017E-03
1.318E-04	1.938E-02	1.133E-02	8.053E-03
1.330E-04	1.947E-02	1.138E-02	8.090E-03
1.343E-04	1.956E-02	1.143E-02	8.128E-03
1.355E-04	1.965E-02	1.148E-02	8.165E-03
1.368E-04	1.974E-02	1.153E-02	8.203E-03
1.380E-04	1.983E-02	1.159E-02	8.240E-03
1.393E-04	1.992E-02	1.164E-02	8.278E-03
1.406E-04	2.001E-02	1.169E-02	8.316E-03
1.419E-04	2.010E-02	1.175E-02	8.354E-03
1.432E-04	2.019E-02	1.180E-02	8.393E-03
1.445E-04	2.028E-02	1.185E-02	8.431E-03
1.459E-04	2.038E-02	1.191E-02	8.470E-03
1.472E-04	2.047E-02	1.196E-02	8.509E-03
1.486E-04	2.056E-02	1.202E-02	8.548E-03
1.500E-04	2.066E-02	1.207E-02	8.587E-03
1.514E-04	2.075E-02	1.213E-02	8.627E-03
1.528E-04	2.085E-02	1.218E-02	8.666E-03
1.542E-04	2.094E-02	1.224E-02	8.706E-03
1.556E-04	2.104E-02	1.229E-02	8.746E-03
1.570E-04	2.113E-02	1.235E-02	8.786E-03
