Q0 = 0.9 GeV	 Q = 0.9 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
1.000E-04	1.082E-02	6.363E-03	4.454E-03
1.009E-04	1.087E-02	6.392E-03	4.475E-03
1.019E-04	1.092E-02	6.422E-03	4.496E-03
1.028E-04	1.097E-02	6.452E-03	4.516E-03
1.038E-04	1.102E-02	6.481E-03	4.537E-03
1.047E-04	1.107E-02	6.511E-03	4.558E-03
1.057E-04	1.112E-02	6.542E-03	4.579E-03
1.067E-04	1.117E-02	6.572E-03	4.601E-03
1.076E-04	1.122E-02	6.602E-03	4.622E-03
1.086E-04	1.128E-02	6.633E-03	4.643E-03
1.096E-04	1.133E-02	6.663E-03	4.665E-03
1.107E-04	1.138E-02	6.694E-03	4.686E-03
1.117E-04	1.143E-02	6.725E-03	4.708E-03
1.127E-04	1.149E-02	6.756E-03	4.730E-03
1.138E-04	1.154E-02	6.788E-03	4.752E-03
1.148E-04	1.159E-02	6.819E-03	4.774E-03
1.159E-04	1.165E-02	6.851E-03	4.796E-03
1.169E-04	1.170E-02	6.882E-03	4.818E-03
1.180E-04	1.175E-02	6.914E-03	4.840E-03
1.191E-04	1.181E-02	6.946E-03	4.863E-03
1.202E-04	1.186E-02	6.978E-03	4.885E-03
1.213E-04	1.192E-02	7.011E-03	4.908E-03
1.225E-04	1.197E-02	7.043E-03	4.931E-03
1.236E-04	1.203E-02	7.076E-03	4.954E-03
1.247E-04	1.209E-02	7.109E-03	4.977E-03
1.259E-04	1.214E-02	7.142E-03	5.000E-03
1.271E-04	1.220E-02	7.175E-03	5.023E-03
1.282E-04	1.225E-02	7.208E-03	5.046E-03
1.294E-04	1.231E-02	7.241E-03	5.069E-03
1.306E-04	1.237E-02	7.275E-03	5.093E-03
1.318E-04	1.242E-02	7.308E-03	5.116E-03
1.330E-04	1.248E-02	7.342E-03	5.140E-03
1.343E-04	1.254E-02	7.376E-03	5.164E-03
1.355E-04	1.260E-02	7.410E-03	5.188E-03
1.368E-04	1.266E-02	7.445E-03	5.212E-03
1.380E-04	1.272E-02	7.479E-03	5.236E-03
1.393E-04	1.277E-02	7.514E-03	5.260E-03
1.406E-04	1.283E-02	7.549E-03	5.285E-03
1.419E-04	1.289E-02	7.584E-03	5.309E-03
1.432E-04	1.295E-02	7.619E-03	5.334E-03
1.445E-04	1.301E-02	7.654E-03	5.358E-03
1.459E-04	1.307E-02	7.689E-03	5.383E-03
1.472E-04	1.313E-02	7.725E-03	5.408E-03
1.486E-04	1.319E-02	7.761E-03	5.433E-03
1.500E-04	1.326E-02	7.797E-03	5.458E-03
1.514E-04	1.332E-02	7.833E-03	5.484E-03
1.528E-04	1.338E-02	7.869E-03	5.509E-03
1.542E-04	1.344E-02	7.906E-03	5.535E-03
1.556E-04	1.350E-02	7.942E-03	5.560E-03
1.570E-04	1.357E-02	7.979E-03	5.586E-03
1.585E-04	1.363E-02	8.016E-03	5.612E-03
1.600E-04	1.369E-02	8.053E-03	5.638E-03
1.614E-04	1.375E-02	8.091E-03	5.664E-03
1.629E-04	1.382E-02	8.128E-03	5.690E-03
1.644E-04	1.388E-02	8.166E-03	5.717E-03
1.660E-04	1.395E-02	8.204E-03	5.743E-03
1.675E-04	1.401E-02	8.242E-03	5.770E-03
1.690E-04	1.408E-02	8.280E-03	5.797E-03
1.706E-04	1.414E-02	8.318E-03	5.823E-03
1.722E-04	1.421E-02	8.357E-03	5.850E-03
1.738E-04	1.427E-02	8.395E-03	5.878E-03
1.754E-04	1.434E-02	8.434E-03	5.905E-03
1.770E-04	1.441E-02	8.473E-03	5.932E-03
1.786E-04	1.447E-02	8.513E-03	5.960E-03
1.803E-04	1.454E-02	8.552E-03	5.987E-03
1.820E-04	1.461E-02	8.592E-03	6.015E-03
1.837E-04	1.467E-02	8.632E-03	6.043E-03
1.854E-04	1.474E-02	8.672E-03	6.071E-03
1.871E-04	1.481E-02	8.712E-03	6.099E-03
1.888E-04	1.488E-02	8.752E-03	6.127E-03
1.905E-04	1.495E-02	8.793E-03	6.156E-03
1.923E-04	1.502E-02	8.834E-03	6.184E-03
1.941E-04	1.509E-02	8.875E-03	6.213E-03
1.959E-04	1.516E-02	8.916E-03	6.242E-03
1.977E-04	1.523E-02	8.957E-03	6.271E-03
1.995E-04	1.530E-02	8.999E-03	6.300E-03
2.014E-04	1.537E-02	9.040E-03	6.329E-03
2.032E-04	1.544E-02	9.082E-03	6.359E-03
2.051E-04	1.551E-02	9.124E-03	6.388E-03
2.070E-04	1.558E-02	9.167E-03	6.418E-03
2.089E-04	1.566E-02	9.209E-03	6.447E-03
2.109E-04	1.573E-02	9.252E-03	6.477E-03
2.128E-04	1.580E-02	9.295E-03	6.507E-03
2.148E-04	1.588E-02	9.338E-03	6.538E-03
2.168E-04	1.595E-02	9.381E-03	6.568E-03
2.188E-04	1.602E-02	9.425E-03	6.598E-03
2.208E-04	1.610E-02	9.468E-03	6.629E-03
2.228E-04	1.617E-02	9.512E-03	6.660E-03
2.249E-04	1.625E-02	9.557E-03	6.691E-03
2.270E-04	1.632E-02	9.601E-03	6.722E-03
2.291E-04	1.640E-02	9.645E-03	6.753E-03
2.312E-04	1.647E-02	9.690E-03	6.784E-03
2.333E-04	1.655E-02	9.735E-03	6.816E-03
2.355E-04	1.663E-02	9.780E-03	6.848E-03
2.377E-04	1.671E-02	9.826E-03	6.879E-03
2.399E-04	1.678E-02	9.871E-03	6.911E-03
2.421E-04	1.686E-02	9.917E-03	6.943E-03
2.443E-04	1.694E-02	9.963E-03	6.976E-03
2.466E-04	1.702E-02	1.001E-02	7.008E-03
2.489E-04	1.710E-02	1.006E-02	7.040E-03
2.512E-04	1.718E-02	1.010E-02	7.073E-03
2.535E-04	1.726E-02	1.015E-02	7.106E-03
2.559E-04	1.734E-02	1.020E-02	7.139E-03
2.582E-04	1.742E-02	1.024E-02	7.172E-03
2.606E-04	1.750E-02	1.029E-02	7.206E-03
2.630E-04	1.758E-02	1.034E-02	7.239E-03
2.655E-04	1.766E-02	1.039E-02	7.273E-03
2.679E-04	1.774E-02	1.044E-02	7.306E-03
2.704E-04	1.782E-02	1.048E-02	7.340E-03
2.729E-04	1.791E-02	1.053E-02	7.374E-03
2.754E-04	1.799E-02	1.058E-02	7.409E-03
2.780E-04	1.807E-02	1.063E-02	7.443E-03
2.805E-04	1.816E-02	1.068E-02	7.478E-03
2.831E-04	1.824E-02	1.073E-02	7.512E-03
2.858E-04	1.833E-02	1.078E-02	7.547E-03
2.884E-04	1.841E-02	1.083E-02	7.582E-03
2.911E-04	1.850E-02	1.088E-02	7.618E-03
2.938E-04	1.858E-02	1.093E-02	7.653E-03
2.965E-04	1.867E-02	1.098E-02	7.689E-03
2.992E-04	1.876E-02	1.103E-02	7.724E-03
3.020E-04	1.884E-02	1.108E-02	7.760E-03
3.048E-04	1.893E-02	1.114E-02	7.796E-03
3.076E-04	1.902E-02	1.119E-02	7.833E-03
3.105E-04	1.911E-02	1.124E-02	7.869E-03
3.133E-04	1.920E-02	1.129E-02	7.906E-03
3.162E-04	1.929E-02	1.134E-02	7.942E-03
3.192E-04	1.938E-02	1.140E-02	7.979E-03
3.221E-04	1.947E-02	1.145E-02	8.016E-03
3.251E-04	1.956E-02	1.150E-02	8.054E-03
3.281E-04	1.965E-02	1.156E-02	8.091E-03
3.311E-04	1.974E-02	1.161E-02	8.129E-03
3.342E-04	1.983E-02	1.166E-02	8.167E-03
3.373E-04	1.992E-02	1.172E-02	8.205E-03
3.404E-04	2.002E-02	1.177E-02	8.243E-03
3.436E-04	2.011E-02	1.183E-02	8.281E-03
3.467E-04	2.020E-02	1.188E-02	8.320E-03
3.499E-04	2.030E-02	1.194E-02	8.358E-03
3.532E-04	2.039E-02	1.199E-02	8.397E-03
3.565E-04	2.048E-02	1.205E-02	8.436E-03
3.597E-04	2.058E-02	1.210E-02	8.476E-03
3.631E-04	2.068E-02	1.216E-02	8.515E-03
3.664E-04	2.077E-02	1.222E-02	8.555E-03
3.698E-04	2.087E-02	1.227E-02	8.595E-03
3.733E-04	2.097E-02	1.233E-02	8.635E-03
3.767E-04	2.106E-02	1.239E-02	8.675E-03
3.802E-04	2.116E-02	1.245E-02	8.715E-03
3.837E-04	2.126E-02	1.250E-02	8.756E-03
3.873E-04	2.136E-02	1.256E-02	8.797E-03
3.908E-04	2.146E-02	1.262E-02	8.837E-03
3.945E-04	2.156E-02	1.268E-02	8.879E-03
3.981E-04	2.166E-02	1.274E-02	8.920E-03
4.018E-04	2.176E-02	1.280E-02	8.962E-03
4.055E-04	2.186E-02	1.286E-02	9.003E-03
4.093E-04	2.196E-02	1.292E-02	9.045E-03
4.130E-04	2.207E-02	1.298E-02	9.087E-03
4.169E-04	2.217E-02	1.304E-02	9.130E-03
4.207E-04	2.227E-02	1.310E-02	9.172E-03
4.246E-04	2.237E-02	1.316E-02	9.215E-03
4.285E-04	2.248E-02	1.322E-02	9.258E-03
4.325E-04	2.258E-02	1.328E-02	9.301E-03
4.365E-04	2.269E-02	1.334E-02	9.344E-03
4.406E-04	2.279E-02	1.341E-02	9.388E-03
4.446E-04	2.290E-02	1.347E-02	9.432E-03
4.487E-04	2.301E-02	1.353E-02	9.476E-03
4.529E-04	2.311E-02	1.360E-02	9.520E-03
4.571E-04	2.322E-02	1.366E-02	9.564E-03
4.613E-04	2.333E-02	1.372E-02	9.609E-03
4.656E-04	2.344E-02	1.379E-02	9.654E-03
4.699E-04	2.355E-02	1.385E-02	9.699E-03
4.742E-04	2.366E-02	1.391E-02	9.744E-03
4.786E-04	2.377E-02	1.398E-02	9.789E-03
4.831E-04	2.388E-02	1.404E-02	9.835E-03
4.875E-04	2.399E-02	1.411E-02	9.881E-03
4.920E-04	2.410E-02	1.418E-02	9.927E-03
4.966E-04	2.422E-02	1.424E-02	9.973E-03
5.012E-04	2.433E-02	1.431E-02	1.002E-02
5.058E-04	2.444E-02	1.438E-02	1.007E-02
5.105E-04	2.456E-02	1.444E-02	1.011E-02
5.152E-04	2.467E-02	1.451E-02	1.016E-02
5.200E-04	2.479E-02	1.458E-02	1.021E-02
5.248E-04	2.490E-02	1.465E-02	1.026E-02
5.297E-04	2.502E-02	1.471E-02	1.030E-02
5.346E-04	2.513E-02	1.478E-02	1.035E-02
5.395E-04	2.525E-02	1.485E-02	1.040E-02
5.445E-04	2.537E-02	1.492E-02	1.045E-02
5.495E-04	2.549E-02	1.499E-02	1.050E-02
5.546E-04	2.561E-02	1.506E-02	1.055E-02
5.598E-04	2.573E-02	1.513E-02	1.060E-02
5.649E-04	2.585E-02	1.520E-02	1.065E-02
5.702E-04	2.597E-02	1.527E-02	1.070E-02
5.754E-04	2.609E-02	1.534E-02	1.075E-02
5.808E-04	2.621E-02	1.542E-02	1.080E-02
5.861E-04	2.633E-02	1.549E-02	1.085E-02
5.916E-04	2.646E-02	1.556E-02	1.090E-02
5.970E-04	2.658E-02	1.563E-02	1.095E-02
6.026E-04	2.670E-02	1.571E-02	1.100E-02
6.081E-04	2.683E-02	1.578E-02	1.105E-02
6.138E-04	2.695E-02	1.585E-02	1.110E-02
6.194E-04	2.708E-02	1.593E-02	1.115E-02
6.252E-04	2.721E-02	1.600E-02	1.121E-02
6.310E-04	2.733E-02	1.608E-02	1.126E-02
6.368E-04	2.746E-02	1.615E-02	1.131E-02
6.427E-04	2.759E-02	1.623E-02	1.136E-02
6.486E-04	2.772E-02	1.630E-02	1.142E-02
6.546E-04	2.785E-02	1.638E-02	1.147E-02
6.607E-04	2.798E-02	1.645E-02	1.152E-02
6.668E-04	2.811E-02	1.653E-02	1.158E-02
6.730E-04	2.824E-02	1.661E-02	1.163E-02
6.792E-04	2.837E-02	1.669E-02	1.169E-02
6.855E-04	2.851E-02	1.676E-02	1.174E-02
6.918E-04	2.864E-02	1.684E-02	1.180E-02
6.982E-04	2.877E-02	1.692E-02	1.185E-02
7.047E-04	2.891E-02	1.700E-02	1.191E-02
7.112E-04	2.904E-02	1.708E-02	1.196E-02
7.178E-04	2.918E-02	1.716E-02	1.202E-02
7.244E-04	2.932E-02	1.724E-02	1.208E-02
7.311E-04	2.945E-02	1.732E-02	1.213E-02
7.379E-04	2.959E-02	1.740E-02	1.219E-02
7.447E-04	2.973E-02	1.748E-02	1.225E-02
7.516E-04	2.987E-02	1.757E-02	1.230E-02
7.586E-04	3.001E-02	1.765E-02	1.236E-02
7.656E-04	3.015E-02	1.773E-02	1.242E-02
7.727E-04	3.029E-02	1.781E-02	1.248E-02
7.798E-04	3.043E-02	1.790E-02	1.254E-02
7.870E-04	3.058E-02	1.798E-02	1.259E-02
7.943E-04	3.072E-02	1.807E-02	1.265E-02
8.017E-04	3.086E-02	1.815E-02	1.271E-02
8.091E-04	3.101E-02	1.824E-02	1.277E-02
