Q0 = 1.1 GeV	 Q = 3.2 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
1.000E-04	1.869E-02	1.106E-02	7.634E-03
1.009E-04	1.878E-02	1.111E-02	7.668E-03
1.019E-04	1.886E-02	1.116E-02	7.703E-03
1.028E-04	1.894E-02	1.121E-02	7.738E-03
1.038E-04	1.903E-02	1.125E-02	7.773E-03
1.047E-04	1.911E-02	1.130E-02	7.809E-03
1.057E-04	1.920E-02	1.135E-02	7.844E-03
1.067E-04	1.928E-02	1.140E-02	7.880E-03
1.076E-04	1.937E-02	1.145E-02	7.915E-03
1.086E-04	1.945E-02	1.150E-02	7.951E-03
1.096E-04	1.954E-02	1.155E-02	7.987E-03
1.107E-04	1.963E-02	1.160E-02	8.023E-03
1.117E-04	1.971E-02	1.166E-02	8.060E-03
1.127E-04	1.980E-02	1.171E-02	8.096E-03
1.138E-04	1.989E-02	1.176E-02	8.133E-03
1.148E-04	1.998E-02	1.181E-02	8.170E-03
1.159E-04	2.007E-02	1.186E-02	8.207E-03
1.169E-04	2.016E-02	1.191E-02	8.244E-03
1.180E-04	2.025E-02	1.196E-02	8.282E-03
1.191E-04	2.034E-02	1.202E-02	8.319E-03
1.202E-04	2.043E-02	1.207E-02	8.357E-03
1.213E-04	2.052E-02	1.212E-02	8.395E-03
1.225E-04	2.061E-02	1.218E-02	8.433E-03
1.236E-04	2.070E-02	1.223E-02	8.471E-03
1.247E-04	2.079E-02	1.228E-02	8.509E-03
1.259E-04	2.088E-02	1.234E-02	8.548E-03
1.271E-04	2.098E-02	1.239E-02	8.587E-03
1.282E-04	2.107E-02	1.245E-02	8.626E-03
1.294E-04	2.116E-02	1.250E-02	8.665E-03
1.306E-04	2.126E-02	1.255E-02	8.704E-03
1.318E-04	2.135E-02	1.261E-02	8.744E-03
1.330E-04	2.145E-02	1.266E-02	8.783E-03
1.343E-04	2.154E-02	1.272E-02	8.823E-03
1.355E-04	2.164E-02	1.278E-02	8.863E-03
1.368E-04	2.173E-02	1.283E-02	8.903E-03
1.380E-04	2.183E-02	1.289E-02	8.943E-03
1.393E-04	2.193E-02	1.294E-02	8.984E-03
1.406E-04	2.203E-02	1.300E-02	9.025E-03
1.419E-04	2.212E-02	1.306E-02	9.066E-03
1.432E-04	2.222E-02	1.312E-02	9.107E-03
1.445E-04	2.232E-02	1.317E-02	9.148E-03
1.459E-04	2.242E-02	1.323E-02	9.189E-03
1.472E-04	2.252E-02	1.329E-02	9.231E-03
1.486E-04	2.262E-02	1.335E-02	9.273E-03
1.500E-04	2.272E-02	1.340E-02	9.315E-03
1.514E-04	2.282E-02	1.346E-02	9.357E-03
1.528E-04	2.292E-02	1.352E-02	9.399E-03
1.542E-04	2.302E-02	1.358E-02	9.442E-03
1.556E-04	2.313E-02	1.364E-02	9.485E-03
1.570E-04	2.323E-02	1.370E-02	9.528E-03
1.585E-04	2.333E-02	1.376E-02	9.571E-03
1.600E-04	2.343E-02	1.382E-02	9.614E-03
1.614E-04	2.354E-02	1.388E-02	9.658E-03
1.629E-04	2.364E-02	1.394E-02	9.702E-03
1.644E-04	2.375E-02	1.400E-02	9.746E-03
1.660E-04	2.385E-02	1.406E-02	9.790E-03
1.675E-04	2.396E-02	1.413E-02	9.834E-03
1.690E-04	2.407E-02	1.419E-02	9.879E-03
1.706E-04	2.417E-02	1.425E-02	9.923E-03
1.722E-04	2.428E-02	1.431E-02	9.968E-03
1.738E-04	2.439E-02	1.437E-02	1.001E-02
1.754E-04	2.450E-02	1.444E-02	1.006E-02
1.770E-04	2.460E-02	1.450E-02	1.010E-02
1.786E-04	2.471E-02	1.456E-02	1.015E-02
1.803E-04	2.482E-02	1.463E-02	1.020E-02
1.820E-04	2.493E-02	1.469E-02	1.024E-02
1.837E-04	2.504E-02	1.476E-02	1.029E-02
1.854E-04	2.516E-02	1.482E-02	1.034E-02
1.871E-04	2.527E-02	1.488E-02	1.038E-02
1.888E-04	2.538E-02	1.495E-02	1.043E-02
1.905E-04	2.549E-02	1.502E-02	1.048E-02
1.923E-04	2.560E-02	1.508E-02	1.052E-02
1.941E-04	2.572E-02	1.515E-02	1.057E-02
1.959E-04	2.583E-02	1.521E-02	1.062E-02
1.977E-04	2.595E-02	1.528E-02	1.067E-02
1.995E-04	2.606E-02	1.535E-02	1.072E-02
2.014E-04	2.618E-02	1.541E-02	1.076E-02
2.032E-04	2.629E-02	1.548E-02	1.081E-02
2.051E-04	2.641E-02	1.555E-02	1.086E-02
2.070E-04	2.653E-02	1.562E-02	1.091E-02
2.089E-04	2.664E-02	1.568E-02	1.096E-02
2.109E-04	2.676E-02	1.575E-02	1.101E-02
2.128E-04	2.688E-02	1.582E-02	1.106E-02
2.148E-04	2.700E-02	1.589E-02	1.111E-02
2.168E-04	2.712E-02	1.596E-02	1.116E-02
2.188E-04	2.724E-02	1.603E-02	1.121E-02
2.208E-04	2.736E-02	1.610E-02	1.126E-02
2.228E-04	2.748E-02	1.617E-02	1.131E-02
2.249E-04	2.760E-02	1.624E-02	1.136E-02
2.270E-04	2.773E-02	1.631E-02	1.141E-02
2.291E-04	2.785E-02	1.638E-02	1.147E-02
2.312E-04	2.797E-02	1.645E-02	1.152E-02
2.333E-04	2.810E-02	1.653E-02	1.157E-02
2.355E-04	2.822E-02	1.660E-02	1.162E-02
2.377E-04	2.835E-02	1.667E-02	1.168E-02
2.399E-04	2.847E-02	1.674E-02	1.173E-02
2.421E-04	2.860E-02	1.682E-02	1.178E-02
2.443E-04	2.872E-02	1.689E-02	1.183E-02
2.466E-04	2.885E-02	1.696E-02	1.189E-02
2.489E-04	2.898E-02	1.704E-02	1.194E-02
2.512E-04	2.911E-02	1.711E-02	1.200E-02
2.535E-04	2.924E-02	1.719E-02	1.205E-02
2.559E-04	2.937E-02	1.726E-02	1.210E-02
2.582E-04	2.950E-02	1.734E-02	1.216E-02
2.606E-04	2.963E-02	1.741E-02	1.221E-02
2.630E-04	2.976E-02	1.749E-02	1.227E-02
2.655E-04	2.989E-02	1.757E-02	1.232E-02
2.679E-04	3.002E-02	1.764E-02	1.238E-02
2.704E-04	3.016E-02	1.772E-02	1.244E-02
2.729E-04	3.029E-02	1.780E-02	1.249E-02
2.754E-04	3.042E-02	1.787E-02	1.255E-02
2.780E-04	3.056E-02	1.795E-02	1.261E-02
2.805E-04	3.069E-02	1.803E-02	1.266E-02
2.831E-04	3.083E-02	1.811E-02	1.272E-02
2.858E-04	3.097E-02	1.819E-02	1.278E-02
2.884E-04	3.110E-02	1.827E-02	1.284E-02
2.911E-04	3.124E-02	1.835E-02	1.289E-02
2.938E-04	3.138E-02	1.843E-02	1.295E-02
2.965E-04	3.152E-02	1.851E-02	1.301E-02
2.992E-04	3.166E-02	1.859E-02	1.307E-02
3.020E-04	3.180E-02	1.867E-02	1.313E-02
3.048E-04	3.194E-02	1.875E-02	1.319E-02
3.076E-04	3.208E-02	1.883E-02	1.325E-02
3.105E-04	3.222E-02	1.891E-02	1.331E-02
3.133E-04	3.236E-02	1.900E-02	1.337E-02
3.162E-04	3.251E-02	1.908E-02	1.343E-02
3.192E-04	3.265E-02	1.916E-02	1.349E-02
3.221E-04	3.280E-02	1.925E-02	1.355E-02
3.251E-04	3.294E-02	1.933E-02	1.361E-02
3.281E-04	3.309E-02	1.941E-02	1.367E-02
3.311E-04	3.323E-02	1.950E-02	1.373E-02
3.342E-04	3.338E-02	1.958E-02	1.380E-02
3.373E-04	3.353E-02	1.967E-02	1.386E-02
3.404E-04	3.368E-02	1.976E-02	1.392E-02
3.436E-04	3.383E-02	1.984E-02	1.398E-02
3.467E-04	3.398E-02	1.993E-02	1.405E-02
3.499E-04	3.413E-02	2.001E-02	1.411E-02
3.532E-04	3.428E-02	2.010E-02	1.417E-02
3.565E-04	3.443E-02	2.019E-02	1.424E-02
3.597E-04	3.458E-02	2.028E-02	1.430E-02
3.631E-04	3.473E-02	2.037E-02	1.437E-02
3.664E-04	3.489E-02	2.045E-02	1.443E-02
3.698E-04	3.504E-02	2.054E-02	1.450E-02
3.733E-04	3.520E-02	2.063E-02	1.456E-02
3.767E-04	3.535E-02	2.072E-02	1.463E-02
3.802E-04	3.551E-02	2.081E-02	1.470E-02
3.837E-04	3.567E-02	2.090E-02	1.476E-02
3.873E-04	3.582E-02	2.100E-02	1.483E-02
3.908E-04	3.598E-02	2.109E-02	1.490E-02
3.945E-04	3.614E-02	2.118E-02	1.496E-02
3.981E-04	3.630E-02	2.127E-02	1.503E-02
4.018E-04	3.646E-02	2.136E-02	1.510E-02
4.055E-04	3.662E-02	2.146E-02	1.517E-02
4.093E-04	3.678E-02	2.155E-02	1.523E-02
4.130E-04	3.695E-02	2.164E-02	1.530E-02
4.169E-04	3.711E-02	2.174E-02	1.537E-02
4.207E-04	3.727E-02	2.183E-02	1.544E-02
