Q0 = 1.1 GeV	 Q = 3.2 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
1.000E-04	1.841E-02	1.089E-02	7.517E-03
1.009E-04	1.849E-02	1.094E-02	7.551E-03
1.019E-04	1.858E-02	1.099E-02	7.586E-03
1.028E-04	1.866E-02	1.104E-02	7.620E-03
1.038E-04	1.874E-02	1.109E-02	7.655E-03
1.047E-04	1.883E-02	1.114E-02	7.689E-03
1.057E-04	1.891E-02	1.118E-02	7.724E-03
1.067E-04	1.899E-02	1.123E-02	7.759E-03
1.076E-04	1.908E-02	1.128E-02	7.795E-03
1.086E-04	1.916E-02	1.133E-02	7.830E-03
1.096E-04	1.925E-02	1.138E-02	7.866E-03
1.107E-04	1.933E-02	1.143E-02	7.901E-03
1.117E-04	1.942E-02	1.148E-02	7.937E-03
1.127E-04	1.951E-02	1.153E-02	7.973E-03
1.138E-04	1.959E-02	1.158E-02	8.009E-03
1.148E-04	1.968E-02	1.163E-02	8.046E-03
1.159E-04	1.977E-02	1.169E-02	8.082E-03
1.169E-04	1.986E-02	1.174E-02	8.119E-03
1.180E-04	1.994E-02	1.179E-02	8.156E-03
1.191E-04	2.003E-02	1.184E-02	8.193E-03
1.202E-04	2.012E-02	1.189E-02	8.230E-03
1.213E-04	2.021E-02	1.194E-02	8.267E-03
1.225E-04	2.030E-02	1.200E-02	8.305E-03
1.236E-04	2.039E-02	1.205E-02	8.342E-03
1.247E-04	2.048E-02	1.210E-02	8.380E-03
1.259E-04	2.057E-02	1.215E-02	8.418E-03
1.271E-04	2.066E-02	1.221E-02	8.456E-03
1.282E-04	2.076E-02	1.226E-02	8.495E-03
1.294E-04	2.085E-02	1.231E-02	8.533E-03
1.306E-04	2.094E-02	1.237E-02	8.572E-03
1.318E-04	2.103E-02	1.242E-02	8.611E-03
1.330E-04	2.113E-02	1.248E-02	8.650E-03
1.343E-04	2.122E-02	1.253E-02	8.689E-03
1.355E-04	2.132E-02	1.259E-02	8.729E-03
1.368E-04	2.141E-02	1.264E-02	8.768E-03
1.380E-04	2.151E-02	1.270E-02	8.808E-03
1.393E-04	2.160E-02	1.275E-02	8.848E-03
1.406E-04	2.170E-02	1.281E-02	8.888E-03
1.419E-04	2.179E-02	1.287E-02	8.928E-03
1.432E-04	2.189E-02	1.292E-02	8.969E-03
1.445E-04	2.199E-02	1.298E-02	9.010E-03
1.459E-04	2.209E-02	1.303E-02	9.050E-03
1.472E-04	2.218E-02	1.309E-02	9.092E-03
1.486E-04	2.228E-02	1.315E-02	9.133E-03
1.500E-04	2.238E-02	1.321E-02	9.174E-03
1.514E-04	2.248E-02	1.326E-02	9.216E-03
1.528E-04	2.258E-02	1.332E-02	9.258E-03
1.542E-04	2.268E-02	1.338E-02	9.300E-03
1.556E-04	2.278E-02	1.344E-02	9.342E-03
1.570E-04	2.288E-02	1.350E-02	9.384E-03
1.585E-04	2.298E-02	1.356E-02	9.427E-03
