Q0 = 0.9 GeV	 Q = 3.2 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
1.000E-04	2.001E-02	1.186E-02	8.151E-03
1.009E-04	2.010E-02	1.191E-02	8.188E-03
1.019E-04	2.019E-02	1.196E-02	8.225E-03
1.028E-04	2.028E-02	1.201E-02	8.262E-03
1.038E-04	2.036E-02	1.206E-02	8.299E-03
1.047E-04	2.045E-02	1.212E-02	8.337E-03
1.057E-04	2.054E-02	1.217E-02	8.374E-03
1.067E-04	2.063E-02	1.222E-02	8.412E-03
1.076E-04	2.072E-02	1.227E-02	8.450E-03
1.086E-04	2.082E-02	1.233E-02	8.488E-03
1.096E-04	2.091E-02	1.238E-02	8.526E-03
1.107E-04	2.100E-02	1.243E-02	8.565E-03
1.117E-04	2.109E-02	1.249E-02	8.603E-03
1.127E-04	2.118E-02	1.254E-02	8.642E-03
1.138E-04	2.128E-02	1.260E-02	8.681E-03
1.148E-04	2.137E-02	1.265E-02	8.720E-03
1.159E-04	2.146E-02	1.270E-02	8.760E-03
1.169E-04	2.156E-02	1.276E-02	8.799E-03
1.180E-04	2.165E-02	1.281E-02	8.839E-03
1.191E-04	2.175E-02	1.287E-02	8.879E-03
1.202E-04	2.184E-02	1.292E-02	8.919E-03
1.213E-04	2.194E-02	1.298E-02	8.959E-03
1.225E-04	2.204E-02	1.304E-02	8.999E-03
1.236E-04	2.213E-02	1.309E-02	9.040E-03
1.247E-04	2.223E-02	1.315E-02	9.081E-03
1.259E-04	2.233E-02	1.320E-02	9.121E-03
1.271E-04	2.242E-02	1.326E-02	9.163E-03
1.282E-04	2.252E-02	1.332E-02	9.204E-03
1.294E-04	2.262E-02	1.338E-02	9.245E-03
1.306E-04	2.272E-02	1.343E-02	9.287E-03
1.318E-04	2.282E-02	1.349E-02	9.329E-03
1.330E-04	2.292E-02	1.355E-02	9.371E-03
1.343E-04	2.302E-02	1.361E-02	9.413E-03
1.355E-04	2.312E-02	1.367E-02	9.456E-03
1.368E-04	2.322E-02	1.373E-02	9.498E-03
1.380E-04	2.333E-02	1.378E-02	9.541E-03
1.393E-04	2.343E-02	1.384E-02	9.584E-03
1.406E-04	2.353E-02	1.390E-02	9.627E-03
1.419E-04	2.363E-02	1.396E-02	9.670E-03
1.432E-04	2.374E-02	1.402E-02	9.714E-03
1.445E-04	2.384E-02	1.408E-02	9.758E-03
1.459E-04	2.395E-02	1.414E-02	9.802E-03
1.472E-04	2.405E-02	1.421E-02	9.846E-03
1.486E-04	2.416E-02	1.427E-02	9.890E-03
1.500E-04	2.426E-02	1.433E-02	9.935E-03
1.514E-04	2.437E-02	1.439E-02	9.979E-03
1.528E-04	2.448E-02	1.445E-02	1.002E-02
1.542E-04	2.458E-02	1.451E-02	1.007E-02
1.556E-04	2.469E-02	1.458E-02	1.011E-02
1.570E-04	2.480E-02	1.464E-02	1.016E-02
1.585E-04	2.491E-02	1.470E-02	1.021E-02
1.600E-04	2.502E-02	1.476E-02	1.025E-02
1.614E-04	2.513E-02	1.483E-02	1.030E-02
1.629E-04	2.524E-02	1.489E-02	1.034E-02
1.644E-04	2.535E-02	1.496E-02	1.039E-02
1.660E-04	2.546E-02	1.502E-02	1.044E-02
1.675E-04	2.557E-02	1.508E-02	1.048E-02
1.690E-04	2.568E-02	1.515E-02	1.053E-02
1.706E-04	2.579E-02	1.521E-02	1.058E-02
1.722E-04	2.591E-02	1.528E-02	1.063E-02
1.738E-04	2.602E-02	1.535E-02	1.067E-02
1.754E-04	2.613E-02	1.541E-02	1.072E-02
1.770E-04	2.625E-02	1.548E-02	1.077E-02
1.786E-04	2.636E-02	1.554E-02	1.082E-02
1.803E-04	2.648E-02	1.561E-02	1.087E-02
1.820E-04	2.660E-02	1.568E-02	1.092E-02
1.837E-04	2.671E-02	1.575E-02	1.097E-02
1.854E-04	2.683E-02	1.581E-02	1.102E-02
1.871E-04	2.695E-02	1.588E-02	1.107E-02
1.888E-04	2.706E-02	1.595E-02	1.112E-02
1.905E-04	2.718E-02	1.602E-02	1.117E-02
1.923E-04	2.730E-02	1.609E-02	1.122E-02
1.941E-04	2.742E-02	1.616E-02	1.127E-02
1.959E-04	2.754E-02	1.622E-02	1.132E-02
1.977E-04	2.766E-02	1.629E-02	1.137E-02
1.995E-04	2.778E-02	1.636E-02	1.142E-02
2.014E-04	2.790E-02	1.643E-02	1.147E-02
2.032E-04	2.803E-02	1.650E-02	1.152E-02
2.051E-04	2.815E-02	1.658E-02	1.157E-02
2.070E-04	2.827E-02	1.665E-02	1.163E-02
2.089E-04	2.840E-02	1.672E-02	1.168E-02
2.109E-04	2.852E-02	1.679E-02	1.173E-02
2.128E-04	2.865E-02	1.686E-02	1.178E-02
2.148E-04	2.877E-02	1.693E-02	1.184E-02
2.168E-04	2.890E-02	1.701E-02	1.189E-02
2.188E-04	2.902E-02	1.708E-02	1.194E-02
2.208E-04	2.915E-02	1.715E-02	1.200E-02
2.228E-04	2.928E-02	1.723E-02	1.205E-02
2.249E-04	2.941E-02	1.730E-02	1.210E-02
2.270E-04	2.953E-02	1.738E-02	1.216E-02
2.291E-04	2.966E-02	1.745E-02	1.221E-02
2.312E-04	2.979E-02	1.752E-02	1.227E-02
2.333E-04	2.992E-02	1.760E-02	1.232E-02
2.355E-04	3.005E-02	1.768E-02	1.238E-02
2.377E-04	3.019E-02	1.775E-02	1.243E-02
2.399E-04	3.032E-02	1.783E-02	1.249E-02
2.421E-04	3.045E-02	1.790E-02	1.255E-02
2.443E-04	3.058E-02	1.798E-02	1.260E-02
2.466E-04	3.072E-02	1.806E-02	1.266E-02
2.489E-04	3.085E-02	1.813E-02	1.272E-02
2.512E-04	3.099E-02	1.821E-02	1.277E-02
2.535E-04	3.112E-02	1.829E-02	1.283E-02
2.559E-04	3.126E-02	1.837E-02	1.289E-02
2.582E-04	3.139E-02	1.845E-02	1.295E-02
2.606E-04	3.153E-02	1.853E-02	1.300E-02
2.630E-04	3.167E-02	1.861E-02	1.306E-02
2.655E-04	3.181E-02	1.869E-02	1.312E-02
2.679E-04	3.195E-02	1.877E-02	1.318E-02
2.704E-04	3.209E-02	1.885E-02	1.324E-02
2.729E-04	3.223E-02	1.893E-02	1.330E-02
2.754E-04	3.237E-02	1.901E-02	1.336E-02
2.780E-04	3.251E-02	1.909E-02	1.342E-02
2.805E-04	3.265E-02	1.917E-02	1.348E-02
2.831E-04	3.279E-02	1.925E-02	1.354E-02
2.858E-04	3.294E-02	1.934E-02	1.360E-02
2.884E-04	3.308E-02	1.942E-02	1.366E-02
2.911E-04	3.323E-02	1.950E-02	1.372E-02
2.938E-04	3.337E-02	1.959E-02	1.379E-02
2.965E-04	3.352E-02	1.967E-02	1.385E-02
2.992E-04	3.366E-02	1.975E-02	1.391E-02
3.020E-04	3.381E-02	1.984E-02	1.397E-02
3.048E-04	3.396E-02	1.992E-02	1.403E-02
3.076E-04	3.411E-02	2.001E-02	1.410E-02
3.105E-04	3.426E-02	2.009E-02	1.416E-02
3.133E-04	3.440E-02	2.018E-02	1.422E-02
3.162E-04	3.455E-02	2.027E-02	1.429E-02
3.192E-04	3.471E-02	2.035E-02	1.435E-02
3.221E-04	3.486E-02	2.044E-02	1.442E-02
3.251E-04	3.501E-02	2.053E-02	1.448E-02
3.281E-04	3.516E-02	2.062E-02	1.455E-02
3.311E-04	3.532E-02	2.070E-02	1.461E-02
3.342E-04	3.547E-02	2.079E-02	1.468E-02
3.373E-04	3.563E-02	2.088E-02	1.474E-02
3.404E-04	3.578E-02	2.097E-02	1.481E-02
3.436E-04	3.594E-02	2.106E-02	1.488E-02
3.467E-04	3.609E-02	2.115E-02	1.494E-02
3.499E-04	3.625E-02	2.124E-02	1.501E-02
3.532E-04	3.641E-02	2.133E-02	1.508E-02
3.565E-04	3.657E-02	2.142E-02	1.514E-02
3.597E-04	3.673E-02	2.152E-02	1.521E-02
3.631E-04	3.689E-02	2.161E-02	1.528E-02
3.664E-04	3.705E-02	2.170E-02	1.535E-02
3.698E-04	3.721E-02	2.179E-02	1.542E-02
3.733E-04	3.737E-02	2.189E-02	1.549E-02
3.767E-04	3.754E-02	2.198E-02	1.556E-02
3.802E-04	3.770E-02	2.207E-02	1.563E-02
3.837E-04	3.787E-02	2.217E-02	1.570E-02
3.873E-04	3.803E-02	2.226E-02	1.577E-02
3.908E-04	3.820E-02	2.236E-02	1.584E-02
3.945E-04	3.836E-02	2.245E-02	1.591E-02
3.981E-04	3.853E-02	2.255E-02	1.598E-02
4.018E-04	3.870E-02	2.265E-02	1.605E-02
4.055E-04	3.887E-02	2.274E-02	1.612E-02
4.093E-04	3.904E-02	2.284E-02	1.620E-02
4.130E-04	3.921E-02	2.294E-02	1.627E-02
4.169E-04	3.938E-02	2.304E-02	1.634E-02
4.207E-04	3.955E-02	2.313E-02	1.642E-02
4.246E-04	3.972E-02	2.323E-02	1.649E-02
4.285E-04	3.990E-02	2.333E-02	1.656E-02
4.325E-04	4.007E-02	2.343E-02	1.664E-02
4.365E-04	4.024E-02	2.353E-02	1.671E-02
