Q0 = 1.0 GeV	 Q = 3.2 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
5.000E-04	5.205E-02	3.110E-02	2.095E-02
1.500E-03	8.645E-02	5.120E-02	3.525E-02
2.500E-03	1.090E-01	6.424E-02	4.477E-02
3.500E-03	1.268E-01	7.442E-02	5.235E-02
4.500E-03	1.417E-01	8.293E-02	5.878E-02
5.500E-03	1.548E-01	9.031E-02	6.445E-02
6.500E-03	1.664E-01	9.687E-02	6.956E-02
7.500E-03	1.770E-01	1.028E-01	7.424E-02
8.500E-03	1.868E-01	1.082E-01	7.856E-02
9.500E-03	1.958E-01	1.132E-01	8.261E-02
1.050E-02	2.042E-01	1.178E-01	8.640E-02
1.150E-02	2.121E-01	1.221E-01	9.000E-02
1.250E-02	2.195E-01	1.261E-01	9.341E-02
1.350E-02	2.266E-01	1.299E-01	9.666E-02
1.450E-02	2.333E-01	1.335E-01	9.977E-02
1.550E-02	2.397E-01	1.369E-01	1.028E-01
1.650E-02	2.458E-01	1.402E-01	1.056E-01
1.750E-02	2.516E-01	1.433E-01	1.084E-01
1.850E-02	2.572E-01	1.462E-01	1.111E-01
1.950E-02	2.626E-01	1.490E-01	1.136E-01
2.050E-02	2.678E-01	1.517E-01	1.161E-01
2.150E-02	2.728E-01	1.542E-01	1.186E-01
2.250E-02	2.776E-01	1.567E-01	1.209E-01
2.350E-02	2.823E-01	1.591E-01	1.232E-01
2.450E-02	2.868E-01	1.613E-01	1.254E-01
2.550E-02	2.911E-01	1.635E-01	1.276E-01
2.650E-02	2.954E-01	1.656E-01	1.297E-01
2.750E-02	2.995E-01	1.677E-01	1.318E-01
2.850E-02	3.034E-01	1.696E-01	1.338E-01
2.950E-02	3.073E-01	1.715E-01	1.358E-01
3.050E-02	3.111E-01	1.733E-01	1.377E-01
3.150E-02	3.147E-01	1.751E-01	1.396E-01
3.250E-02	3.183E-01	1.768E-01	1.414E-01
3.350E-02	3.217E-01	1.785E-01	1.432E-01
3.450E-02	3.251E-01	1.801E-01	1.450E-01
3.550E-02	3.284E-01	1.816E-01	1.468E-01
3.650E-02	3.316E-01	1.831E-01	1.485E-01
3.750E-02	3.347E-01	1.845E-01	1.501E-01
3.850E-02	3.377E-01	1.860E-01	1.518E-01
3.950E-02	3.407E-01	1.873E-01	1.534E-01
4.050E-02	3.436E-01	1.886E-01	1.550E-01
4.150E-02	3.464E-01	1.899E-01	1.565E-01
4.250E-02	3.492E-01	1.911E-01	1.581E-01
4.350E-02	3.519E-01	1.924E-01	1.596E-01
4.450E-02	3.546E-01	1.935E-01	1.611E-01
4.550E-02	3.572E-01	1.946E-01	1.625E-01
4.650E-02	3.597E-01	1.957E-01	1.640E-01
4.750E-02	3.622E-01	1.968E-01	1.654E-01
4.850E-02	3.646E-01	1.978E-01	1.668E-01
4.950E-02	3.670E-01	1.989E-01	1.681E-01
5.050E-02	3.693E-01	1.998E-01	1.695E-01
5.150E-02	3.716E-01	2.008E-01	1.708E-01
5.250E-02	3.738E-01	2.017E-01	1.721E-01
5.350E-02	3.760E-01	2.026E-01	1.734E-01
5.450E-02	3.781E-01	2.035E-01	1.747E-01
5.550E-02	3.802E-01	2.043E-01	1.759E-01
5.650E-02	3.823E-01	2.051E-01	1.772E-01
5.750E-02	3.843E-01	2.059E-01	1.784E-01
5.850E-02	3.863E-01	2.067E-01	1.796E-01
5.950E-02	3.882E-01	2.074E-01	1.808E-01
6.050E-02	3.901E-01	2.081E-01	1.820E-01
6.150E-02	3.920E-01	2.089E-01	1.831E-01
6.250E-02	3.938E-01	2.095E-01	1.843E-01
6.350E-02	3.956E-01	2.102E-01	1.854E-01
6.450E-02	3.973E-01	2.108E-01	1.865E-01
6.550E-02	3.991E-01	2.115E-01	1.876E-01
6.650E-02	4.007E-01	2.121E-01	1.887E-01
6.750E-02	4.024E-01	2.127E-01	1.897E-01
6.850E-02	4.040E-01	2.132E-01	1.908E-01
6.950E-02	4.056E-01	2.138E-01	1.918E-01
7.050E-02	4.072E-01	2.143E-01	1.929E-01
7.150E-02	4.087E-01	2.148E-01	1.939E-01
7.250E-02	4.102E-01	2.153E-01	1.949E-01
7.350E-02	4.117E-01	2.158E-01	1.959E-01
7.450E-02	4.132E-01	2.163E-01	1.969E-01
7.550E-02	4.146E-01	2.167E-01	1.979E-01
7.650E-02	4.160E-01	2.172E-01	1.988E-01
7.750E-02	4.174E-01	2.176E-01	1.998E-01
7.850E-02	4.187E-01	2.180E-01	2.007E-01
7.950E-02	4.200E-01	2.184E-01	2.016E-01
8.050E-02	4.213E-01	2.188E-01	2.026E-01
8.150E-02	4.226E-01	2.192E-01	2.035E-01
8.250E-02	4.239E-01	2.195E-01	2.044E-01
8.350E-02	4.251E-01	2.199E-01	2.052E-01
8.450E-02	4.263E-01	2.202E-01	2.061E-01
8.550E-02	4.275E-01	2.205E-01	2.070E-01
8.650E-02	4.287E-01	2.208E-01	2.078E-01
8.750E-02	4.298E-01	2.211E-01	2.087E-01
8.850E-02	4.309E-01	2.214E-01	2.095E-01
8.950E-02	4.320E-01	2.217E-01	2.103E-01
9.050E-02	4.331E-01	2.219E-01	2.112E-01
9.150E-02	4.342E-01	2.222E-01	2.120E-01
9.250E-02	4.352E-01	2.224E-01	2.128E-01
9.350E-02	4.362E-01	2.227E-01	2.136E-01
9.450E-02	4.372E-01	2.229E-01	2.144E-01
9.550E-02	4.382E-01	2.231E-01	2.151E-01
9.650E-02	4.392E-01	2.233E-01	2.159E-01
9.750E-02	4.401E-01	2.235E-01	2.167E-01
9.850E-02	4.411E-01	2.236E-01	2.174E-01
9.950E-02	4.420E-01	2.238E-01	2.182E-01
1.005E-01	4.429E-01	2.240E-01	2.189E-01
1.015E-01	4.437E-01	2.241E-01	2.196E-01
1.025E-01	4.446E-01	2.243E-01	2.203E-01
1.035E-01	4.455E-01	2.244E-01	2.210E-01
1.045E-01	4.463E-01	2.245E-01	2.217E-01
1.055E-01	4.471E-01	2.247E-01	2.224E-01
1.065E-01	4.479E-01	2.248E-01	2.231E-01
1.075E-01	4.487E-01	2.249E-01	2.238E-01
1.085E-01	4.494E-01	2.250E-01	2.245E-01
1.095E-01	4.502E-01	2.250E-01	2.252E-01
1.105E-01	4.509E-01	2.251E-01	2.258E-01
1.115E-01	4.517E-01	2.252E-01	2.265E-01
1.125E-01	4.524E-01	2.252E-01	2.271E-01
1.135E-01	4.531E-01	2.253E-01	2.278E-01
1.145E-01	4.537E-01	2.253E-01	2.284E-01
1.155E-01	4.544E-01	2.254E-01	2.290E-01
1.165E-01	4.551E-01	2.254E-01	2.296E-01
1.175E-01	4.557E-01	2.255E-01	2.302E-01
1.185E-01	4.563E-01	2.255E-01	2.308E-01
1.195E-01	4.569E-01	2.255E-01	2.314E-01
1.205E-01	4.575E-01	2.255E-01	2.320E-01
1.215E-01	4.581E-01	2.255E-01	2.326E-01
1.225E-01	4.587E-01	2.255E-01	2.332E-01
1.235E-01	4.593E-01	2.255E-01	2.338E-01
1.245E-01	4.598E-01	2.255E-01	2.344E-01
1.255E-01	4.603E-01	2.254E-01	2.349E-01
1.265E-01	4.609E-01	2.254E-01	2.355E-01
1.275E-01	4.614E-01	2.254E-01	2.360E-01
1.285E-01	4.619E-01	2.253E-01	2.366E-01
1.295E-01	4.624E-01	2.253E-01	2.371E-01
1.305E-01	4.629E-01	2.252E-01	2.376E-01
1.315E-01	4.633E-01	2.252E-01	2.382E-01
1.325E-01	4.638E-01	2.251E-01	2.387E-01
1.335E-01	4.642E-01	2.250E-01	2.392E-01
1.345E-01	4.647E-01	2.250E-01	2.397E-01
1.355E-01	4.651E-01	2.249E-01	2.402E-01
1.365E-01	4.655E-01	2.248E-01	2.407E-01
1.375E-01	4.659E-01	2.247E-01	2.412E-01
1.385E-01	4.663E-01	2.246E-01	2.417E-01
1.395E-01	4.667E-01	2.245E-01	2.422E-01
1.405E-01	4.671E-01	2.244E-01	2.427E-01
1.415E-01	4.674E-01	2.243E-01	2.431E-01
1.425E-01	4.678E-01	2.242E-01	2.436E-01
1.435E-01	4.681E-01	2.241E-01	2.441E-01
1.445E-01	4.685E-01	2.239E-01	2.445E-01
1.455E-01	4.688E-01	2.238E-01	2.450E-01
1.465E-01	4.691E-01	2.237E-01	2.454E-01
1.475E-01	4.694E-01	2.235E-01	2.459E-01
1.485E-01	4.697E-01	2.234E-01	2.463E-01
1.495E-01	4.700E-01	2.233E-01	2.467E-01
1.505E-01	4.703E-01	2.231E-01	2.472E-01
1.515E-01	4.706E-01	2.230E-01	2.476E-01
1.525E-01	4.708E-01	2.228E-01	2.480E-01
1.535E-01	4.711E-01	2.226E-01	2.484E-01
1.545E-01	4.713E-01	2.225E-01	2.488E-01
1.555E-01	4.716E-01	2.223E-01	2.492E-01
1.565E-01	4.718E-01	2.221E-01	2.496E-01
1.575E-01	4.720E-01	2.220E-01	2.500E-01
1.585E-01	4.722E-01	2.218E-01	2.504E-01
1.595E-01	4.724E-01	2.216E-01	2.508E-01
1.605E-01	4.726E-01	2.214E-01	2.512E-01
1.615E-01	4.728E-01	2.212E-01	2.516E-01
1.625E-01	4.730E-01	2.210E-01	2.519E-01
1.635E-01	4.731E-01	2.208E-01	2.523E-01
1.645E-01	4.733E-01	2.206E-01	2.527E-01
1.655E-01	4.735E-01	2.204E-01	2.530E-01
1.665E-01	4.736E-01	2.202E-01	2.534E-01
1.675E-01	4.738E-01	2.200E-01	2.537E-01
1.685E-01	4.739E-01	2.198E-01	2.541E-01
1.695E-01	4.740E-01	2.196E-01	2.544E-01
1.705E-01	4.741E-01	2.194E-01	2.547E-01
1.715E-01	4.742E-01	2.192E-01	2.551E-01
1.725E-01	4.743E-01	2.189E-01	2.554E-01
1.735E-01	4.744E-01	2.187E-01	2.557E-01
1.745E-01	4.745E-01	2.185E-01	2.561E-01
1.755E-01	4.746E-01	2.183E-01	2.564E-01
1.765E-01	4.747E-01	2.180E-01	2.567E-01
1.775E-01	4.748E-01	2.178E-01	2.570E-01
1.785E-01	4.748E-01	2.175E-01	2.573E-01
1.795E-01	4.749E-01	2.173E-01	2.576E-01
1.805E-01	4.749E-01	2.171E-01	2.579E-01
1.815E-01	4.750E-01	2.168E-01	2.582E-01
1.825E-01	4.750E-01	2.166E-01	2.585E-01
1.835E-01	4.750E-01	2.163E-01	2.587E-01
1.845E-01	4.751E-01	2.160E-01	2.590E-01
1.855E-01	4.751E-01	2.158E-01	2.593E-01
1.865E-01	4.751E-01	2.155E-01	2.596E-01
1.875E-01	4.751E-01	2.153E-01	2.598E-01
1.885E-01	4.751E-01	2.150E-01	2.601E-01
1.895E-01	4.751E-01	2.147E-01	2.604E-01
1.905E-01	4.751E-01	2.145E-01	2.606E-01
1.915E-01	4.751E-01	2.142E-01	2.609E-01
1.925E-01	4.750E-01	2.139E-01	2.611E-01
1.935E-01	4.750E-01	2.136E-01	2.614E-01
1.945E-01	4.750E-01	2.134E-01	2.616E-01
1.955E-01	4.749E-01	2.131E-01	2.619E-01
1.965E-01	4.749E-01	2.128E-01	2.621E-01
1.975E-01	4.748E-01	2.125E-01	2.623E-01
1.985E-01	4.748E-01	2.122E-01	2.626E-01
1.995E-01	4.747E-01	2.119E-01	2.628E-01
2.005E-01	4.746E-01	2.116E-01	2.630E-01
2.015E-01	4.746E-01	2.113E-01	2.632E-01
2.025E-01	4.745E-01	2.111E-01	2.634E-01
2.035E-01	4.744E-01	2.108E-01	2.636E-01
2.045E-01	4.743E-01	2.105E-01	2.638E-01
2.055E-01	4.742E-01	2.102E-01	2.640E-01
2.065E-01	4.741E-01	2.099E-01	2.642E-01
2.075E-01	4.740E-01	2.096E-01	2.644E-01
2.085E-01	4.739E-01	2.092E-01	2.646E-01
2.095E-01	4.738E-01	2.089E-01	2.648E-01
2.105E-01	4.736E-01	2.086E-01	2.650E-01
2.115E-01	4.735E-01	2.083E-01	2.652E-01
2.125E-01	4.734E-01	2.080E-01	2.654E-01
2.135E-01	4.732E-01	2.077E-01	2.656E-01
2.145E-01	4.731E-01	2.074E-01	2.657E-01
2.155E-01	4.730E-01	2.071E-01	2.659E-01
2.165E-01	4.728E-01	2.067E-01	2.661E-01
2.175E-01	4.726E-01	2.064E-01	2.662E-01
2.185E-01	4.725E-01	2.061E-01	2.664E-01
2.195E-01	4.723E-01	2.058E-01	2.665E-01
2.205E-01	4.721E-01	2.055E-01	2.667E-01
2.215E-01	4.720E-01	2.051E-01	2.668E-01
2.225E-01	4.718E-01	2.048E-01	2.670E-01
2.235E-01	4.716E-01	2.045E-01	2.671E-01
2.245E-01	4.714E-01	2.041E-01	2.673E-01
2.255E-01	4.712E-01	2.038E-01	2.674E-01
2.265E-01	4.710E-01	2.035E-01	2.675E-01
2.275E-01	4.708E-01	2.032E-01	2.677E-01
2.285E-01	4.706E-01	2.028E-01	2.678E-01
2.295E-01	4.704E-01	2.025E-01	2.679E-01
2.305E-01	4.702E-01	2.021E-01	2.680E-01
2.315E-01	4.700E-01	2.018E-01	2.682E-01
2.325E-01	4.698E-01	2.015E-01	2.683E-01
2.335E-01	4.695E-01	2.011E-01	2.684E-01
2.345E-01	4.693E-01	2.008E-01	2.685E-01
2.355E-01	4.691E-01	2.004E-01	2.686E-01
2.365E-01	4.688E-01	2.001E-01	2.687E-01
2.375E-01	4.686E-01	1.998E-01	2.688E-01
2.385E-01	4.683E-01	1.994E-01	2.689E-01
2.395E-01	4.681E-01	1.991E-01	2.690E-01
2.405E-01	4.678E-01	1.987E-01	2.691E-01
2.415E-01	4.676E-01	1.984E-01	2.692E-01
2.425E-01	4.673E-01	1.980E-01	2.693E-01
2.435E-01	4.670E-01	1.977E-01	2.694E-01
2.445E-01	4.668E-01	1.973E-01	2.694E-01
2.455E-01	4.665E-01	1.970E-01	2.695E-01
2.465E-01	4.662E-01	1.966E-01	2.696E-01
2.475E-01	4.659E-01	1.962E-01	2.697E-01
2.485E-01	4.656E-01	1.959E-01	2.697E-01
2.495E-01	4.653E-01	1.955E-01	2.698E-01
2.505E-01	4.650E-01	1.952E-01	2.699E-01
2.515E-01	4.647E-01	1.948E-01	2.699E-01
2.525E-01	4.644E-01	1.945E-01	2.700E-01
2.535E-01	4.641E-01	1.941E-01	2.700E-01
2.545E-01	4.638E-01	1.937E-01	2.701E-01
2.555E-01	4.635E-01	1.934E-01	2.701E-01
2.565E-01	4.632E-01	1.930E-01	2.702E-01
2.575E-01	4.629E-01	1.927E-01	2.702E-01
2.585E-01	4.626E-01	1.923E-01	2.703E-01
2.595E-01	4.622E-01	1.919E-01	2.703E-01
2.605E-01	4.619E-01	1.916E-01	2.703E-01
2.615E-01	4.616E-01	1.912E-01	2.704E-01
2.625E-01	4.612E-01	1.908E-01	2.704E-01
2.635E-01	4.609E-01	1.905E-01	2.704E-01
2.645E-01	4.606E-01	1.901E-01	2.705E-01
2.655E-01	4.602E-01	1.897E-01	2.705E-01
2.665E-01	4.599E-01	1.894E-01	2.705E-01
2.675E-01	4.595E-01	1.890E-01	2.705E-01
2.685E-01	4.592E-01	1.886E-01	2.705E-01
2.695E-01	4.588E-01	1.882E-01	2.706E-01
2.705E-01	4.584E-01	1.879E-01	2.706E-01
2.715E-01	4.581E-01	1.875E-01	2.706E-01
2.725E-01	4.577E-01	1.871E-01	2.706E-01
2.735E-01	4.573E-01	1.868E-01	2.706E-01
2.745E-01	4.570E-01	1.864E-01	2.706E-01
2.755E-01	4.566E-01	1.860E-01	2.706E-01
2.765E-01	4.562E-01	1.856E-01	2.706E-01
2.775E-01	4.558E-01	1.853E-01	2.706E-01
2.785E-01	4.554E-01	1.849E-01	2.706E-01
2.795E-01	4.551E-01	1.845E-01	2.705E-01
2.805E-01	4.547E-01	1.841E-01	2.705E-01
2.815E-01	4.543E-01	1.838E-01	2.705E-01
2.825E-01	4.539E-01	1.834E-01	2.705E-01
2.835E-01	4.535E-01	1.830E-01	2.705E-01
2.845E-01	4.531E-01	1.826E-01	2.704E-01
2.855E-01	4.527E-01	1.822E-01	2.704E-01
2.865E-01	4.522E-01	1.819E-01	2.704E-01
2.875E-01	4.518E-01	1.815E-01	2.703E-01
2.885E-01	4.514E-01	1.811E-01	2.703E-01
2.895E-01	4.510E-01	1.807E-01	2.703E-01
2.905E-01	4.506E-01	1.804E-01	2.702E-01
2.915E-01	4.502E-01	1.800E-01	2.702E-01
2.925E-01	4.497E-01	1.796E-01	2.701E-01
2.935E-01	4.493E-01	1.792E-01	2.701E-01
2.945E-01	4.489E-01	1.788E-01	2.701E-01
2.955E-01	4.484E-01	1.784E-01	2.700E-01
2.965E-01	4.480E-01	1.781E-01	2.699E-01
2.975E-01	4.476E-01	1.777E-01	2.699E-01
2.985E-01	4.471E-01	1.773E-01	2.698E-01
2.995E-01	4.467E-01	1.769E-01	2.698E-01
3.005E-01	4.462E-01	1.765E-01	2.697E-01
3.015E-01	4.458E-01	1.761E-01	2.696E-01
3.025E-01	4.453E-01	1.758E-01	2.696E-01
3.035E-01	4.449E-01	1.754E-01	2.695E-01
3.045E-01	4.444E-01	1.750E-01	2.694E-01
3.055E-01	4.440E-01	1.746E-01	2.694E-01
3.065E-01	4.435E-01	1.742E-01	2.693E-01
3.075E-01	4.431E-01	1.738E-01	2.692E-01
3.085E-01	4.426E-01	1.735E-01	2.691E-01
3.095E-01	4.421E-01	1.731E-01	2.690E-01
3.105E-01	4.416E-01	1.727E-01	2.690E-01
3.115E-01	4.412E-01	1.723E-01	2.689E-01
3.125E-01	4.407E-01	1.719E-01	2.688E-01
3.135E-01	4.402E-01	1.715E-01	2.687E-01
3.145E-01	4.397E-01	1.711E-01	2.686E-01
3.155E-01	4.393E-01	1.708E-01	2.685E-01
3.165E-01	4.388E-01	1.704E-01	2.684E-01
3.175E-01	4.383E-01	1.700E-01	2.683E-01
3.185E-01	4.378E-01	1.696E-01	2.682E-01
3.195E-01	4.373E-01	1.692E-01	2.681E-01
3.205E-01	4.368E-01	1.688E-01	2.680E-01
3.215E-01	4.363E-01	1.684E-01	2.679E-01
3.225E-01	4.358E-01	1.681E-01	2.678E-01
3.235E-01	4.353E-01	1.677E-01	2.677E-01
3.245E-01	4.348E-01	1.673E-01	2.675E-01
3.255E-01	4.343E-01	1.669E-01	2.674E-01
3.265E-01	4.338E-01	1.665E-01	2.673E-01
3.275E-01	4.333E-01	1.661E-01	2.672E-01
3.285E-01	4.328E-01	1.657E-01	2.671E-01
3.295E-01	4.323E-01	1.653E-01	2.669E-01
3.305E-01	4.318E-01	1.650E-01	2.668E-01
3.315E-01	4.312E-01	1.646E-01	2.667E-01
3.325E-01	4.307E-01	1.642E-01	2.665E-01
3.335E-01	4.302E-01	1.638E-01	2.664E-01
3.345E-01	4.297E-01	1.634E-01	2.663E-01
3.355E-01	4.292E-01	1.630E-01	2.661E-01
3.365E-01	4.286E-01	1.626E-01	2.660E-01
3.375E-01	4.281E-01	1.623E-01	2.659E-01
3.385E-01	4.276E-01	1.619E-01	2.657E-01
3.395E-01	4.270E-01	1.615E-01	2.656E-01
3.405E-01	4.265E-01	1.611E-01	2.654E-01
3.415E-01	4.260E-01	1.607E-01	2.653E-01
3.425E-01	4.254E-01	1.603E-01	2.651E-01
3.435E-01	4.249E-01	1.599E-01	2.650E-01
3.445E-01	4.243E-01	1.595E-01	2.648E-01
3.455E-01	4.238E-01	1.592E-01	2.646E-01
3.465E-01	4.233E-01	1.588E-01	2.645E-01
3.475E-01	4.227E-01	1.584E-01	2.643E-01
3.485E-01	4.222E-01	1.580E-01	2.642E-01
3.495E-01	4.216E-01	1.576E-01	2.640E-01
3.505E-01	4.211E-01	1.572E-01	2.638E-01
3.515E-01	4.205E-01	1.568E-01	2.637E-01
3.525E-01	4.199E-01	1.565E-01	2.635E-01
3.535E-01	4.194E-01	1.561E-01	2.633E-01
3.545E-01	4.188E-01	1.557E-01	2.631E-01
3.555E-01	4.183E-01	1.553E-01	2.630E-01
3.565E-01	4.177E-01	1.549E-01	2.628E-01
3.575E-01	4.171E-01	1.545E-01	2.626E-01
3.585E-01	4.166E-01	1.541E-01	2.624E-01
3.595E-01	4.160E-01	1.538E-01	2.622E-01
3.605E-01	4.154E-01	1.534E-01	2.621E-01
3.615E-01	4.149E-01	1.530E-01	2.619E-01
3.625E-01	4.143E-01	1.526E-01	2.617E-01
3.635E-01	4.137E-01	1.522E-01	2.615E-01
3.645E-01	4.131E-01	1.518E-01	2.613E-01
3.655E-01	4.126E-01	1.515E-01	2.611E-01
3.665E-01	4.120E-01	1.511E-01	2.609E-01
3.675E-01	4.114E-01	1.507E-01	2.607E-01
3.685E-01	4.108E-01	1.503E-01	2.605E-01
3.695E-01	4.102E-01	1.499E-01	2.603E-01
3.705E-01	4.096E-01	1.495E-01	2.601E-01
3.715E-01	4.090E-01	1.492E-01	2.599E-01
3.725E-01	4.085E-01	1.488E-01	2.597E-01
3.735E-01	4.079E-01	1.484E-01	2.595E-01
3.745E-01	4.073E-01	1.480E-01	2.593E-01
