Q0 = 1.4 GeV	 Q = 3.2 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
5.000E-04	4.660E-02	3.003E-02	1.656E-02
1.500E-03	7.872E-02	5.041E-02	2.832E-02
2.500E-03	1.002E-01	6.387E-02	3.630E-02
3.500E-03	1.172E-01	7.448E-02	4.273E-02
4.500E-03	1.317E-01	8.342E-02	4.826E-02
5.500E-03	1.444E-01	9.123E-02	5.318E-02
6.500E-03	1.558E-01	9.819E-02	5.765E-02
7.500E-03	1.663E-01	1.045E-01	6.178E-02
8.500E-03	1.759E-01	1.103E-01	6.563E-02
9.500E-03	1.849E-01	1.156E-01	6.924E-02
1.050E-02	1.933E-01	1.206E-01	7.267E-02
1.150E-02	2.012E-01	1.253E-01	7.592E-02
1.250E-02	2.087E-01	1.297E-01	7.903E-02
1.350E-02	2.158E-01	1.338E-01	8.202E-02
1.450E-02	2.226E-01	1.377E-01	8.489E-02
1.550E-02	2.291E-01	1.414E-01	8.766E-02
1.650E-02	2.353E-01	1.450E-01	9.034E-02
1.750E-02	2.412E-01	1.483E-01	9.293E-02
1.850E-02	2.470E-01	1.515E-01	9.544E-02
1.950E-02	2.525E-01	1.546E-01	9.789E-02
2.050E-02	2.578E-01	1.576E-01	1.003E-01
2.150E-02	2.630E-01	1.604E-01	1.026E-01
2.250E-02	2.680E-01	1.631E-01	1.049E-01
2.350E-02	2.728E-01	1.657E-01	1.071E-01
2.450E-02	2.774E-01	1.682E-01	1.092E-01
2.550E-02	2.820E-01	1.706E-01	1.113E-01
2.650E-02	2.864E-01	1.730E-01	1.134E-01
2.750E-02	2.907E-01	1.752E-01	1.155E-01
2.850E-02	2.948E-01	1.774E-01	1.174E-01
2.950E-02	2.989E-01	1.795E-01	1.194E-01
3.050E-02	3.028E-01	1.815E-01	1.213E-01
3.150E-02	3.067E-01	1.834E-01	1.232E-01
3.250E-02	3.104E-01	1.853E-01	1.251E-01
3.350E-02	3.141E-01	1.872E-01	1.269E-01
3.450E-02	3.176E-01	1.889E-01	1.287E-01
3.550E-02	3.211E-01	1.906E-01	1.305E-01
3.650E-02	3.245E-01	1.923E-01	1.322E-01
3.750E-02	3.278E-01	1.939E-01	1.339E-01
3.850E-02	3.311E-01	1.955E-01	1.356E-01
3.950E-02	3.342E-01	1.970E-01	1.373E-01
4.050E-02	3.373E-01	1.984E-01	1.389E-01
4.150E-02	3.404E-01	1.999E-01	1.405E-01
4.250E-02	3.434E-01	2.012E-01	1.421E-01
4.350E-02	3.463E-01	2.026E-01	1.437E-01
4.450E-02	3.491E-01	2.039E-01	1.453E-01
4.550E-02	3.519E-01	2.051E-01	1.468E-01
4.650E-02	3.547E-01	2.063E-01	1.483E-01
4.750E-02	3.573E-01	2.075E-01	1.498E-01
4.850E-02	3.600E-01	2.087E-01	1.513E-01
4.950E-02	3.625E-01	2.098E-01	1.528E-01
