Q0 = 1.0 GeV	 Q = 1.0 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
5.000E-04	3.724E-02	2.420E-02	1.304E-02
1.500E-03	6.440E-02	4.179E-02	2.261E-02
2.500E-03	8.300E-02	5.378E-02	2.922E-02
3.500E-03	9.804E-02	6.343E-02	3.461E-02
4.500E-03	1.110E-01	7.170E-02	3.928E-02
5.500E-03	1.225E-01	7.901E-02	4.347E-02
6.500E-03	1.329E-01	8.563E-02	4.730E-02
7.500E-03	1.425E-01	9.169E-02	5.085E-02
8.500E-03	1.515E-01	9.730E-02	5.419E-02
9.500E-03	1.599E-01	1.025E-01	5.734E-02
1.050E-02	1.678E-01	1.075E-01	6.033E-02
1.150E-02	1.753E-01	1.121E-01	6.320E-02
1.250E-02	1.825E-01	1.165E-01	6.595E-02
1.350E-02	1.893E-01	1.207E-01	6.860E-02
1.450E-02	1.959E-01	1.247E-01	7.115E-02
1.550E-02	2.022E-01	1.285E-01	7.363E-02
1.650E-02	2.082E-01	1.322E-01	7.603E-02
1.750E-02	2.141E-01	1.357E-01	7.837E-02
1.850E-02	2.197E-01	1.391E-01	8.065E-02
1.950E-02	2.252E-01	1.423E-01	8.287E-02
2.050E-02	2.305E-01	1.455E-01	8.504E-02
2.150E-02	2.357E-01	1.485E-01	8.716E-02
2.250E-02	2.407E-01	1.514E-01	8.923E-02
2.350E-02	2.455E-01	1.543E-01	9.127E-02
2.450E-02	2.503E-01	1.570E-01	9.326E-02
2.550E-02	2.549E-01	1.597E-01	9.522E-02
2.650E-02	2.594E-01	1.623E-01	9.715E-02
2.750E-02	2.638E-01	1.648E-01	9.904E-02
2.850E-02	2.681E-01	1.672E-01	1.009E-01
2.950E-02	2.723E-01	1.696E-01	1.027E-01
3.050E-02	2.764E-01	1.719E-01	1.045E-01
3.150E-02	2.804E-01	1.741E-01	1.063E-01
3.250E-02	2.844E-01	1.763E-01	1.081E-01
3.350E-02	2.882E-01	1.784E-01	1.098E-01
3.450E-02	2.920E-01	1.805E-01	1.115E-01
3.550E-02	2.957E-01	1.825E-01	1.132E-01
3.650E-02	2.993E-01	1.844E-01	1.149E-01
3.750E-02	3.029E-01	1.863E-01	1.165E-01
3.850E-02	3.063E-01	1.882E-01	1.181E-01
3.950E-02	3.098E-01	1.900E-01	1.197E-01
4.050E-02	3.131E-01	1.918E-01	1.213E-01
4.150E-02	3.164E-01	1.935E-01	1.229E-01
4.250E-02	3.197E-01	1.952E-01	1.245E-01
4.350E-02	3.229E-01	1.969E-01	1.260E-01
4.450E-02	3.260E-01	1.985E-01	1.275E-01
4.550E-02	3.291E-01	2.000E-01	1.290E-01
4.650E-02	3.321E-01	2.016E-01	1.305E-01
4.750E-02	3.351E-01	2.031E-01	1.320E-01
4.850E-02	3.380E-01	2.045E-01	1.335E-01
4.950E-02	3.409E-01	2.059E-01	1.349E-01
5.050E-02	3.437E-01	2.073E-01	1.364E-01
5.150E-02	3.465E-01	2.087E-01	1.378E-01
5.250E-02	3.493E-01	2.100E-01	1.392E-01
5.350E-02	3.520E-01	2.113E-01	1.406E-01
5.450E-02	3.546E-01	2.126E-01	1.420E-01
5.550E-02	3.573E-01	2.139E-01	1.434E-01
5.650E-02	3.598E-01	2.151E-01	1.448E-01
5.750E-02	3.624E-01	2.163E-01	1.461E-01
5.850E-02	3.649E-01	2.174E-01	1.475E-01
5.950E-02	3.674E-01	2.186E-01	1.488E-01
6.050E-02	3.698E-01	2.197E-01	1.501E-01
6.150E-02	3.722E-01	2.208E-01	1.515E-01
6.250E-02	3.746E-01	2.218E-01	1.528E-01
6.350E-02	3.769E-01	2.228E-01	1.541E-01
6.450E-02	3.792E-01	2.239E-01	1.554E-01
6.550E-02	3.815E-01	2.248E-01	1.566E-01
6.650E-02	3.837E-01	2.258E-01	1.579E-01
6.750E-02	3.859E-01	2.268E-01	1.592E-01
6.850E-02	3.881E-01	2.277E-01	1.604E-01
6.950E-02	3.903E-01	2.286E-01	1.617E-01
7.050E-02	3.924E-01	2.295E-01	1.629E-01
7.150E-02	3.945E-01	2.303E-01	1.641E-01
7.250E-02	3.965E-01	2.312E-01	1.654E-01
7.350E-02	3.986E-01	2.320E-01	1.666E-01
7.450E-02	4.006E-01	2.328E-01	1.678E-01
7.550E-02	4.026E-01	2.336E-01	1.690E-01
7.650E-02	4.045E-01	2.343E-01	1.702E-01
7.750E-02	4.065E-01	2.351E-01	1.714E-01
7.850E-02	4.084E-01	2.358E-01	1.725E-01
7.950E-02	4.103E-01	2.365E-01	1.737E-01
8.050E-02	4.121E-01	2.372E-01	1.749E-01
8.150E-02	4.139E-01	2.379E-01	1.760E-01
8.250E-02	4.158E-01	2.386E-01	1.772E-01
8.350E-02	4.175E-01	2.392E-01	1.783E-01
8.450E-02	4.193E-01	2.398E-01	1.795E-01
8.550E-02	4.211E-01	2.405E-01	1.806E-01
8.650E-02	4.228E-01	2.410E-01	1.817E-01
8.750E-02	4.245E-01	2.416E-01	1.828E-01
8.850E-02	4.262E-01	2.422E-01	1.840E-01
8.950E-02	4.278E-01	2.427E-01	1.851E-01
9.050E-02	4.295E-01	2.433E-01	1.862E-01
9.150E-02	4.311E-01	2.438E-01	1.873E-01
9.250E-02	4.327E-01	2.443E-01	1.883E-01
9.350E-02	4.342E-01	2.448E-01	1.894E-01
9.450E-02	4.358E-01	2.453E-01	1.905E-01
9.550E-02	4.373E-01	2.458E-01	1.916E-01
9.650E-02	4.389E-01	2.462E-01	1.926E-01
9.750E-02	4.404E-01	2.467E-01	1.937E-01
9.850E-02	4.418E-01	2.471E-01	1.948E-01
9.950E-02	4.433E-01	2.475E-01	1.958E-01
1.005E-01	4.448E-01	2.479E-01	1.968E-01
1.015E-01	4.462E-01	2.483E-01	1.979E-01
1.025E-01	4.476E-01	2.487E-01	1.989E-01
1.035E-01	4.490E-01	2.491E-01	1.999E-01
1.045E-01	4.504E-01	2.494E-01	2.010E-01
1.055E-01	4.517E-01	2.498E-01	2.020E-01
1.065E-01	4.531E-01	2.501E-01	2.030E-01
1.075E-01	4.544E-01	2.504E-01	2.040E-01
1.085E-01	4.557E-01	2.507E-01	2.050E-01
1.095E-01	4.570E-01	2.510E-01	2.060E-01
1.105E-01	4.583E-01	2.513E-01	2.070E-01
1.115E-01	4.596E-01	2.516E-01	2.080E-01
1.125E-01	4.608E-01	2.519E-01	2.090E-01
1.135E-01	4.621E-01	2.521E-01	2.099E-01
1.145E-01	4.633E-01	2.524E-01	2.109E-01
1.155E-01	4.645E-01	2.526E-01	2.119E-01
1.165E-01	4.657E-01	2.528E-01	2.128E-01
1.175E-01	4.668E-01	2.531E-01	2.138E-01
1.185E-01	4.680E-01	2.533E-01	2.147E-01
1.195E-01	4.692E-01	2.535E-01	2.157E-01
1.205E-01	4.703E-01	2.536E-01	2.166E-01
1.215E-01	4.714E-01	2.538E-01	2.176E-01
1.225E-01	4.725E-01	2.540E-01	2.185E-01
1.235E-01	4.736E-01	2.542E-01	2.194E-01
1.245E-01	4.747E-01	2.543E-01	2.204E-01
1.255E-01	4.758E-01	2.545E-01	2.213E-01
1.265E-01	4.768E-01	2.546E-01	2.222E-01
1.275E-01	4.779E-01	2.547E-01	2.231E-01
1.285E-01	4.789E-01	2.548E-01	2.240E-01
1.295E-01	4.799E-01	2.550E-01	2.249E-01
1.305E-01	4.809E-01	2.551E-01	2.258E-01
1.315E-01	4.819E-01	2.552E-01	2.267E-01
1.325E-01	4.829E-01	2.552E-01	2.276E-01
1.335E-01	4.838E-01	2.553E-01	2.285E-01
1.345E-01	4.848E-01	2.554E-01	2.294E-01
1.355E-01	4.857E-01	2.554E-01	2.303E-01
1.365E-01	4.867E-01	2.555E-01	2.312E-01
1.375E-01	4.876E-01	2.556E-01	2.320E-01
1.385E-01	4.885E-01	2.556E-01	2.329E-01
1.395E-01	4.894E-01	2.556E-01	2.338E-01
1.405E-01	4.903E-01	2.557E-01	2.346E-01
1.415E-01	4.911E-01	2.557E-01	2.355E-01
1.425E-01	4.920E-01	2.557E-01	2.363E-01
1.435E-01	4.929E-01	2.557E-01	2.372E-01
1.445E-01	4.937E-01	2.557E-01	2.380E-01
1.455E-01	4.945E-01	2.557E-01	2.389E-01
1.465E-01	4.953E-01	2.557E-01	2.397E-01
1.475E-01	4.962E-01	2.556E-01	2.405E-01
1.485E-01	4.970E-01	2.556E-01	2.413E-01
1.495E-01	4.977E-01	2.556E-01	2.422E-01
1.505E-01	4.985E-01	2.555E-01	2.430E-01
1.515E-01	4.993E-01	2.555E-01	2.438E-01
1.525E-01	5.000E-01	2.554E-01	2.446E-01
1.535E-01	5.008E-01	2.554E-01	2.454E-01
1.545E-01	5.015E-01	2.553E-01	2.462E-01
1.555E-01	5.023E-01	2.552E-01	2.470E-01
1.565E-01	5.030E-01	2.551E-01	2.478E-01
1.575E-01	5.037E-01	2.551E-01	2.486E-01
1.585E-01	5.044E-01	2.550E-01	2.494E-01
1.595E-01	5.051E-01	2.549E-01	2.502E-01
1.605E-01	5.058E-01	2.548E-01	2.510E-01
1.615E-01	5.064E-01	2.547E-01	2.518E-01
1.625E-01	5.071E-01	2.546E-01	2.525E-01
1.635E-01	5.077E-01	2.544E-01	2.533E-01
1.645E-01	5.084E-01	2.543E-01	2.541E-01
1.655E-01	5.090E-01	2.542E-01	2.548E-01
1.665E-01	5.096E-01	2.540E-01	2.556E-01
1.675E-01	5.103E-01	2.539E-01	2.564E-01
1.685E-01	5.109E-01	2.538E-01	2.571E-01
1.695E-01	5.115E-01	2.536E-01	2.579E-01
1.705E-01	5.121E-01	2.535E-01	2.586E-01
1.715E-01	5.126E-01	2.533E-01	2.593E-01
1.725E-01	5.132E-01	2.531E-01	2.601E-01
1.735E-01	5.138E-01	2.530E-01	2.608E-01
1.745E-01	5.143E-01	2.528E-01	2.616E-01
1.755E-01	5.149E-01	2.526E-01	2.623E-01
