Q0 = 1.5 GeV	 Q = 5.2 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
5.000E-04	1.164E-03	-1.164E-03	2.329E-03
1.500E-03	2.944E-03	-2.944E-03	5.889E-03
2.500E-03	4.611E-03	-4.611E-03	9.221E-03
3.500E-03	6.242E-03	-6.242E-03	1.248E-02
4.500E-03	7.859E-03	-7.859E-03	1.572E-02
5.500E-03	9.473E-03	-9.473E-03	1.895E-02
6.500E-03	1.109E-02	-1.109E-02	2.218E-02
7.500E-03	1.271E-02	-1.271E-02	2.541E-02
8.500E-03	1.433E-02	-1.433E-02	2.866E-02
9.500E-03	1.596E-02	-1.596E-02	3.192E-02
1.050E-02	1.759E-02	-1.759E-02	3.519E-02
1.150E-02	1.924E-02	-1.924E-02	3.847E-02
1.250E-02	2.089E-02	-2.089E-02	4.177E-02
1.350E-02	2.254E-02	-2.254E-02	4.508E-02
1.450E-02	2.420E-02	-2.420E-02	4.841E-02
1.550E-02	2.587E-02	-2.587E-02	5.175E-02
1.650E-02	2.755E-02	-2.755E-02	5.510E-02
1.750E-02	2.923E-02	-2.923E-02	5.846E-02
1.850E-02	3.092E-02	-3.092E-02	6.184E-02
1.950E-02	3.261E-02	-3.261E-02	6.523E-02
2.050E-02	3.431E-02	-3.431E-02	6.863E-02
2.150E-02	3.602E-02	-3.602E-02	7.204E-02
2.250E-02	3.773E-02	-3.773E-02	7.546E-02
2.350E-02	3.944E-02	-3.944E-02	7.889E-02
2.450E-02	4.117E-02	-4.117E-02	8.233E-02
2.550E-02	4.289E-02	-4.289E-02	8.578E-02
2.650E-02	4.462E-02	-4.462E-02	8.924E-02
2.750E-02	4.636E-02	-4.636E-02	9.271E-02
2.850E-02	4.810E-02	-4.810E-02	9.619E-02
2.950E-02	4.984E-02	-4.984E-02	9.968E-02
3.050E-02	5.159E-02	-5.159E-02	1.032E-01
3.150E-02	5.334E-02	-5.334E-02	1.067E-01
3.250E-02	5.509E-02	-5.509E-02	1.102E-01
3.350E-02	5.685E-02	-5.685E-02	1.137E-01
3.450E-02	5.861E-02	-5.861E-02	1.172E-01
3.550E-02	6.037E-02	-6.037E-02	1.207E-01
3.650E-02	6.214E-02	-6.214E-02	1.243E-01
3.750E-02	6.391E-02	-6.391E-02	1.278E-01
3.850E-02	6.568E-02	-6.568E-02	1.314E-01
3.950E-02	6.746E-02	-6.746E-02	1.349E-01
4.050E-02	6.924E-02	-6.924E-02	1.385E-01
4.150E-02	7.102E-02	-7.102E-02	1.420E-01
4.250E-02	7.280E-02	-7.280E-02	1.456E-01
4.350E-02	7.458E-02	-7.458E-02	1.492E-01
4.450E-02	7.637E-02	-7.637E-02	1.527E-01
4.550E-02	7.816E-02	-7.816E-02	1.563E-01
4.650E-02	7.994E-02	-7.994E-02	1.599E-01
4.750E-02	8.174E-02	-8.174E-02	1.635E-01
4.850E-02	8.353E-02	-8.353E-02	1.671E-01
4.950E-02	8.532E-02	-8.532E-02	1.706E-01
5.050E-02	8.712E-02	-8.712E-02	1.742E-01
5.150E-02	8.891E-02	-8.891E-02	1.778E-01
5.250E-02	9.071E-02	-9.071E-02	1.814E-01
5.350E-02	9.251E-02	-9.251E-02	1.850E-01
5.450E-02	9.431E-02	-9.431E-02	1.886E-01
5.550E-02	9.611E-02	-9.611E-02	1.922E-01
5.650E-02	9.791E-02	-9.791E-02	1.958E-01
5.750E-02	9.971E-02	-9.971E-02	1.994E-01
5.850E-02	1.015E-01	-1.015E-01	2.030E-01
5.950E-02	1.033E-01	-1.033E-01	2.066E-01
6.050E-02	1.051E-01	-1.051E-01	2.102E-01
6.150E-02	1.069E-01	-1.069E-01	2.138E-01
6.250E-02	1.087E-01	-1.087E-01	2.174E-01
6.350E-02	1.105E-01	-1.105E-01	2.210E-01
6.450E-02	1.123E-01	-1.123E-01	2.247E-01
6.550E-02	1.141E-01	-1.141E-01	2.283E-01
6.650E-02	1.159E-01	-1.159E-01	2.319E-01
6.750E-02	1.177E-01	-1.177E-01	2.355E-01
6.850E-02	1.195E-01	-1.195E-01	2.391E-01
6.950E-02	1.213E-01	-1.213E-01	2.427E-01
7.050E-02	1.231E-01	-1.231E-01	2.463E-01
7.150E-02	1.249E-01	-1.249E-01	2.499E-01
7.250E-02	1.267E-01	-1.267E-01	2.535E-01
7.350E-02	1.285E-01	-1.285E-01	2.571E-01
7.450E-02	1.303E-01	-1.303E-01	2.607E-01
7.550E-02	1.321E-01	-1.321E-01	2.643E-01
7.650E-02	1.339E-01	-1.339E-01	2.679E-01
7.750E-02	1.357E-01	-1.357E-01	2.715E-01
7.850E-02	1.375E-01	-1.375E-01	2.750E-01
7.950E-02	1.393E-01	-1.393E-01	2.786E-01
8.050E-02	1.411E-01	-1.411E-01	2.822E-01
8.150E-02	1.429E-01	-1.429E-01	2.858E-01
8.250E-02	1.447E-01	-1.447E-01	2.894E-01
8.350E-02	1.465E-01	-1.465E-01	2.930E-01
8.450E-02	1.483E-01	-1.483E-01	2.965E-01
8.550E-02	1.501E-01	-1.501E-01	3.001E-01
8.650E-02	1.518E-01	-1.518E-01	3.037E-01
8.750E-02	1.536E-01	-1.536E-01	3.072E-01
8.850E-02	1.554E-01	-1.554E-01	3.108E-01
8.950E-02	1.572E-01	-1.572E-01	3.144E-01
9.050E-02	1.590E-01	-1.590E-01	3.179E-01
9.150E-02	1.607E-01	-1.607E-01	3.215E-01
9.250E-02	1.625E-01	-1.625E-01	3.250E-01
9.350E-02	1.643E-01	-1.643E-01	3.286E-01
9.450E-02	1.661E-01	-1.661E-01	3.321E-01
9.550E-02	1.678E-01	-1.678E-01	3.357E-01
9.650E-02	1.696E-01	-1.696E-01	3.392E-01
9.750E-02	1.714E-01	-1.714E-01	3.427E-01
9.850E-02	1.731E-01	-1.731E-01	3.463E-01
9.950E-02	1.749E-01	-1.749E-01	3.498E-01
1.005E-01	1.767E-01	-1.767E-01	3.533E-01
1.015E-01	1.784E-01	-1.784E-01	3.568E-01
1.025E-01	1.802E-01	-1.802E-01	3.603E-01
1.035E-01	1.819E-01	-1.819E-01	3.638E-01
1.045E-01	1.837E-01	-1.837E-01	3.673E-01
1.055E-01	1.854E-01	-1.854E-01	3.708E-01
1.065E-01	1.872E-01	-1.872E-01	3.743E-01
1.075E-01	1.889E-01	-1.889E-01	3.778E-01
1.085E-01	1.907E-01	-1.907E-01	3.813E-01
1.095E-01	1.924E-01	-1.924E-01	3.848E-01
1.105E-01	1.941E-01	-1.941E-01	3.883E-01
1.115E-01	1.959E-01	-1.959E-01	3.917E-01
1.125E-01	1.976E-01	-1.976E-01	3.952E-01
1.135E-01	1.993E-01	-1.993E-01	3.986E-01
1.145E-01	2.010E-01	-2.010E-01	4.021E-01
1.155E-01	2.028E-01	-2.028E-01	4.055E-01
1.165E-01	2.045E-01	-2.045E-01	4.090E-01
1.175E-01	2.062E-01	-2.062E-01	4.124E-01
1.185E-01	2.079E-01	-2.079E-01	4.159E-01
1.195E-01	2.096E-01	-2.096E-01	4.193E-01
1.205E-01	2.113E-01	-2.113E-01	4.227E-01
1.215E-01	2.131E-01	-2.131E-01	4.261E-01
1.225E-01	2.148E-01	-2.148E-01	4.295E-01
1.235E-01	2.165E-01	-2.165E-01	4.329E-01
1.245E-01	2.182E-01	-2.182E-01	4.363E-01
1.255E-01	2.198E-01	-2.198E-01	4.397E-01
1.265E-01	2.215E-01	-2.215E-01	4.431E-01
1.275E-01	2.232E-01	-2.232E-01	4.465E-01
1.285E-01	2.249E-01	-2.249E-01	4.498E-01
1.295E-01	2.266E-01	-2.266E-01	4.532E-01
1.305E-01	2.283E-01	-2.283E-01	4.566E-01
1.315E-01	2.300E-01	-2.300E-01	4.599E-01
1.325E-01	2.316E-01	-2.316E-01	4.633E-01
1.335E-01	2.333E-01	-2.333E-01	4.666E-01
1.345E-01	2.350E-01	-2.350E-01	4.699E-01
1.355E-01	2.366E-01	-2.366E-01	4.733E-01
1.365E-01	2.383E-01	-2.383E-01	4.766E-01
1.375E-01	2.399E-01	-2.399E-01	4.799E-01
1.385E-01	2.416E-01	-2.416E-01	4.832E-01
1.395E-01	2.432E-01	-2.432E-01	4.865E-01
1.405E-01	2.449E-01	-2.449E-01	4.898E-01
1.415E-01	2.465E-01	-2.465E-01	4.931E-01
1.425E-01	2.482E-01	-2.482E-01	4.963E-01
1.435E-01	2.498E-01	-2.498E-01	4.996E-01
1.445E-01	2.514E-01	-2.514E-01	5.029E-01
1.455E-01	2.531E-01	-2.531E-01	5.061E-01
1.465E-01	2.547E-01	-2.547E-01	5.094E-01
1.475E-01	2.563E-01	-2.563E-01	5.126E-01
1.485E-01	2.579E-01	-2.579E-01	5.159E-01
1.495E-01	2.595E-01	-2.595E-01	5.191E-01
1.505E-01	2.612E-01	-2.612E-01	5.223E-01
1.515E-01	2.628E-01	-2.628E-01	5.255E-01
1.525E-01	2.644E-01	-2.644E-01	5.287E-01
1.535E-01	2.660E-01	-2.660E-01	5.319E-01
1.545E-01	2.676E-01	-2.676E-01	5.351E-01
1.555E-01	2.691E-01	-2.691E-01	5.383E-01
1.565E-01	2.707E-01	-2.707E-01	5.415E-01
1.575E-01	2.723E-01	-2.723E-01	5.446E-01
1.585E-01	2.739E-01	-2.739E-01	5.478E-01
1.595E-01	2.755E-01	-2.755E-01	5.509E-01
1.605E-01	2.770E-01	-2.770E-01	5.541E-01
1.615E-01	2.786E-01	-2.786E-01	5.572E-01
1.625E-01	2.802E-01	-2.802E-01	5.604E-01
1.635E-01	2.817E-01	-2.817E-01	5.635E-01
1.645E-01	2.833E-01	-2.833E-01	5.666E-01
1.655E-01	2.848E-01	-2.848E-01	5.697E-01
1.665E-01	2.864E-01	-2.864E-01	5.728E-01
1.675E-01	2.879E-01	-2.879E-01	5.759E-01
1.685E-01	2.895E-01	-2.895E-01	5.790E-01
1.695E-01	2.910E-01	-2.910E-01	5.820E-01
1.705E-01	2.925E-01	-2.925E-01	5.851E-01
1.715E-01	2.941E-01	-2.941E-01	5.881E-01
1.725E-01	2.956E-01	-2.956E-01	5.912E-01
1.735E-01	2.971E-01	-2.971E-01	5.942E-01
1.745E-01	2.986E-01	-2.986E-01	5.973E-01
1.755E-01	3.001E-01	-3.001E-01	6.003E-01
1.765E-01	3.016E-01	-3.016E-01	6.033E-01
