Q0 = 0.8 GeV	 Q = 1.0 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
5.000E-04	1.401E-02	-1.401E-02	2.803E-02
1.500E-03	2.408E-02	-2.408E-02	4.816E-02
2.500E-03	3.094E-02	-3.094E-02	6.188E-02
3.500E-03	3.648E-02	-3.648E-02	7.296E-02
4.500E-03	4.124E-02	-4.124E-02	8.247E-02
5.500E-03	4.547E-02	-4.547E-02	9.093E-02
6.500E-03	4.931E-02	-4.931E-02	9.861E-02
7.500E-03	5.285E-02	-5.285E-02	1.057E-01
8.500E-03	5.615E-02	-5.615E-02	1.123E-01
9.500E-03	5.924E-02	-5.924E-02	1.185E-01
1.050E-02	6.217E-02	-6.217E-02	1.243E-01
1.150E-02	6.495E-02	-6.495E-02	1.299E-01
1.250E-02	6.760E-02	-6.760E-02	1.352E-01
1.350E-02	7.014E-02	-7.014E-02	1.403E-01
1.450E-02	7.258E-02	-7.258E-02	1.452E-01
1.550E-02	7.493E-02	-7.493E-02	1.499E-01
1.650E-02	7.720E-02	-7.720E-02	1.544E-01
1.750E-02	7.940E-02	-7.940E-02	1.588E-01
1.850E-02	8.152E-02	-8.152E-02	1.630E-01
1.950E-02	8.358E-02	-8.358E-02	1.672E-01
2.050E-02	8.559E-02	-8.559E-02	1.712E-01
2.150E-02	8.754E-02	-8.754E-02	1.751E-01
2.250E-02	8.944E-02	-8.944E-02	1.789E-01
2.350E-02	9.130E-02	-9.130E-02	1.826E-01
2.450E-02	9.311E-02	-9.311E-02	1.862E-01
2.550E-02	9.488E-02	-9.488E-02	1.898E-01
2.650E-02	9.661E-02	-9.661E-02	1.932E-01
2.750E-02	9.830E-02	-9.830E-02	1.966E-01
2.850E-02	9.996E-02	-9.996E-02	1.999E-01
2.950E-02	1.016E-01	-1.016E-01	2.032E-01
3.050E-02	1.032E-01	-1.032E-01	2.064E-01
3.150E-02	1.048E-01	-1.048E-01	2.095E-01
3.250E-02	1.063E-01	-1.063E-01	2.126E-01
3.350E-02	1.078E-01	-1.078E-01	2.156E-01
3.450E-02	1.093E-01	-1.093E-01	2.186E-01
3.550E-02	1.107E-01	-1.107E-01	2.215E-01
3.650E-02	1.122E-01	-1.122E-01	2.244E-01
3.750E-02	1.136E-01	-1.136E-01	2.272E-01
3.850E-02	1.150E-01	-1.150E-01	2.300E-01
3.950E-02	1.163E-01	-1.163E-01	2.327E-01
4.050E-02	1.177E-01	-1.177E-01	2.354E-01
4.150E-02	1.190E-01	-1.190E-01	2.381E-01
4.250E-02	1.203E-01	-1.203E-01	2.407E-01
4.350E-02	1.216E-01	-1.216E-01	2.433E-01
4.450E-02	1.229E-01	-1.229E-01	2.458E-01
4.550E-02	1.242E-01	-1.242E-01	2.483E-01
4.650E-02	1.254E-01	-1.254E-01	2.508E-01
4.750E-02	1.266E-01	-1.266E-01	2.533E-01
4.850E-02	1.278E-01	-1.278E-01	2.557E-01
4.950E-02	1.290E-01	-1.290E-01	2.581E-01
5.050E-02	1.302E-01	-1.302E-01	2.604E-01
5.150E-02	1.314E-01	-1.314E-01	2.628E-01
5.250E-02	1.325E-01	-1.325E-01	2.651E-01
5.350E-02	1.337E-01	-1.337E-01	2.673E-01
5.450E-02	1.348E-01	-1.348E-01	2.696E-01
5.550E-02	1.359E-01	-1.359E-01	2.718E-01
5.650E-02	1.370E-01	-1.370E-01	2.740E-01
5.750E-02	1.381E-01	-1.381E-01	2.762E-01
5.850E-02	1.392E-01	-1.392E-01	2.784E-01
5.950E-02	1.402E-01	-1.402E-01	2.805E-01
6.050E-02	1.413E-01	-1.413E-01	2.826E-01
6.150E-02	1.423E-01	-1.423E-01	2.847E-01
6.250E-02	1.434E-01	-1.434E-01	2.868E-01
6.350E-02	1.444E-01	-1.444E-01	2.888E-01
6.450E-02	1.454E-01	-1.454E-01	2.908E-01
6.550E-02	1.464E-01	-1.464E-01	2.928E-01
6.650E-02	1.474E-01	-1.474E-01	2.948E-01
6.750E-02	1.484E-01	-1.484E-01	2.968E-01
6.850E-02	1.494E-01	-1.494E-01	2.987E-01
6.950E-02	1.503E-01	-1.503E-01	3.007E-01
7.050E-02	1.513E-01	-1.513E-01	3.026E-01
7.150E-02	1.522E-01	-1.522E-01	3.045E-01
7.250E-02	1.532E-01	-1.532E-01	3.064E-01
7.350E-02	1.541E-01	-1.541E-01	3.082E-01
7.450E-02	1.550E-01	-1.550E-01	3.101E-01
7.550E-02	1.560E-01	-1.560E-01	3.119E-01
7.650E-02	1.569E-01	-1.569E-01	3.137E-01
7.750E-02	1.578E-01	-1.578E-01	3.155E-01
7.850E-02	1.587E-01	-1.587E-01	3.173E-01
7.950E-02	1.595E-01	-1.595E-01	3.191E-01
8.050E-02	1.604E-01	-1.604E-01	3.208E-01
8.150E-02	1.613E-01	-1.613E-01	3.226E-01
8.250E-02	1.622E-01	-1.622E-01	3.243E-01
8.350E-02	1.630E-01	-1.630E-01	3.260E-01
8.450E-02	1.639E-01	-1.639E-01	3.277E-01
8.550E-02	1.647E-01	-1.647E-01	3.294E-01
8.650E-02	1.655E-01	-1.655E-01	3.311E-01
8.750E-02	1.664E-01	-1.664E-01	3.327E-01
8.850E-02	1.672E-01	-1.672E-01	3.344E-01
8.950E-02	1.680E-01	-1.680E-01	3.360E-01
9.050E-02	1.688E-01	-1.688E-01	3.377E-01
9.150E-02	1.696E-01	-1.696E-01	3.393E-01
9.250E-02	1.704E-01	-1.704E-01	3.409E-01
9.350E-02	1.712E-01	-1.712E-01	3.424E-01
9.450E-02	1.720E-01	-1.720E-01	3.440E-01
9.550E-02	1.728E-01	-1.728E-01	3.456E-01
9.650E-02	1.736E-01	-1.736E-01	3.471E-01
9.750E-02	1.743E-01	-1.743E-01	3.487E-01
9.850E-02	1.751E-01	-1.751E-01	3.502E-01
9.950E-02	1.759E-01	-1.759E-01	3.517E-01
1.005E-01	1.766E-01	-1.766E-01	3.532E-01
1.015E-01	1.774E-01	-1.774E-01	3.547E-01
